ba,stat,value
CISO,RMSE,1542.6976937263735
CISO,MAE,1137.749826764537
CISO,MAPE,0.04611550148371005
ERCO,RMSE,2327.2722519241847
ERCO,MAE,1684.4282796695022
ERCO,MAPE,0.04351629100154271
MISO,RMSE,3139.771992498647
MISO,MAE,2321.530172133219
MISO,MAPE,0.03275875720599961
PGE,RMSE,137.92412445836325
PGE,MAE,97.38514233264802
PGE,MAPE,0.04271308342586277
PJM,RMSE,4695.747966590089
PJM,MAE,3520.3157738689533
PJM,MAPE,0.040369844436616405
SOCO,RMSE,1419.1371187734655
SOCO,MAE,1062.7565712436099
SOCO,MAPE,0.04192841223208948
SWPP,RMSE,1474.2778279482911
SWPP,MAE,1074.8201664316412
SWPP,MAPE,0.03778166701934858
