date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-07-12,29758,30482,30999,30980,30250,30452,29892,28071,26101,24666,23732,22909,22327,22113,22165,21773,22380,23802,24780,25681,26591,27418,28140,29297,2
2015-09-05,30836,31201,31126,30436,30595,30637,29169,27189,25342,23785,22965,22279,21874,21875,22262,22680,22987,24338,25154,25674,25965,26458,27181,28071,2
2015-09-17,31043,31238,31060,30791,31592,31049,29345,26860,24993,23608,22825,22157,21963,22434,23835,25948,27122,28000,28730,29337,29434,29603,30296,30953,1
2015-10-07,29847,30196,30173,30451,31301,30303,28479,25948,23724,22697,21812,21214,20989,21430,22574,24590,25843,26580,27281,28030,28776,29440,30458,31444,1
2015-10-22,30390,30672,30394,31068,31220,30027,28155,25833,23746,22426,21503,20955,20743,21041,22435,25009,26246,26383,26835,27460,27859,28170,28874,29474,1
2015-10-23,29950,30250,30070,30849,30985,29897,28157,25855,23706,22438,21535,20916,20702,21088,22410,24895,26025,26442,26933,27228,27646,28136,29052,29584,1
2015-10-27,30548,30905,30809,31541,31418,29950,28041,25756,23599,22057,21290,20747,20542,20932,22251,24606,26034,26437,27154,27911,28231,28331,28795,29064,1
2015-12-15,25419,26058,27934,31072,31671,31399,30609,28979,27235,25155,23554,22673,22310,22297,22946,24577,27555,29168,28459,27833,27327,26729,26277,26160,0
2015-12-16,26174,26472,27886,31171,31680,31649,31078,29459,27290,25348,24168,23490,23276,23341,24054,25541,28056,29213,28809,27946,27449,26855,26437,26251,0
2015-12-17,26334,26562,27749,31036,31645,31380,30850,29301,27095,25027,23741,23280,22995,23036,23687,25039,27638,28846,28608,28224,27622,27005,26488,26297,0
2016-04-19,30601,31122,31205,30783,30993,31042,29251,26523,24087,22705,21709,21249,21161,21612,22637,24064,25343,26106,26899,27688,28334,29016,29605,30379,1
2016-04-20,31204,31533,31415,30964,31176,31607,29486,26803,24400,22800,21833,21113,21050,21167,22302,24014,25183,25870,26716,27303,27848,28275,28845,29251,1
2016-05-13,30129,30477,30805,30685,30777,31324,29821,27303,24931,23544,22498,21810,21497,21853,23009,24349,25543,26114,26658,27103,27221,27261,27924,28491,1
2016-05-18,30057,30320,30699,30628,30839,31318,29980,27319,25115,23850,22565,22058,21958,22199,22948,23996,25677,26911,27238,27953,28756,29339,30281,30753,1
2016-05-19,31312,31953,32215,32085,31873,32199,30796,28019,25532,24108,22973,22232,21896,22232,23379,25061,26601,27817,28255,28447,28531,28629,29009,29400,1
2016-05-31,27475,28211,29133,29589,29632,30055,29095,26653,24333,22858,21843,21220,21005,21404,22447,24158,26118,27472,28112,28816,29454,30021,31048,32127,1
2016-06-10,30975,31389,31451,31407,30856,31299,30636,28265,25992,24215,22962,22121,21726,22076,23059,24570,25987,27336,27943,28496,28550,28880,29471,30160,1
2016-06-11,30474,30864,30573,30380,30269,30520,30050,28166,26024,24273,23045,22294,21937,21853,22137,22374,23527,24933,25687,26183,26363,26507,26651,26899,2
2016-06-14,30172,30372,30473,30650,30516,30862,30035,27632,25239,23528,22491,21802,21560,21871,22847,24188,25660,26555,27201,27926,28028,28024,28139,28481,1
2016-06-17,29119,29581,30133,30308,30269,30672,30185,27952,25597,24015,23043,22348,21870,22112,22966,24179,25777,27020,27960,28829,29587,30073,30914,31705,1
2016-09-06,26813,28287,29058,28827,29503,29624,27981,25700,23750,22685,21829,21324,21211,21701,22820,25055,26365,27195,28128,28915,29471,29837,30997,32212,1
2016-09-12,29904,30799,31287,31013,31262,30760,28810,26444,24256,23101,22495,22022,21860,22291,23534,25733,26858,27640,28089,28396,28668,28926,30157,31072,1
2016-09-13,31805,31656,31579,30932,30357,28536,26339,24278,23205,22500,21941,21789,22173,23484,25642,26588,27143,27792,27896,27638,27343,27524,27821,27834,1
2016-09-16,30959,31120,30872,31445,30893,29126,26797,24724,23304,22303,21710,21495,21868,23114,25228,26369,27012,27482,27851,28244,28769,29761,30720,31603,1
2016-09-17,32257,32184,31535,31692,30923,29430,27527,25555,23990,22681,22089,21848,21551,22010,22780,23199,24178,24795,25410,26048,26810,27998,29535,31129,1
2016-10-07,29655,29848,30232,31021,29980,28326,26137,24007,22591,21650,21081,20909,21282,22586,24843,25881,26383,26895,27634,28263,28705,29585,30531,31183,1
2016-10-08,31691,31448,31307,31497,30315,28799,26685,24769,23121,22069,21354,20948,20929,21376,22236,22620,23379,23994,24634,25277,26034,27037,28248,29534,2
2016-10-09,30523,30909,30776,30748,29508,27917,25959,24084,22551,21469,20732,20310,20199,20427,21126,21440,22123,22838,23592,24357,25675,26769,28124,29342,2
2016-10-10,30443,30884,30979,31239,30368,28573,26189,23921,22256,21313,21002,20955,21328,22291,24435,25531,26374,27116,27826,28370,28985,29990,31013,31970,1
2016-10-20,29561,30120,30903,31171,30216,28512,26074,23947,22473,21865,21289,21025,21434,22869,25364,26289,26649,27076,27641,28214,28860,29887,30974,31933,1
