date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2018-06-30,66073,63452,60748,58995,55727,52233,48705,45087,40285,36635,32893,32819,32707,36341,39580,44205,49188,54480,57582,60688,63849,67439,71600,72716,1
2018-07-01,73263,70129,69521,64334,55851,51473,44655,42445,40815,39461,38742,37987,37819,39808,43022,45158,48398,51463,54478,56261,59304,60985,61346,61531,3
2018-07-18,69793,67384,64541,61856,57394,52853,48962,46205,44071,42812,42456,43290,44553,45218,47457,50969,55234,59455,63422,67147,69955,71465,72203,72131,0
2018-07-19,71185,68856,66068,63448,59290,54808,51079,48342,46119,44632,44036,44731,45746,46565,49062,52626,57059,61308,65268,68915,71581,72715,73264,73114,0
2018-07-20,72219,70031,67264,64727,60497,56029,52101,49104,46688,44991,44318,44646,45614,46189,48712,52476,56752,60994,64945,68376,71027,72324,72933,72684,0
2018-07-23,70801,68692,66073,63680,59603,55059,51100,48183,46102,44761,44300,44987,46086,46713,49031,52821,57364,61978,66007,69684,72083,73052,73050,72619,0
2019-08-07,69562,67148,64988,62571,58431,54154,50557,47824,46001,44881,44737,45668,47268,47950,50044,53778,58128,62501,66272,69707,72007,72855,73092,72844,0
2019-08-08,71880,69485,67074,64288,59926,55566,51626,48850,46871,45689,45396,46233,47726,48276,50390,53817,57942,61930,65631,68989,71129,72042,72305,71771,0
2019-08-09,70275,68038,65833,63497,59563,55304,51720,48912,46986,45762,45514,46481,47979,48614,50803,54420,58537,62670,66232,69482,71662,72850,73112,72629,0
2019-08-12,70656,68483,66297,64002,60014,55584,51805,49053,47027,45857,45634,46530,48206,48959,51458,55404,59777,64071,67741,70836,73174,74181,74533,74457,0
2019-08-13,73630,71564,69153,66095,61611,57128,53315,50304,48053,46604,46049,46780,48278,48828,51286,54993,59401,63660,67726,71072,73335,74181,74173,73969,0
2019-08-14,72901,70691,68558,65643,61050,56437,52548,49794,47743,46440,45966,46688,48111,48495,49736,52758,56637,60519,63918,66951,69259,70782,71652,71235,0
2019-08-16,69436,67232,65160,62362,57946,53603,50028,47513,45546,44363,44124,45166,46889,47467,49843,53655,58213,62599,66353,69557,71526,72590,72772,72275,0
2019-08-19,70297,67946,66134,63512,59371,55025,51600,49080,47297,46258,46131,47239,49167,49503,51563,55153,59023,62781,66473,69944,72554,73691,73793,73323,0
2019-08-20,71936,69539,67791,64768,60130,55637,51950,49298,47245,46055,45673,46594,48576,48819,50594,54367,58506,62533,65445,67427,68857,70198,71107,71128,0
2019-08-26,65103,63366,62179,59758,56011,52045,48926,46797,45420,44676,44735,46180,48821,49151,50811,54277,58502,62820,66692,70163,72817,73857,74338,74238,0
2019-08-27,73271,70845,69171,66069,61537,57183,53622,51028,49098,47786,47413,48313,49871,49641,50064,51819,54083,55967,58045,60159,61158,61106,61157,60801,2
