date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-07-09,86374,84621,84202,82461,77300,72281,68378,65969,64337,63697,64737,67887,71516,75436,79129,82495,85800,88352,90689,92741,93858,94569,95078,94101,8
2015-09-15,85136,85872,84397,79228,73169,68022,64365,62062,60712,60474,61967,66532,72152,74378,76554,79304,82205,85122,87974,91002,92958,94435,94702,93334,2
2016-01-19,90669,92944,92305,90766,88056,84566,81427,80015,79347,79139,79609,81227,85521,91959,94337,92893,91056,89180,87218,85387,84275,83196,82997,84713,1
2016-06-29,89409,86942,84450,82525,77876,73321,69156,66150,64320,63476,64009,66223,68682,72909,75958,79334,82762,85818,88452,91041,92823,94058,94739,94064,8
2016-06-30,92207,89302,86405,84478,79981,74693,70162,66946,64932,64186,64781,66281,69224,73160,77260,80870,84490,87185,89386,91831,93596,94863,95195,94438,8
2016-07-31,90437,87318,85324,83147,78916,74454,70868,67826,65599,64094,63470,63458,62854,65424,70065,75072,79979,84531,88376,91256,93053,94357,95348,95701,4
2016-08-20,95168,91839,90625,86841,81129,75520,71959,69567,67573,66312,66041,67052,68005,69730,73424,77805,81660,84245,85810,86614,86544,86101,85805,85114,0
2016-09-05,80791,79030,78313,75040,70736,66914,63903,62006,60613,59732,59321,59986,60423,61663,66225,71533,77099,82074,85897,88742,90843,92637,94038,94572,10
2016-09-23,93988,93644,90833,85553,79342,73555,69272,66341,64363,63455,64205,67715,73141,75751,78628,82144,85713,88974,91557,93567,94510,94768,94185,92144,3
2017-01-06,91614,92113,91216,89589,86630,83650,81018,79524,78573,78381,78698,80240,84816,91225,94528,94748,94783,94205,93561,92729,92298,91575,91516,93627,6
2017-06-10,91019,87654,84638,82416,77247,71860,68216,64631,62393,60908,60883,60841,61357,65451,70586,75537,79720,83370,86066,88558,90999,92787,94081,94432,4
2017-06-21,88857,86541,84363,82326,77295,71906,69168,66093,64182,63136,64148,65635,68828,73519,77113,80616,83989,86746,89400,91801,93109,94237,94558,94542,8
2017-07-04,95230,91303,87673,84699,80292,75122,70625,66923,64416,62828,61745,61343,61651,64406,68785,74415,79646,84121,87233,89929,91763,93190,94098,93805,4
2017-07-09,90896,88198,84462,82184,77257,72401,68995,65373,63020,61485,60662,60216,60194,63515,68040,73433,78230,82804,86584,89514,91695,93271,94776,95387,4
2017-07-15,93979,90379,87523,85214,80324,75559,71386,67481,65213,63685,63338,63485,63873,66911,71178,75921,80479,84371,87779,90403,92457,94223,95492,95679,9
2017-07-30,89802,86630,84025,81426,76279,71680,68092,64628,62389,60937,60225,60133,60121,62748,66988,71510,76043,80207,84408,87782,90676,93066,94979,95639,4
2017-09-19,88138,88220,85877,80954,74753,69868,66503,63773,62297,61863,63116,67205,72801,75040,76969,79642,82537,85422,88256,91118,93011,93848,94400,93686,8
2018-01-06,93167,94380,95447,94718,93032,89858,86983,85084,84626,84911,84628,85495,87142,89524,91658,92327,91110,88767,88428,87258,86005,85399,85184,86470,7
2018-01-13,94192,94859,93809,92613,90224,86954,85055,83434,82820,82333,81922,82040,83980,86623,88711,90124,90166,88881,86463,84409,82534,81330,81191,83583,7
2018-01-15,87269,88231,87813,87572,87155,84310,83733,83131,82990,82302,82913,84773,88932,91645,93403,93913,94299,92968,92148,90844,89318,88018,88774,88952,6
2018-06-06,88848,86610,84308,81734,76027,70447,66631,63524,61718,60700,61247,63252,66671,70729,73860,76803,80143,83173,86208,89143,91761,93393,94755,94681,12
2018-06-09,94925,91589,89190,86668,81056,75683,71340,67624,65183,63609,63284,63451,64105,67081,72173,76599,80921,83756,85540,86329,86470,86680,86848,86753,0
2018-06-21,94921,91912,89999,87317,82204,76777,72824,69898,67977,67018,67746,70475,73383,77128,80534,83224,85852,87848,90225,91911,92847,93261,92844,91767,3
2018-07-07,94174,90022,86059,82917,77790,73003,68932,65855,63178,61777,61237,61209,61677,64784,68992,72889,76633,79884,82442,84634,86512,88271,89428,89754,11
2018-07-27,95173,91943,89905,87172,80702,75246,71405,68607,66411,65244,65663,67130,69951,73611,77356,80833,84223,87414,90085,92375,93552,94548,94487,93534,3
2018-08-19,93191,90102,88374,84558,79601,75098,71989,68914,66691,65268,64618,64713,64916,66792,69867,75004,79839,84452,88126,90968,92601,94010,94846,94881,9
2018-08-21,94272,91979,90596,86416,81358,76883,73085,70392,68741,68109,68682,71765,76336,78047,80300,82839,85658,88076,90227,92488,93959,94794,94837,93940,3
2018-08-25,85345,83485,82829,79889,75787,71907,68165,65670,64005,62976,62955,63624,64771,66828,70948,75627,79804,83219,86328,88935,91121,93306,94504,94734,12
