date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-07-30,3744,3796,3750,3646,3492,3389,3075,2724,2426,2255,2116,2042,2057,2164,2338,2556,2752,2928,3120,3291,3480,3668,3840,3920,0
2015-07-31,3989,4009,3967,3872,3738,3611,3284,2962,2656,2428,2282,2193,2177,2252,2390,2593,2783,2955,3153,3319,3493,3667,3774,3850,4
2015-08-01,3890,3882,3816,3665,3517,3382,3091,2754,2469,2261,2127,2028,1980,1974,2000,2145,2334,2528,2687,2829,2978,3132,3287,3431,5
2015-08-19,3682,3706,3673,3546,3474,3307,2964,2660,2401,2225,2135,2068,2071,2212,2368,2520,2685,2892,3039,3216,3406,3587,3734,3821,8
2015-08-20,3867,3869,3768,3567,3430,3216,2858,2572,2305,2140,2043,1993,2008,2130,2332,2472,2590,2653,2725,2748,2820,2914,2982,3062,3
2017-08-02,3680,3755,3715,3633,3465,3337,3010,2676,2406,2238,2119,2053,2058,2174,2335,2541,2716,2907,3091,3288,3504,3701,3866,3950,0
2017-08-03,3999,4002,3948,3817,3715,3571,3268,2918,2646,2457,2306,2221,2218,2315,2435,2641,2815,2996,3167,3353,3538,3712,3836,3959,4
2017-08-04,4023,4016,3972,3831,3740,3581,3274,2907,2656,2467,2302,2202,2204,2263,2379,2552,2731,2894,3050,3190,3340,3482,3600,3680,2
2018-07-17,3773,3824,3785,3691,3523,3341,3042,2679,2396,2209,2074,1990,1984,2078,2260,2455,2603,2723,2857,2995,3120,3261,3397,3528,7
2018-07-27,3748,3795,3757,3637,3439,3260,2935,2588,2318,2134,2019,1937,1934,2023,2172,2367,2488,2609,2767,2862,2995,3142,3256,3381,6
2018-08-10,3813,3844,3823,3693,3552,3353,3018,2703,2450,2276,2155,2076,2080,2173,2324,2462,2559,2658,2759,2873,2996,3144,3276,3433,1
