date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-07-21,39891,40596,40584,39694,38191,37491,35801,32477,29785,27933,26604,25645,25078,25202,25964,26996,28526,30254,31532,32887,33917,34793,35924,36858,10
2015-07-29,39685,40721,40978,40370,39126,38264,36203,32792,29591,27476,25983,25139,24686,24825,25670,26707,28435,30084,31673,33670,35358,36850,39024,40582,3
2015-07-30,41664,42326,42172,41502,40159,39250,37241,33806,30672,28457,26811,25707,25014,25134,26071,27252,28915,30658,32201,33991,35662,37346,39386,40630,3
2015-07-31,41199,41717,41339,40017,38767,38546,36741,33545,30678,28465,26887,25764,25158,25315,26072,27114,28798,30724,32365,33876,35305,36622,38122,39382,3
2015-08-01,40259,40616,40259,39147,37567,37013,35270,32586,29894,27779,26201,25037,24311,24062,24265,24451,25211,26997,28376,29746,30639,31595,32728,33983,5
2015-08-06,39335,40064,39984,38975,37661,37294,35441,32377,29277,27210,25960,25044,24457,24719,25863,26959,28199,29742,31456,33220,34485,35362,36209,37131,10
2015-08-13,38101,39117,39286,38617,37304,36867,34863,31605,28632,26656,25578,24719,24288,24495,25676,27256,28845,30243,31485,33138,34833,36528,38380,39889,4
2015-08-14,40907,41561,41204,40060,38680,38281,36075,32810,29699,27451,25833,24873,24596,24630,25416,26807,28507,30237,31916,33767,35495,37042,38856,40453,3
2015-08-15,41575,42103,41840,40665,39084,38413,36414,33357,30223,27884,25994,24713,24127,23952,24161,24474,25582,27596,29483,31836,34230,36475,38561,40241,7
2015-08-16,41562,42426,42539,41594,39974,39128,36928,33640,30810,28530,26842,25402,24527,24068,23967,23792,24722,26613,28564,31186,33892,36338,38533,40351,7
2015-08-19,39884,40622,40309,39144,37877,37527,35088,31609,28616,26474,25169,24440,23992,24226,25369,26872,28050,29162,30392,31669,32664,33657,35158,36635,1
2015-08-25,40035,40813,40741,40841,40539,37602,34980,31589,28686,26753,25284,24292,23788,24180,25491,27553,28758,30225,31401,32451,33555,34331,35621,36918,10
2015-08-26,38058,38673,38860,38298,37905,37824,35514,32187,29214,27207,25680,24600,24093,24388,25687,27624,28979,30269,31926,33883,35717,37413,39552,41310,4
2015-08-30,39419,39802,39635,38439,37324,36705,34769,32449,29886,27878,26213,24996,24023,23601,23636,23752,24447,26106,27739,29124,30523,31609,32978,34271,5
2015-09-21,39665,40631,41046,40199,39815,38228,35351,31701,28724,26602,25339,24434,24013,24384,25349,27478,28877,30743,32683,34470,35827,36977,38293,39268,4
2015-09-22,39912,39845,39352,38309,38157,36826,34006,30483,27495,25676,24327,23440,23378,23704,24605,26809,28129,29254,30343,31417,32489,33455,34778,35887,1
2015-09-25,40226,41221,40507,39173,39059,37731,34941,31444,28302,26046,24674,23784,23310,23513,24577,26698,28052,29574,31381,33191,34950,36599,38737,40332,4
