date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-10-04,67419,68724,67375,64774,61441,58167,55980,54458,53430,52977,53133,54183,56234,57970,60637,62481,63367,63845,63973,64186,64033,64430,65522,66517,1
2015-10-18,68581,69848,68496,66056,63219,60164,58060,56830,56226,56103,56397,57686,60027,61818,63859,64575,64404,64161,64198,64066,63981,64236,65188,66343,0
2015-10-25,67812,67854,66589,64528,61534,58828,56578,54838,53059,52393,52373,53467,55405,57339,59260,60867,61701,62027,62256,61878,61609,61651,62343,63813,1
2015-10-31,70883,70739,69459,67136,63946,60639,58402,57134,56098,55822,55824,56892,59227,62008,64166,66224,67403,67699,67196,66497,65942,65473,65371,65237,4
2015-11-01,66037,65854,64904,63118,60826,58036,55721,53859,52808,52258,52206,52711,54128,56133,57919,59811,60849,61241,61335,61414,61315,61124,61455,63124,1
2015-11-08,68403,68826,67670,66163,64098,61329,59549,57966,56651,55956,55890,55878,56622,58142,59742,61532,62154,62008,61793,61619,61079,60655,60977,63211,0
2015-11-15,67285,67854,66825,65693,63534,60881,58274,56365,55161,54621,54460,55120,56334,58137,59544,61247,61731,61505,61345,61136,60858,60650,60778,63180,0
2015-11-27,61567,61672,61315,60756,59625,57615,55464,54184,53231,52691,52539,52837,54626,57339,59409,61599,63644,64828,65388,65413,65159,65070,65420,67607,3
2015-11-28,70049,69891,68838,67497,65534,62838,60029,57675,56345,55669,55496,56085,57657,59926,62005,64534,66767,67886,68126,67749,67285,66926,67133,69266,4
2015-12-25,69695,68828,67444,66461,65373,63325,60511,57792,55802,54689,54381,54782,56104,58325,60458,62610,64286,65010,64775,63540,62088,61137,60868,62490,0
2015-12-26,65642,66101,65937,65471,64392,62254,59637,57447,56236,55581,55536,56080,57475,59028,60966,63336,65953,67611,68461,68430,68262,68027,68273,70078,4
2016-01-31,67489,69190,68373,66933,65182,62387,59737,57708,56469,55801,55635,55968,56870,59014,60711,62697,63697,63959,64053,64064,63904,63522,63861,65496,0
2016-02-21,65046,67867,67388,65946,63951,61246,59217,57484,56535,55851,55590,55908,56714,58513,59659,61882,63375,63925,64115,64151,63717,63252,63464,64785,0
2016-02-28,63688,67279,67450,66657,64981,63078,61549,59768,58911,58498,58619,59229,60555,61866,62840,63989,63971,63484,62933,62478,62007,61512,61880,63483,0
2016-03-06,67046,69736,69956,68756,66773,64115,61666,59902,59286,59688,59821,60060,60638,62070,63697,64811,64974,64307,63683,63170,62649,62078,62209,63221,6
2016-03-12,67394,69955,70343,68859,66376,63113,60311,58146,56619,55759,55497,55978,57234,58831,60514,63073,64475,64853,64290,63470,62713,62220,62019,62403,0
2016-03-13,63452,65817,65996,64316,62095,59203,56869,55001,53556,52865,52775,53430,54480,55766,57436,59608,61108,62111,62858,62973,62806,63295,63950,64670,1
2016-03-19,69082,70867,70989,68817,65589,62569,60307,58749,57863,57541,57996,59283,61801,63775,65877,67338,67487,66726,65659,64657,63790,63503,63390,63590,6
2016-03-20,64170,66885,67625,66256,63779,61429,59457,58149,57809,57632,58155,59472,61720,63444,65286,65901,65446,64756,64504,63637,62820,62585,62918,63671,0
2016-03-26,63124,65290,66814,65387,62759,60351,58458,57418,56801,56635,56814,58048,60340,62064,63867,64745,64378,63397,62226,61260,60626,60388,60605,61074,0
2016-03-27,61401,63581,64634,63227,60487,58060,56207,54644,53924,53608,53992,55039,56429,58224,60165,61061,60870,60335,59512,58590,57832,57736,58181,58929,5
2016-04-02,65618,67277,68639,66934,63930,60898,58794,57395,56501,56385,57146,59126,61594,63413,65536,66603,66767,66002,64998,63998,63013,62347,62381,62689,0
2016-04-03,63074,64879,66852,65375,62672,60088,58400,57549,57262,57194,57258,57996,59920,61323,62939,63444,62850,62122,61747,61140,60420,60349,61121,61667,0
2016-04-09,68527,69461,70977,69233,66218,63418,61867,60546,60256,60227,60946,61903,63384,65086,66978,67572,67412,66619,65675,64670,63765,63300,63255,63211,6
2016-04-10,63212,64969,67034,65607,63202,60610,58358,56900,56172,55997,56084,56645,58026,59373,61789,63408,64063,64384,64729,64834,64670,64789,65287,65894,0
2016-04-14,68082,69179,71130,68774,64414,60607,59126,58123,57378,57024,58155,62403,68006,70092,70251,70546,70683,70404,70454,70470,69841,69332,69019,68320,2
2016-04-15,67869,68788,70743,68216,64586,60643,58215,56997,56340,55875,56989,60432,65401,67687,68469,69011,69294,69420,69346,69512,69267,68663,68044,67442,2
2016-04-16,66586,66531,68179,65974,62755,59032,56379,54777,53743,53392,53549,54243,55384,57271,60017,61938,62766,63041,62842,62846,62525,62458,62600,62832,1
2016-04-17,62545,62829,64535,62778,59827,56595,53943,52058,51148,50633,50347,50878,51689,53405,56489,58727,60132,61161,61952,62513,62908,63449,64313,65125,1
2016-04-23,67661,66991,68341,66494,62539,58768,56855,55344,54172,53734,53719,54064,54951,57136,59967,61745,62489,62803,62756,62801,63027,63541,63999,64411,1
2016-04-24,64006,63366,64832,62971,60074,56658,54454,53115,52286,51670,51742,52184,52186,53745,56700,59065,60445,61555,62597,63320,63959,64762,65876,66392,1
2016-04-30,68692,68435,69777,68056,64644,61199,58502,56941,56492,55854,55420,56468,57763,59916,62547,64222,65319,65615,65522,65209,64853,65034,65406,65859,4
2016-05-01,65759,65665,66452,65042,61966,58555,56107,54984,54270,54133,53844,54277,54206,56117,59036,61098,62155,62825,63092,63422,63731,64229,65153,65882,1
2016-05-02,66016,66296,67556,65817,62360,58940,56609,55391,54830,54719,55555,59664,64653,67790,68991,70167,70624,70931,70785,70810,70360,69538,69103,69028,2
2016-05-03,68949,69482,70872,68739,64488,60294,58407,57020,56255,56251,57355,60458,65029,67928,68652,69491,70141,70526,70488,70975,70545,70065,69941,69456,2
2016-05-04,68974,68829,70585,68646,64803,61033,58065,56399,55183,54818,55938,59551,64183,67122,68086,68795,69509,69792,70113,70393,70570,70376,70468,70421,2
2016-05-08,65910,64905,65559,64409,61362,57542,54937,53052,51885,51340,51358,51527,51646,53706,57228,59511,60569,61395,62104,62464,62774,63175,63612,63680,1
2016-05-15,65578,64987,65944,65081,62052,58693,56591,55306,54445,54076,54242,54251,54390,56300,58703,60295,60850,61359,61706,61801,61899,62279,63001,63581,1
2016-10-02,68131,69111,67610,65095,62248,58933,56899,55662,54811,54075,53565,53287,54502,55632,58595,61141,63186,64807,66349,67422,68141,69003,69961,70401,4
2016-10-09,68359,69363,67644,64833,61802,58344,56297,54531,54168,53607,53490,53687,54672,55942,58370,60062,61235,62100,63117,63638,64289,65306,66419,67105,1
2016-10-22,70104,70712,69282,66789,63144,60281,58252,57018,55902,55550,56097,57161,59673,62001,64076,65372,65442,64791,63906,63336,63231,63429,63714,64115,0
2016-10-23,65799,66739,65222,63107,60199,57186,55315,53866,53109,52780,52702,53781,55605,57418,59497,60686,61491,61985,62465,62856,63243,63716,64610,65976,1
2016-10-30,71164,70198,67952,65592,62714,59447,57537,55402,53585,52759,52498,53210,54867,56468,58415,61059,62851,64409,66056,67269,67948,68670,69343,70303,4
2016-11-06,67735,67553,65943,63718,60806,57779,56063,55051,54206,53939,53689,54286,54415,56614,58708,60945,61875,62294,62793,63163,63273,63739,63985,65328,1
2016-11-13,68043,68691,67903,66370,64606,62264,60004,58285,57157,56151,55726,56469,57827,59981,61600,63072,63342,62788,62350,61908,61395,61009,61118,63454,0
2016-11-25,62935,62862,62736,62194,61301,59289,57842,56179,55199,54713,54839,55389,57314,59967,61748,63355,64612,65051,65109,64912,64753,64609,64951,66943,3
2016-11-26,69239,69065,68087,66872,64722,62399,60086,57999,56712,56220,55966,56511,57797,60252,62211,64336,65579,65709,65028,63920,62899,62192,62497,64805,0
2016-11-27,68894,69621,69183,68118,66496,63993,61457,59545,58484,58097,57999,58827,60399,62264,63982,65578,66314,65971,65440,65106,64622,64871,65753,69210,6
2016-12-25,70512,69864,68591,67687,66737,64609,61795,59737,58161,57295,56934,57301,57972,59852,62348,64731,66225,66842,66769,66129,65030,64156,64029,65371,4
2016-12-26,67364,67567,67064,66094,64594,61979,59516,57442,55882,54972,54754,55388,56668,58947,60994,63160,65442,67215,67901,67957,67806,67794,68235,70469,4
2017-01-22,68787,69732,68752,67017,64742,62007,59846,57901,56437,55857,55403,55526,56197,57853,60311,62196,63683,64419,64676,64936,64596,64406,64782,66319,4
2017-02-12,68297,69969,69252,67599,65277,62612,60561,58580,56961,56417,56180,56528,57159,58837,60240,62595,64439,65059,65498,65720,65653,65931,65946,67130,4
2017-02-19,63913,66768,66304,64909,62726,60108,57775,56043,55226,54631,54406,54684,55769,57865,59367,61277,62225,62137,61824,61651,61470,61419,61671,62672,1
2017-03-05,65414,69061,69400,68438,66587,63898,61557,59896,58511,58036,58074,58644,58985,60507,62146,64006,64615,64640,64133,63626,63051,62609,62802,64060,0
2017-03-19,66728,68438,69020,67136,64195,61535,60490,59235,58595,58420,58523,59484,61092,62107,63732,64771,65074,64699,64659,64537,64303,64367,64689,65376,6
2017-03-25,69662,70980,70629,68232,64643,61607,59739,57450,56504,56165,56659,57781,59510,61362,63685,66053,67197,67414,66886,66213,65364,64934,65057,65402,4
2017-03-26,65261,66361,66590,64497,61583,58886,56739,54991,54185,54164,54200,54883,56404,57757,60128,62004,63196,63998,64568,64850,65063,65212,66238,66798,1
2017-04-02,63756,64991,66345,64375,61575,59593,57510,55698,55100,54545,54765,55918,57746,59023,60492,61680,62240,62407,62820,62994,62787,62548,62746,63916,1
2017-04-08,66168,67320,69148,67159,64272,61404,59655,58220,57550,57360,57916,59248,61096,62782,64520,64890,64682,64087,63354,62789,62642,62513,63132,63331,0
2017-04-09,63003,63651,65146,63062,60416,57512,55433,53498,52483,52065,52405,53346,54733,55768,58239,60000,60746,61233,62010,62742,63371,64091,65126,66029,1
2017-04-15,68300,68080,69035,66709,63151,59338,56679,54633,53333,52883,52930,53691,55184,56929,60312,63176,65286,66450,67122,67459,67775,68362,68469,68768,4
2017-04-16,68038,68067,68911,66945,63335,59742,57344,55262,54030,53083,52694,53183,54275,55788,58580,60802,62072,63173,63518,63411,63331,62819,62630,62768,1
2017-04-22,70297,69994,70977,69014,65232,61416,59624,57675,56506,55910,56332,57216,58506,60574,63541,65501,66235,66429,66250,65800,65172,65115,65165,64828,4
2017-04-23,64368,64537,65999,64624,60981,57777,56317,54872,53994,53662,54039,54691,54840,56596,58660,59964,60486,60687,60736,60371,60200,60529,61186,62229,1
2017-04-30,69165,69363,69969,68155,64810,61436,59249,57816,56600,55679,55540,56190,57227,58664,61152,63085,64193,64765,64857,64670,64598,64699,65551,66474,4
2017-05-06,66959,66355,67878,66694,63734,60485,58383,56266,55263,54948,55492,56684,57219,59370,61756,62927,63119,63245,63192,63027,63058,63533,64236,64470,0
2017-05-07,64294,63914,65218,64068,60842,57598,56226,54531,53560,53345,53682,54376,54553,56282,58504,60179,61153,61908,62677,63160,63826,64543,65693,66995,1
2017-11-24,63500,64662,65061,65038,64357,62983,62128,61023,60329,60013,60449,60987,63156,65952,67387,67972,67175,66005,64886,63585,62727,62191,62375,64132,6
2017-11-25,67618,67921,67196,66138,64596,61980,59516,57513,56241,55702,56006,56835,58870,61310,63243,64908,65466,65172,64665,63689,62961,62640,62970,65104,0
2017-11-26,68720,69455,68706,67872,66354,63928,61898,60201,59365,58929,59035,59376,60866,63087,64746,65732,65551,64914,64359,63932,63332,63187,63776,66778,6
2017-12-03,70716,70798,70015,68952,67542,65061,63113,61111,59923,59453,59427,59736,60779,62942,64298,65603,65794,65120,64482,64296,64045,63725,64361,67999,6
