date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-07-06,2832,2880,2942,2842,2850,2702,2527,2301,2073,1933,1822,1814,1833,1969,2099,2247,2392,2598,2712,2839,2950,3026,3145,3158,1
2015-07-09,3161,3147,3135,3036,2920,2770,2593,2353,2177,2001,1904,1852,1874,1953,2084,2228,2390,2477,2633,2746,2853,2943,2976,3001,1
2015-07-10,3041,3011,2944,2881,2812,2688,2503,2296,2078,1972,1878,1866,1900,1929,2091,2253,2386,2520,2575,2646,2688,2689,2705,2680,1
2015-07-19,2858,2878,2867,2862,2793,2674,2536,2316,2156,2001,1887,1835,1792,1816,1866,1989,2157,2310,2478,2605,2789,2841,2939,3025,1
2015-07-22,3084,3004,2979,2862,2770,2625,2427,2195,1936,1856,1784,1766,1801,1939,2129,2287,2394,2461,2493,2556,2569,2558,2581,2549,1
2015-07-25,2984,3007,2954,2845,2730,2672,2478,2265,2072,1962,1883,1845,1828,1864,1890,1985,2125,2249,2335,2372,2361,2348,2333,2324,1
2015-07-28,2696,2722,2713,2668,2605,2566,2368,2139,1956,1831,1763,1744,1789,1913,2097,2306,2426,2513,2586,2668,2761,2844,2921,2992,1
2015-08-03,2710,2738,2734,2717,2707,2691,2515,2303,2120,2001,1950,1934,1977,2132,2315,2472,2571,2658,2747,2848,2944,3016,3104,3172,3
2015-08-04,3174,3143,3124,3032,2947,2893,2643,2354,2150,2005,1922,1884,1911,2001,2158,2362,2510,2611,2694,2762,2829,2919,2971,3048,3
2015-08-05,3134,3172,3112,2953,2811,2725,2496,2237,2052,1925,1863,1838,1869,1994,2155,2328,2437,2526,2603,2647,2708,2771,2821,2871,1
2015-08-07,2875,2895,2865,2781,2741,2714,2494,2258,2075,1933,1859,1823,1848,1966,2124,2309,2452,2542,2649,2738,2803,2892,2983,3067,1
2015-08-08,3151,3183,3133,3003,2890,2798,2565,2320,2128,1987,1895,1835,1832,1856,1901,2016,2187,2341,2439,2510,2566,2635,2694,2754,1
2015-08-21,3119,3141,3042,2873,2799,2671,2428,2201,2008,1900,1826,1807,1835,1966,2156,2290,2383,2479,2537,2589,2630,2686,2719,2772,1
2015-08-25,3024,3052,2973,2874,2844,2712,2445,2177,2000,1894,1825,1801,1841,1975,2172,2302,2388,2489,2579,2635,2703,2782,2849,2908,1
2015-08-26,2985,3039,2986,2881,2857,2710,2454,2217,2023,1905,1825,1798,1823,1950,2146,2280,2407,2500,2604,2696,2798,2899,3001,3084,1
