date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-07-04,91960.0,90283.0,89176.0,85357.0,80078.0,75461.0,71516.0,69613.0,69288.0,68363.0,68490.0,68025.0,68880.0,71998.0,77278.0,81867.0,85819.0,88684.0,90671.0,91974.0,93401.0,94158.0,93894.0,92096.0,4
2015-09-13,85276.0,86050.0,83721.0,79503.0,75037.0,71714.0,68696.0,66651.0,65406.0,64680.0,65151.0,65866.0,67041.0,70374.0,73063.0,75125.0,76933.0,78377.0,79158.0,79238.0,79297.0,79784.0,80519.0,80260.0,7
2015-09-21,88598.0,89069.0,84486.0,78387.0,73151.0,69978.0,67924.0,66495.0,65867.0,66610.0,69005.0,76637.0,81568.0,83647.0,85758.0,88112.0,89668.0,90919.0,92064.0,92357.0,92480.0,92871.0,92940.0,92339.0,9
2015-09-26,90173.0,89300.0,85612.0,80656.0,75604.0,70631.0,67472.0,66020.0,65427.0,65077.0,65785.0,67718.0,69833.0,72667.0,76157.0,78619.0,79838.0,80386.0,80602.0,80524.0,80874.0,81064.0,81095.0,80677.0,7
2015-09-27,82325.0,82425.0,79631.0,75440.0,71439.0,68181.0,65209.0,63739.0,62195.0,61934.0,62877.0,64407.0,65547.0,68455.0,71435.0,73909.0,76208.0,78026.0,79334.0,80233.0,81335.0,82415.0,83651.0,84702.0,7
2015-10-02,87114.0,86717.0,83282.0,78080.0,73690.0,69953.0,66873.0,65350.0,64752.0,65340.0,68464.0,75515.0,80937.0,82747.0,84082.0,85144.0,85057.0,85078.0,84904.0,84262.0,83400.0,83511.0,83636.0,84257.0,5
2015-10-03,85502.0,84423.0,81501.0,77260.0,73054.0,69772.0,67241.0,66077.0,65209.0,65092.0,65809.0,68146.0,71258.0,74451.0,78208.0,80474.0,81098.0,80537.0,79682.0,78937.0,78378.0,78480.0,79014.0,79980.0,7
2015-10-04,81677.0,80796.0,78199.0,74879.0,71115.0,68212.0,65571.0,63820.0,62805.0,62345.0,63186.0,64727.0,66621.0,68864.0,71525.0,73000.0,73564.0,73762.0,73435.0,73147.0,73196.0,73958.0,75476.0,77266.0,6
2015-10-05,81196.0,81142.0,77722.0,73346.0,69020.0,65991.0,64100.0,63256.0,63111.0,64128.0,68079.0,76218.0,81639.0,82963.0,83645.0,84524.0,84952.0,85356.0,85900.0,85578.0,85424.0,85684.0,85863.0,86497.0,0
2015-10-06,89764.0,88411.0,84261.0,78397.0,73250.0,69289.0,66319.0,65089.0,64760.0,65340.0,69055.0,77369.0,82399.0,83099.0,83872.0,84994.0,85379.0,86213.0,86992.0,87414.0,87806.0,88055.0,87866.0,87893.0,9
2015-10-07,90918.0,90049.0,85636.0,79123.0,73507.0,69166.0,66246.0,64708.0,64113.0,65086.0,68594.0,76115.0,81127.0,82800.0,84316.0,85599.0,86708.0,87755.0,88867.0,89657.0,89919.0,90288.0,89835.0,89281.0,9
2015-10-08,91921.0,90611.0,86327.0,79891.0,74545.0,69594.0,66543.0,65052.0,64348.0,65255.0,68677.0,76714.0,81793.0,83031.0,84472.0,86116.0,87777.0,89284.0,90909.0,91615.0,91586.0,91587.0,90819.0,90649.0,9
2015-10-09,93273.0,91960.0,88196.0,82604.0,75468.0,71233.0,68441.0,66620.0,65889.0,66223.0,69980.0,77306.0,82413.0,84177.0,86126.0,88166.0,89504.0,90047.0,90521.0,90612.0,90422.0,89654.0,88862.0,88048.0,9
2015-10-10,88539.0,86592.0,83038.0,78126.0,73401.0,68643.0,65718.0,63942.0,62850.0,62561.0,63762.0,66052.0,69014.0,71493.0,73220.0,74499.0,74637.0,74036.0,73374.0,72957.0,73372.0,74144.0,73910.0,74787.0,1
2015-10-11,77687.0,77058.0,74788.0,71788.0,68312.0,64747.0,62704.0,61464.0,60726.0,60769.0,61587.0,63455.0,65896.0,68463.0,70439.0,70813.0,71016.0,71325.0,71630.0,71941.0,72583.0,73849.0,75527.0,77101.0,6
2015-10-12,80719.0,79975.0,76428.0,72404.0,68745.0,65497.0,63322.0,62397.0,62272.0,63554.0,66910.0,74451.0,79895.0,81537.0,83045.0,84607.0,85666.0,86392.0,86998.0,87311.0,87500.0,87993.0,88053.0,88512.0,0
2015-10-13,91220.0,89225.0,84774.0,78560.0,73056.0,68956.0,66171.0,64674.0,64095.0,65123.0,68980.0,76785.0,82035.0,83010.0,84370.0,85808.0,86664.0,86999.0,87507.0,87287.0,87135.0,87185.0,87237.0,88532.0,9
2015-10-14,90919.0,89277.0,84688.0,79095.0,73481.0,69136.0,66354.0,64773.0,64365.0,65211.0,69275.0,76833.0,82372.0,83246.0,83849.0,84659.0,84648.0,85004.0,85336.0,85194.0,84672.0,84639.0,84553.0,85847.0,5
2015-10-15,88711.0,87467.0,83405.0,78442.0,73808.0,69579.0,67187.0,65583.0,65473.0,66676.0,70457.0,77864.0,83665.0,84332.0,84593.0,84712.0,84581.0,84314.0,84489.0,84183.0,84112.0,84250.0,84073.0,85203.0,5
2015-10-16,88149.0,86977.0,83235.0,78828.0,73803.0,69347.0,66789.0,65620.0,65484.0,66758.0,70116.0,77330.0,82750.0,83535.0,83976.0,84239.0,83963.0,83410.0,83102.0,82343.0,81422.0,81084.0,81024.0,82083.0,5
2015-10-17,84537.0,83506.0,81019.0,77394.0,73123.0,70169.0,68049.0,66797.0,66380.0,66752.0,68577.0,71603.0,75066.0,77167.0,78435.0,78392.0,77565.0,76751.0,75632.0,75067.0,74916.0,75310.0,75625.0,78245.0,1
2015-10-18,81775.0,81418.0,79591.0,76755.0,74084.0,71505.0,69585.0,68615.0,68355.0,68927.0,70560.0,72220.0,75070.0,77655.0,78392.0,77508.0,76592.0,76543.0,76258.0,75485.0,75031.0,75620.0,77379.0,80935.0,1
2015-10-20,92098.0,91108.0,87494.0,82208.0,77288.0,74068.0,71851.0,70801.0,70707.0,72147.0,76323.0,84872.0,90119.0,89420.0,88111.0,87217.0,86155.0,85326.0,85024.0,84831.0,84515.0,84483.0,84493.0,86600.0,8
2015-10-21,89844.0,88409.0,84658.0,78801.0,73632.0,69668.0,67739.0,66987.0,66803.0,68117.0,72209.0,81119.0,86447.0,86526.0,85857.0,85680.0,85300.0,85375.0,85689.0,85594.0,85379.0,85313.0,85498.0,86934.0,5
2015-10-22,89582.0,87882.0,84067.0,78876.0,73024.0,69226.0,66918.0,65722.0,65385.0,66458.0,70318.0,78709.0,84430.0,84861.0,84816.0,85090.0,85344.0,85389.0,86008.0,86345.0,86137.0,86361.0,86056.0,87735.0,5
2015-10-23,90072.0,88232.0,84226.0,78916.0,73096.0,69160.0,66764.0,65235.0,64425.0,65579.0,68968.0,76626.0,82275.0,83012.0,83692.0,84123.0,83852.0,83461.0,83818.0,83396.0,82896.0,82655.0,82456.0,83741.0,5
2015-10-24,85021.0,83132.0,80389.0,77359.0,72957.0,68832.0,66129.0,64576.0,63878.0,64296.0,65941.0,68628.0,71297.0,74398.0,76741.0,77873.0,77657.0,76799.0,75739.0,74826.0,74318.0,74668.0,76211.0,79150.0,1
2015-10-25,80309.0,78818.0,76476.0,72949.0,69841.0,66436.0,63950.0,62256.0,61367.0,60993.0,61741.0,63881.0,66899.0,68918.0,71499.0,72524.0,72987.0,73325.0,73012.0,72602.0,72752.0,73155.0,74098.0,78055.0,6
2015-10-26,81284.0,80318.0,76987.0,73666.0,70192.0,67106.0,65238.0,64459.0,64596.0,66374.0,70696.0,79589.0,86101.0,86646.0,86607.0,86412.0,85707.0,84863.0,84088.0,83253.0,82643.0,82870.0,83869.0,87624.0,0
2015-10-27,90476.0,88996.0,85406.0,80255.0,75644.0,72488.0,70707.0,69585.0,69581.0,70937.0,74639.0,83285.0,89154.0,89164.0,88744.0,88423.0,87841.0,87262.0,86767.0,86061.0,85580.0,85951.0,87567.0,91382.0,8
