date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-07-03,34183,33056,32028,31239,29540,27443,25607,24347,23531,22982,22797,23058,23225,23912,25348,27052,28623,30127,31500,32735,33544,34276,34711,34536,2
2015-07-04,33621,32372,30929,30108,28531,26750,24978,23577,22605,22039,21679,21634,21349,21894,23550,25600,27701,29587,31153,32376,33303,33999,34146,33748,2
2015-07-05,32812,31523,29984,28840,27697,26707,25312,24017,23042,22437,22146,22153,21967,22735,24521,26830,29143,31227,33224,34951,36353,37428,38186,38428,2
2015-07-06,37835,36563,35184,34516,32508,30043,28090,26756,25827,25268,25176,25843,26712,28120,29917,31798,33792,35473,36914,38170,38739,38938,38485,37233,1
2015-07-07,35807,34494,33454,32556,30440,28007,26040,24687,23786,23289,23184,23842,24985,26118,27250,28184,29099,29810,30292,30648,30690,30611,30358,29876,2
2015-07-09,29860,29249,28801,28779,27329,25341,23831,22948,22351,22039,22102,22939,24104,25264,26589,27850,29136,30215,31230,32112,32708,33250,33477,33464,2
2015-07-10,33021,32256,31385,30996,29316,27029,25375,24156,23378,22888,22866,23416,24397,25656,27199,28817,30468,31891,33084,34322,35077,35714,35979,35664,2
2015-07-11,34912,33778,32613,32045,30397,28385,26566,25337,24412,23659,23466,23564,23511,24393,26540,28889,31217,33181,34792,36102,37216,38041,38616,38761,1
2015-08-01,39352,37815,36320,35231,33214,30719,28733,27150,26041,25206,24763,24811,24871,25647,27470,29738,32015,33978,35559,37029,38197,39034,39521,39557,1
2015-08-15,39425,37796,36269,34928,32572,30020,27941,26480,25393,24619,24198,24241,24380,24846,26798,29144,31513,33676,35455,36935,38116,39114,39696,39676,1
2015-08-16,38885,37272,35723,34282,32146,29881,27851,26396,25281,24468,23928,23796,23579,23997,25939,28254,30598,32808,34837,36540,37780,38673,39265,39391,1
2015-08-17,38640,37131,35965,34525,32002,29450,27508,26151,25261,24734,24762,25571,27191,28356,29760,31545,33443,35404,37141,38597,39220,39536,39606,39223,1
2015-08-18,38453,37140,36386,34968,32259,29489,27515,26354,25582,25286,25307,26184,27823,28654,29504,30555,31778,32963,33958,34997,35702,36529,37137,36993,1
2015-08-19,36338,35189,34489,33204,30681,28211,26270,25043,24170,23495,23349,23990,25555,26429,26895,27420,27986,28335,28613,28995,29064,29245,29355,29306,2
2015-08-20,29026,28478,28394,27795,25892,24016,22600,21676,21105,20839,20997,21899,23613,24516,25403,26301,27454,28396,29384,30434,31260,32099,32755,32837,2
2015-08-21,32360,31377,30984,30076,27855,25580,23979,23025,22475,22285,22412,23137,24884,25890,26821,27884,29066,30156,31254,32542,33554,34508,35178,35010,2
2015-08-22,34219,33064,32590,31459,29598,27635,26045,24865,24013,23432,23198,23378,23856,24293,25591,27248,28939,30602,32026,33260,34334,35419,36171,36250,2
2015-08-23,35486,34071,33336,32117,30122,28112,26506,25268,24381,23676,23188,23095,23147,23109,24182,25412,26367,27136,27861,28651,29385,30206,30850,31228,2
2015-08-24,30834,29941,29790,28937,26950,24850,23401,22491,21964,21724,21876,22785,24670,25609,26608,27781,29013,30182,31334,32557,33550,34430,35152,35202,2
2015-08-25,34589,33453,32865,31483,28989,26669,24984,23939,23252,22790,22852,23641,25320,26188,27124,28197,29404,30662,32079,33564,34814,36014,36874,36915,1
2015-08-26,36239,34921,34209,32653,29891,27298,25581,24411,23642,23185,23144,24052,25819,26640,27543,28925,30548,32370,34105,35946,37254,38343,39073,38888,1
2015-08-27,38014,36589,35824,34097,31285,28598,26740,25492,24554,23999,23948,24801,26714,27657,28366,29455,30751,31975,33081,34195,34751,35438,35864,35523,1
2015-08-28,34696,33859,33726,32431,30021,27645,26034,24847,24114,23677,23669,24534,26383,27443,28143,29078,30201,31248,32243,33534,34323,34856,35094,34587,1
2015-08-29,33518,32448,32068,30921,29162,27229,25627,24511,23652,23172,23006,23169,23581,23807,25091,26660,28258,29685,30893,31981,32876,33564,34030,33937,2
2015-08-30,33176,31996,31517,30396,28546,26642,25081,23849,23054,22545,22243,22278,22394,22546,23860,25513,27249,29135,30988,32673,33959,35074,35810,36092,2
2015-09-07,39339,37607,36697,34976,32720,30429,28617,27168,26178,25411,24955,24966,25189,25063,26407,28752,31233,33549,35375,36803,37633,38190,38464,38346,1
2015-09-08,37496,36485,35855,34017,31398,28917,27234,26041,25212,24731,24748,25691,27817,28838,29763,31303,33122,34540,35870,37160,37798,37837,37257,36124,1
2015-09-09,34918,34117,33648,32035,29666,27336,25790,24768,24155,23805,23808,24682,26561,27646,28349,29319,30530,31728,33038,34518,35530,36311,36889,36650,1
2015-09-10,35768,34541,33877,32071,29384,26936,25250,24165,23332,22912,22931,23831,25756,26701,27655,29222,31182,33055,34903,36578,37687,38421,38676,38047,1
2015-09-11,36841,35495,34520,32244,29475,26965,25095,23879,23025,22499,22393,23015,24928,25834,26325,27156,28108,29049,29898,30756,31048,31305,31358,30790,2
2015-09-14,29296,28704,28655,27361,25474,23502,22039,21213,20679,20414,20564,21570,23535,24664,25396,26382,27557,28713,29967,31421,32559,33458,34062,33859,2
2015-09-15,32947,32034,31772,30097,27726,25431,23655,22587,21873,21473,21499,22398,24352,25231,25810,26798,28172,29527,31051,32561,33814,34893,35558,35328,2
2015-09-16,34374,33448,33077,31445,29102,26725,25151,24129,23474,23024,23029,23893,25923,26920,27832,29259,31186,33057,34935,36667,37786,38609,39021,38545,1
2015-09-17,37445,36234,35545,33696,31058,28544,26774,25591,24809,24277,24187,25062,27051,28054,29075,30724,32489,34132,35749,37384,38443,39265,39630,39045,1
2015-09-18,37767,36661,35910,33975,31318,28728,26809,25474,24581,24000,23883,24552,26362,27432,28181,29437,30824,31989,32864,33681,34189,34380,34250,33476,1
2015-09-21,26501,26586,26638,25607,23917,22253,21045,20463,20064,19862,20142,21074,23174,24326,24904,25717,26779,27854,29008,30221,31191,32063,32646,32542,2
2015-09-22,31863,31363,31020,29444,27168,24936,23361,22351,21711,21345,21407,22328,24291,25308,26020,27080,28514,30032,31682,33372,34422,35136,35360,34631,2
2015-09-23,33506,32866,32210,30464,28074,25806,24081,22963,22216,21740,21736,22658,24625,25601,26176,27100,28193,29378,30664,31842,32446,32926,33054,32499,2
2015-09-24,31507,31049,30494,28907,26751,24599,23156,22173,21478,21194,21250,22227,24291,25427,25759,26529,27700,28854,30074,31347,32189,32825,33086,32581,2
2015-09-25,31520,31085,30561,28944,26779,24593,23032,22010,21337,20971,21069,21916,23836,24745,25357,26582,27949,29301,30692,32048,32875,33470,33662,32987,2
2015-09-28,30061,29393,28595,26880,25129,23123,21681,20785,20273,20002,20198,21205,23261,24391,24922,26105,27584,29091,30652,32159,33113,33826,34288,33877,2
2015-09-29,32737,32011,31047,29182,26749,24455,22784,21731,21050,20615,20711,21580,23569,24642,25205,26226,27410,28589,29693,30733,31327,31725,31847,31207,2
2015-10-08,30723,30997,30312,28813,26756,24720,23354,22525,21976,21692,21878,22873,25089,26514,26827,27629,28727,29804,30897,32022,32770,33254,33382,32864,2
2015-10-12,31598,31666,30786,29251,27249,25132,23685,22783,22216,21894,22082,23087,25159,26530,26977,27977,29122,29982,30742,31598,32179,32499,32645,32155,2
2015-10-14,30560,30587,29629,28059,25966,24014,22683,21912,21432,21214,21407,22459,24774,26245,26365,26852,27671,28400,29262,30377,31348,32197,32807,32558,2
2015-10-15,31571,31277,30134,28510,26519,24447,23087,22303,21838,21541,21608,22553,24666,26082,26308,26973,27897,28841,29983,31228,32171,32829,33132,32448,2
2015-12-02,31162,31919,31897,31579,30702,29216,27669,26891,26625,26510,26669,27330,28870,31447,32577,31949,31320,30678,29999,29350,28972,28470,28180,28688,0
2015-12-03,30638,31678,31671,31580,30847,29381,27939,27214,26991,26982,27186,27904,29555,32278,33420,32577,31432,30453,29437,28606,28115,27568,27245,27645,0
2015-12-04,29550,30597,30760,30761,30155,28857,27506,26883,26596,26510,26711,27380,28911,31533,32572,31820,30825,29945,29102,28293,27846,27395,27067,27420,0
2015-12-17,31354,32356,32320,32175,31511,30037,28582,27848,27448,27392,27552,28182,29678,32375,33761,33257,32488,31891,31280,30712,30479,30245,30235,30973,0
2015-12-18,32736,33529,33562,33489,32771,31377,29877,29001,28633,28552,28739,29375,30935,33473,34780,34253,33391,32558,31613,30651,30006,29368,29074,29416,0
2015-12-29,33085,33607,33210,32708,31777,30494,29215,28390,27923,27745,27782,28200,29151,30696,31902,32042,32107,32014,31685,31198,30839,30593,30582,31061,0
2015-12-30,32641,33212,32922,32419,31521,30089,28738,27769,27268,27042,27041,27469,28552,30219,31515,31792,31870,31612,30979,30304,29868,29466,29347,29782,0
2015-12-31,31545,32433,32207,31928,31190,30000,28778,27958,27490,27335,27442,27925,28971,30554,31757,31896,31715,31209,30531,29726,29213,28680,28485,28999,0
2016-01-04,28959,30467,30859,30748,30241,29144,28102,27580,27545,27691,28057,28792,30405,32890,34440,34311,33955,33540,32687,31814,31142,30416,30071,30523,0
2016-01-05,32510,33931,34013,33798,32945,31422,30156,29402,29178,29161,29402,30030,31517,34031,35384,34748,34073,33333,32471,31647,31071,30525,30355,30928,0
2016-01-06,32679,33766,33640,33233,32236,30610,29054,28326,27902,27756,27834,28373,29759,32200,33579,33239,33052,32898,32534,32142,31840,31543,31327,31723,0
2016-01-07,32915,33322,32864,32227,31110,29383,27773,26764,26232,26002,25995,26462,27780,30180,31739,31476,31396,31319,31067,30694,30447,30053,29744,30044,0
2016-01-09,31600,31954,31533,31071,30415,29387,28256,27519,27065,26889,27120,27430,28099,29109,30397,31290,32139,32534,32653,32447,32223,32033,32070,32485,0
2016-01-10,33944,34891,34815,34617,34135,33277,32518,31904,31699,31631,31743,32008,32608,33480,34421,34771,34581,33811,33088,32346,31531,30766,30563,31077,0
2016-01-11,33354,34918,35153,34949,34219,32762,31436,30803,30585,30460,30627,31034,32425,34949,36301,35840,35221,34506,33623,32720,32014,31311,30949,31235,0
2016-01-12,32659,33996,33976,33637,32790,31353,30024,29298,29063,29018,29200,29880,31494,34233,35629,34826,33819,32984,32094,31195,30610,29989,29613,29913,0
2016-01-13,31407,32862,32991,32851,32280,30976,29754,29119,28913,28842,29053,29670,31182,33828,35135,34336,33115,32004,31069,29866,29185,28490,28090,28251,0
2016-01-14,29565,30999,31058,30944,30242,28818,27526,26780,26616,26583,26745,27199,28682,31206,32639,31929,31012,30115,29341,28553,28015,27456,27227,27368,0
2016-01-17,30949,32240,32305,32159,31696,30889,30088,29576,29418,29466,29613,30031,30655,31655,32694,33169,32992,32545,32009,31587,31172,30829,30845,31436,0
