date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-07-02,87106,85142,84173,82404,77086,71479,67323,64587,62873,62138,63253,65794,69326,73047,76123,78943,81634,83930,86153,88073,89456,90025,89977,88840
2015-07-03,86617,84035,82697,80747,75547,69890,65701,62852,60966,59757,59940,60735,61883,64948,69386,73575,76766,79045,80973,82617,83892,84849,85395,84955
2015-07-04,83036,80300,78827,77143,73104,68519,64265,61292,59282,58046,57636,57350,57551,60515,65163,69930,73838,76903,78837,80112,81067,81992,82468,82044
2015-07-05,80122,77235,75163,73266,70980,67902,63897,60809,58759,57506,57221,56964,57347,60406,65280,70697,75485,79724,83357,86119,88217,89997,91034,90976
2015-07-06,89452,87034,85840,83864,78545,72845,68584,65545,63804,63297,64521,67543,72132,77275,82152,86928,91549,95720,99066,101417,102825,103393,103568,102585
2015-07-07,100344,97132,95304,92450,85847,79485,74799,71534,69525,68737,69604,72559,76281,80373,84005,86954,89764,91352,92327,92854,92444,92119,91618,89881
2015-07-08,87774,85566,84684,82651,77091,71420,67593,65069,63466,62952,63900,66601,70209,74415,77787,81125,83513,85499,87222,88581,88844,88550,88336,87661
2015-07-09,86374,84621,84202,82461,77300,72281,68378,65969,64337,63697,64737,67887,71516,75436,79129,82495,85800,88352,90689,92741,93858,94569,95078,94101
2015-07-10,92121,89799,88669,86432,80746,74743,70344,67178,65249,64582,65469,68057,71739,76326,80952,85176,89319,92469,95174,97250,98481,99101,99082,97974
2015-07-11,95691,92371,90359,88076,82365,76340,71373,67658,65420,63903,63694,64013,65037,68956,74549,80219,84994,88810,91435,93580,95032,95989,96309,96065
2015-07-12,94498,91869,90131,88220,82988,77570,72966,69463,67048,65408,64695,64409,64555,68505,74669,80655,86101,90792,94632,97700,100013,102093,103672,104461
2015-07-13,103534,100717,98663,96121,89659,82631,77445,73817,71436,70583,71475,74294,78485,84135,89764,94831,99533,103796,106608,109007,111058,112784,114067,113907
2015-07-14,112095,108836,106119,101872,94282,86772,81111,77106,74603,73190,73893,76556,80594,86345,91793,96669,101420,105295,108273,110582,111637,111885,111437,109853
2015-07-15,106904,102790,99954,96730,89345,81951,76682,72850,70308,69045,69399,71921,75433,80073,84371,88690,92571,96243,99214,101693,103513,104167,104273,101971
2015-07-16,100619,97380,95540,92567,86118,79340,74516,71130,68975,68016,68835,71732,75506,80078,84487,88561,92539,95761,98323,100905,102538,103337,103576,102590
2015-07-17,100815,98525,97319,94288,88164,81992,77289,73985,71830,70859,71846,75140,78982,84445,90271,95905,101119,105651,109157,112092,113991,114478,114278,113313
2015-07-18,110653,107087,104329,101095,94481,87568,81700,77055,73844,72012,71360,71732,72851,77549,84267,91148,96865,101094,103628,105461,107196,108454,109195,108719
2015-07-19,106444,103205,100218,97159,91114,84847,79458,75471,72574,70724,69775,68986,69612,73522,79377,84929,89643,93363,96539,99045,101198,102694,103864,104260
2015-07-20,102818,99750,97376,94312,88015,81641,76834,73475,71353,70329,71392,74395,78750,84277,89674,94610,99156,102783,105686,108076,109254,109427,109294,108199
2015-07-21,105962,102920,100385,96866,89568,82648,77459,73824,71569,70446,71321,74119,77754,82659,87513,92013,96337,99674,102244,104363,105599,106193,106124,104975
2015-07-22,102745,99088,96458,93277,86285,79448,74452,71076,69009,68076,68929,71729,75571,80321,84944,89326,93607,96921,99951,102594,104193,104764,104866,103947
2015-07-23,101733,98505,96449,93284,86648,80068,75151,71741,69535,68607,69531,72440,76344,81066,86393,91507,96456,100529,104146,107073,109309,110587,111084,110601
2015-07-24,108054,104401,101751,98318,90980,83873,78328,74610,72066,70710,71544,74152,77827,82929,88227,93775,98867,103280,107035,109933,111753,112936,113274,112180
2015-07-25,109461,105507,102542,98888,92013,84958,79524,75356,72487,70628,70248,70531,71625,75940,82236,88399,93522,98175,101854,104502,106736,108421,108532,107570
2015-07-26,104767,100984,98463,94937,88833,82572,77466,73470,70746,68815,67785,67508,67770,71494,77546,83606,88709,93370,97457,100333,102512,104141,105360,105308
