date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-07-02,2740,3287,3264,3192,3136,2974,2773,2515,2271,2121,1993,1952,1979,2061,2232,2421,2602,2763,2900,3026,3161,3191,3306,3363
2015-07-03,3445,3443,3410,3308,3225,3072,2807,2567,2329,2137,2003,1949,1900,1991,2038,2196,2349,2509,2650,2797,2892,2935,3024,3116
2015-07-04,3177,3169,3223,3093,3040,2926,2748,2485,2254,2080,1945,1867,1814,1832,1903,1996,2136,2276,2414,2568,2669,2720,2795,2853
2015-07-05,2852,2901,2870,2780,2690,2589,2473,2275,2127,1971,1874,1796,1780,1752,1780,1877,2041,2115,2320,2407,2510,2642,2702,2769
2015-07-06,2832,2880,2942,2842,2850,2702,2527,2301,2073,1933,1822,1814,1833,1969,2099,2247,2392,2598,2712,2839,2950,3026,3145,3158
2015-07-07,3250,3236,3186,3125,3052,2880,2629,2385,2195,2034,1910,1891,1919,2002,2174,2323,2519,2652,2777,2870,2990,3032,3176,3281
2015-07-08,3358,3360,3264,3131,3007,2875,2614,2398,2149,2013,1890,1840,1869,1954,2055,2265,2487,2636,2723,2788,2897,2957,3034,3039
2015-07-09,3161,3147,3135,3036,2920,2770,2593,2353,2177,2001,1904,1852,1874,1953,2084,2228,2390,2477,2633,2746,2853,2943,2976,3001
2015-07-10,3041,3011,2944,2881,2812,2688,2503,2296,2078,1972,1878,1866,1900,1929,2091,2253,2386,2520,2575,2646,2688,2689,2705,2680
2015-07-11,2719,2712,2644,2640,2564,2516,2370,2200,2029,1888,1825,1778,1771,1790,1835,1949,2069,2185,2278,2311,2352,2389,2419,2402
2015-07-12,2435,2425,2360,2334,2356,2253,2180,2003,1876,1790,1721,1702,1699,1721,1767,1835,1932,2038,2162,2245,2295,2324,2403,2410
2015-07-13,2512,2494,2551,2549,2523,2426,2300,2154,1955,1877,1803,1787,1813,1928,2094,2245,2421,2506,2611,2698,2747,2860,2831,2877
2015-07-14,2876,2872,2803,2736,2723,2570,2380,2160,1944,1833,1768,1735,1765,1876,2030,2171,2315,2427,2519,2618,2715,2740,2793,2838
2015-07-15,2870,2870,2839,2755,2701,2559,2399,2202,2001,1855,1795,1786,1831,1902,2039,2169,2301,2412,2443,2562,2623,2725,2780,2830
2015-07-16,2894,2931,2905,2816,2779,2613,2450,2207,2032,1888,1777,1772,1813,1901,2047,2185,2325,2409,2507,2587,2665,2767,2765,2848
2015-07-17,2814,2865,2789,2703,2741,2586,2382,2153,1967,1825,1776,1712,1766,1877,2041,2152,2334,2416,2516,2610,2669,2725,2744,2839
2015-07-18,2847,2904,2829,2787,2707,2552,2451,2248,2060,1913,1831,1803,1760,1795,1853,1965,2124,2278,2434,2503,2609,2634,2722,2737
2015-07-19,2858,2878,2867,2862,2793,2674,2536,2316,2156,2001,1887,1835,1792,1816,1866,1989,2157,2310,2478,2605,2789,2841,2939,3025
2015-07-20,3079,3061,3084,3017,2981,2864,2667,2405,2211,2034,1969,1915,1955,2081,2235,2409,2525,2703,2833,2918,3011,3071,3155,3200
2015-07-21,3217,3261,3263,3204,3065,2929,2684,2440,2205,2037,1926,1897,1978,2076,2262,2397,2533,2663,2709,2846,2885,2982,3014,3076
2015-07-22,3084,3004,2979,2862,2770,2625,2427,2195,1936,1856,1784,1766,1801,1939,2129,2287,2394,2461,2493,2556,2569,2558,2581,2549
2015-07-23,2550,2552,2515,2458,2442,2450,2282,2071,1915,1809,1759,1722,1750,1885,2062,2232,2349,2452,2540,2591,2649,2709,2757,2824
2015-07-24,2883,2932,2891,2785,2679,2648,2451,2201,1992,1859,1789,1760,1777,1885,2043,2229,2363,2460,2562,2620,2677,2746,2792,2919
2015-07-25,2984,3007,2954,2845,2730,2672,2478,2265,2072,1962,1883,1845,1828,1864,1890,1985,2125,2249,2335,2372,2361,2348,2333,2324
2015-07-26,2313,2322,2318,2277,2273,2272,2178,2016,1860,1762,1695,1658,1658,1673,1700,1806,1956,2088,2168,2227,2266,2290,2297,2319
2015-07-27,2335,2390,2391,2380,2351,2334,2186,1994,1859,1753,1710,1713,1752,1878,2062,2258,2384,2470,2543,2604,2632,2664,2683,2691
2015-07-28,2696,2722,2713,2668,2605,2566,2368,2139,1956,1831,1763,1744,1789,1913,2097,2306,2426,2513,2586,2668,2761,2844,2921,2992
2015-07-29,3064,3137,3124,3050,2960,2896,2649,2383,2149,2013,1922,1864,1891,2017,2196,2428,2586,2729,2889,3031,3192,3369,3512,3651
2015-07-30,3744,3796,3750,3646,3492,3389,3075,2724,2426,2255,2116,2042,2057,2164,2338,2556,2752,2928,3120,3291,3480,3668,3840,3920
2015-07-31,3989,4009,3967,3872,3738,3611,3284,2962,2656,2428,2282,2193,2177,2252,2390,2593,2783,2955,3153,3319,3493,3667,3774,3850
2015-08-01,3890,3882,3816,3665,3517,3382,3091,2754,2469,2261,2127,2028,1980,1974,2000,2145,2334,2528,2687,2829,2978,3132,3287,3431
2015-08-02,3523,3559,3517,3411,3283,3183,2909,2642,2401,2200,2086,2009,1967,1967,1976,2095,2262,2461,2598,2646,2648,2642,2631,2654
2015-08-03,2710,2738,2734,2717,2707,2691,2515,2303,2120,2001,1950,1934,1977,2132,2315,2472,2571,2658,2747,2848,2944,3016,3104,3172
2015-08-04,3174,3143,3124,3032,2947,2893,2643,2354,2150,2005,1922,1884,1911,2001,2158,2362,2510,2611,2694,2762,2829,2919,2971,3048
2015-08-05,3134,3172,3112,2953,2811,2725,2496,2237,2052,1925,1863,1838,1869,1994,2155,2328,2437,2526,2603,2647,2708,2771,2821,2871
2015-08-06,2915,2948,2911,2803,2724,2670,2463,2199,2018,1908,1846,1818,1849,1975,2142,2332,2455,2548,2626,2694,2717,2762,2813,2812
2015-08-07,2875,2895,2865,2781,2741,2714,2494,2258,2075,1933,1859,1823,1848,1966,2124,2309,2452,2542,2649,2738,2803,2892,2983,3067
2015-08-08,3151,3183,3133,3003,2890,2798,2565,2320,2128,1987,1895,1835,1832,1856,1901,2016,2187,2341,2439,2510,2566,2635,2694,2754
2015-08-09,2754,2709,2648,2569,2545,2513,2359,2160,2004,1902,1824,1772,1758,1784,1800,1877,2059,2211,2350,2453,2563,2659,2761,2857
2015-08-10,2951,3017,2988,2913,2871,2788,2558,2288,2111,1990,1913,1886,1933,2069,2253,2419,2587,2729,2838,2951,3088,3177,3266,3330
2015-08-11,3348,3349,3244,3127,3074,2982,2693,2417,2221,2070,1992,1958,1991,2115,2310,2491,2585,2695,2769,2877,2994,3105,3214,3355
2015-08-12,3459,3493,3492,3398,3319,3216,2910,2599,2363,2186,2089,2048,2062,2193,2362,2546,2690,2799,2915,3081,3216,3355,3473,3565
2015-08-13,3625,3664,3600,3488,3411,3273,2922,2607,2339,2165,2067,2020,2021,2132,2327,2483,2593,2706,2784,2878,2999,3113,3245,3352
2015-08-14,3425,3443,3387,3230,3118,2980,2666,2399,2188,2039,1953,1914,1935,2073,2257,2405,2509,2586,2638,2693,2717,2717,2697,2645
2015-08-15,2621,2634,2553,2503,2512,2450,2291,2104,1957,1844,1801,1770,1783,1835,1889,1968,2148,2277,2356,2400,2406,2433,2444,2488
2015-08-16,2525,2548,2546,2467,2443,2424,2248,2068,1920,1801,1750,1712,1701,1726,1741,1829,2008,2146,2236,2307,2343,2411,2495,2595
2015-08-17,2688,2765,2791,2732,2703,2625,2407,2171,1995,1875,1823,1809,1848,1992,2170,2345,2486,2605,2719,2836,2910,3010,3134,3259
2015-08-18,3329,3384,3333,3209,3117,2979,2682,2396,2170,2037,1957,1907,1937,2069,2254,2418,2585,2695,2832,2951,3105,3268,3420,3557
2015-08-19,3682,3706,3673,3546,3474,3307,2964,2660,2401,2225,2135,2068,2071,2212,2368,2520,2685,2892,3039,3216,3406,3587,3734,3821
