date,Peak Demand (MW)
2015-07-02,90025
2015-07-03,86617
2015-07-04,83036
2015-07-05,91034
2015-07-06,103568
2015-07-07,100344
2015-07-08,88844
2015-07-09,95078
2015-07-10,99101
2015-07-11,96309
2015-07-12,104461
2015-07-13,114067
2015-07-14,112095
2015-07-15,106904
2015-07-16,103576
2015-07-17,114478
2015-07-18,110653
2015-07-19,106444
2015-07-20,109427
2015-07-21,106193
2015-07-22,104866
2015-07-23,111084
2015-07-24,113274
2015-07-25,109461
2015-07-26,105360
2015-07-27,119110
2015-07-28,119602
2015-07-29,116959
2015-07-30,112928
2015-07-31,110200
2015-08-01,105521
2015-08-02,108376
2015-08-03,108413
2015-08-04,105624
2015-08-05,103318
2015-08-06,102351
2015-08-07,105658
2015-08-08,101835
2015-08-09,100159
2015-08-10,110038
2015-08-11,106757
2015-08-12,106600
2015-08-13,109850
2015-08-14,114321
2015-08-15,108136
2015-08-16,104281
2015-08-17,108738
2015-08-18,104106
2015-08-19,98261
2015-08-20,89436
2015-08-21,92808
2015-08-22,88912
2015-08-23,87735
2015-08-24,91483
2015-08-25,88743
2015-08-26,88462
2015-08-27,89814
2015-08-28,91619
2015-08-29,87060
2015-08-30,93943
2015-08-31,108118
2015-09-01,113460
2015-09-02,112507
2015-09-03,112896
2015-09-04,111154
2015-09-05,104011
2015-09-06,105392
2015-09-07,103377
2015-09-08,107304
2015-09-09,100853
2015-09-10,93232
2015-09-11,88650
2015-09-12,76258
2015-09-13,71879
2015-09-14,86889
2015-09-15,94702
2015-09-16,99639
2015-09-17,100576
2015-09-18,96420
2015-09-19,89949
2015-09-20,77649
2015-09-21,87091
2015-09-22,90112
2015-09-23,91564
2015-09-24,91131
2015-09-25,91067
2015-09-26,85056
2015-09-27,78670
2015-09-28,90591
2015-09-29,89630
2015-09-30,83228
2015-10-01,81109
2015-10-02,77907
2015-10-03,72865
2015-10-04,68724
2015-10-05,77679
2015-10-06,81722
2015-10-07,83213
2015-10-08,83962
2015-10-09,83799
2015-10-10,76493
2015-10-11,72689
2015-10-12,81494
2015-10-13,81565
2015-10-14,79829
2015-10-15,79554
2015-10-16,79887
2015-10-17,75822
2015-10-18,69848
2015-10-19,74976
2015-10-20,77489
2015-10-21,79275
2015-10-22,80433
2015-10-23,77550
2015-10-24,74246
2015-10-25,67854
2015-10-26,72411
2015-10-27,74276
2015-10-28,74735
2015-10-29,75436
2015-10-30,75408
2015-10-31,70883
2015-11-01,66037
2015-11-02,72131
2015-11-03,75634
2015-11-04,75685
2015-11-05,76890
2015-11-06,78204
2015-11-07,74752
2015-11-08,68826
2015-11-09,72665
2015-11-10,75625
2015-11-11,75380
2015-11-12,76483
2015-11-13,76224
2015-11-14,73608
2015-11-15,67854
2015-11-16,73866
2015-11-17,76750
2015-11-18,77179
2015-11-19,75877
2015-11-20,77332
2015-11-21,75613
2015-11-22,75140
2015-11-23,80844
2015-11-24,79740
2015-11-25,77358
2015-11-26,74766
2015-11-27,67607
2015-11-28,70049
2015-11-29,72424
2015-11-30,77538
2015-12-01,80575
2015-12-02,80548
2015-12-03,82202
2015-12-04,82411
2015-12-05,78426
2015-12-06,73938
2015-12-07,78208
2015-12-08,80896
2015-12-09,78974
2015-12-10,78265
2015-12-11,78203
2015-12-12,76679
2015-12-13,72023
2015-12-14,76326
2015-12-15,80132
2015-12-16,80352
2015-12-17,80999
2015-12-18,84079
2015-12-19,83782
2015-12-20,78214
2015-12-21,77005
2015-12-22,79719
2015-12-23,78962
2015-12-24,76592
2015-12-25,69695
2015-12-26,70078
2015-12-27,72242
2015-12-28,78375
2015-12-29,81092
2015-12-30,81365
2015-12-31,80720
2016-01-01,78481
2016-01-02,76569
2016-01-03,76276
2016-01-04,84531
2016-01-05,88997
2016-01-06,86658
2016-01-07,82622
2016-01-08,80782
2016-01-09,76932
2016-01-10,79742
2016-01-11,93204
2016-01-12,90069
2016-01-13,92177
2016-01-14,86163
2016-01-15,80689
2016-01-16,79112
2016-01-17,80336
2016-01-18,92610
2016-01-19,94337
2016-01-20,90500
2016-01-21,87398
2016-01-22,87542
2016-01-23,88007
2016-01-24,80410
2016-01-25,81637
2016-01-26,80678
2016-01-27,85572
2016-01-28,85093
2016-01-29,83884
2016-01-30,76248
2016-01-31,69190
2016-02-01,75097
2016-02-02,78174
2016-02-03,79096
2016-02-04,85262
2016-02-05,87004
2016-02-06,79529
2016-02-07,73412
2016-02-08,81543
2016-02-09,87753
2016-02-10,90011
2016-02-11,87225
2016-02-12,83378
2016-02-13,82750
2016-02-14,80123
2016-02-15,80492
2016-02-16,81822
2016-02-17,80742
2016-02-18,81305
2016-02-19,77824
2016-02-20,72096
2016-02-21,67867
2016-02-22,75146
2016-02-23,77486
2016-02-24,79559
2016-02-25,81370
2016-02-26,81412
2016-02-27,76081
2016-02-28,67450
2016-02-29,75248
2016-03-01,76845
2016-03-02,81463
2016-03-03,79010
2016-03-04,78632
2016-03-05,74848
2016-03-06,69956
2016-03-07,71641
2016-03-08,73706
2016-03-09,73721
2016-03-10,74651
2016-03-11,74551
2016-03-12,70343
2016-03-13,65996
2016-03-14,72372
2016-03-15,73214
2016-03-16,74377
2016-03-17,73154
2016-03-18,72425
2016-03-19,70989
2016-03-20,67625
2016-03-21,79117
2016-03-22,75287
2016-03-23,71659
2016-03-24,72876
2016-03-25,71739
2016-03-26,66814
2016-03-27,64634
2016-03-28,71890
2016-03-29,72216
2016-03-30,71826
2016-03-31,72788
2016-04-01,72418
2016-04-02,68639
2016-04-03,66852
2016-04-04,71608
2016-04-05,73561
2016-04-06,74204
2016-04-07,72956
2016-04-08,74284
2016-04-09,70977
2016-04-10,67034
2016-04-11,72821
2016-04-12,73514
2016-04-13,72396
2016-04-14,71130
2016-04-15,70743
2016-04-16,68179
2016-04-17,65125
2016-04-18,74593
2016-04-19,73917
2016-04-20,72362
2016-04-21,72519
2016-04-22,71425
2016-04-23,68341
