date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-04,76851,78325,78143,76752,74390,71953,69536,68176,67423,67539,68413,70248,74987,81663,84531,83934,83269,82178,80945,79557,78617,77708,77608,79760,2
2016-01-05,84905,86897,86646,85266,82158,78072,75063,73837,73129,72966,73352,75001,80040,86678,88997,87746,86009,84152,82297,80397,79110,77743,77598,80057,1
2016-01-06,84989,86658,86125,84414,81137,76911,73683,72882,72170,71742,71387,72641,77287,83557,85682,84404,82720,81042,79208,77743,76764,75998,75848,77858,2
2016-01-07,81768,82622,81633,79895,76723,72194,68749,67348,66387,65188,65276,66670,71120,77337,79886,79232,78749,78337,77473,76520,75532,74774,74881,76926,2
2016-01-11,84912,87133,87020,85929,83955,81084,78702,77715,77271,77278,77648,79046,84090,90642,93204,92063,90688,89144,87062,85326,83912,82897,82677,84569,1
2016-01-12,88694,90069,89238,87354,84157,80018,76657,74723,74142,73907,74313,75787,80337,87154,89973,88782,87248,85769,84120,82916,82084,80904,80530,82187,1
2016-01-13,86742,88893,88582,87282,84993,81674,78463,76828,76042,75829,76162,78178,83180,89732,92177,90394,88167,86214,84081,82449,81093,79754,79048,80278,1
2016-01-14,84296,86163,85390,83915,80822,76731,73386,71466,70353,69897,70160,71811,76408,82695,85053,83384,81741,80257,78371,76728,75513,74795,74340,75420,2
2016-01-18,84340,86507,86155,84867,83085,81116,78915,77568,77070,77200,77706,79510,83713,89175,92281,92610,92161,90973,89212,87338,86162,84974,84758,86344,1
2016-01-19,90669,92944,92305,90766,88056,84566,81427,80015,79347,79139,79609,81227,85521,91959,94337,92893,91056,89180,87218,85387,84275,83196,82997,84713,1
2016-01-20,88803,90500,89700,87798,84227,79793,76164,74468,73481,72909,73034,74380,78250,84178,86442,85617,85007,84022,82846,81830,81247,80599,80416,82041,1
2016-01-21,86137,87398,86443,84702,81344,77166,73730,72171,71069,70593,70458,72084,76562,82839,85513,84956,84527,83829,82829,81978,81555,81015,80823,82262,1
2016-01-22,85877,86854,85769,83979,80923,76956,73809,71953,71134,70917,71411,73141,77904,84075,87130,87345,87542,87030,85928,84916,84149,83328,83025,83880,1
2016-01-23,87086,88007,86834,85239,82732,79325,76522,74578,73307,72606,72721,73490,74914,77551,79689,81103,81391,80258,78340,76193,74027,72471,71927,73501,2
2016-01-25,75942,78803,78323,76904,74346,70940,68488,67255,66561,66208,66439,67956,72885,79178,81637,80545,79678,78651,77879,77076,76421,75568,75318,76420,2
2016-01-27,83450,84872,84007,82295,79271,75196,71999,70138,69261,68795,69202,71066,76109,82941,85572,84739,83904,82694,81285,79853,78790,77670,77187,78315,2
2016-01-28,82532,85093,84406,82972,79658,75271,72319,70723,69769,69074,69229,71231,75869,82562,84820,83504,81805,79870,78003,76414,75305,74171,73716,74784,2
2016-01-29,78069,80666,80610,79409,76761,73027,70350,68578,67795,67541,67948,69915,74893,81661,83884,82339,80107,78069,76046,74353,73175,71966,71202,71825,2
2016-02-04,79412,81907,81724,80394,77499,73612,70464,68698,67844,67738,68260,70409,75659,82798,85262,84249,82844,81537,79702,78170,77119,75871,75276,76221,2
2016-02-05,79828,83405,83669,82782,80142,76410,73528,72310,71815,71683,71766,73757,78653,85303,87004,85365,83195,80907,78639,76818,75679,74267,73501,74087,2
2016-02-08,69392,70946,70955,70548,69341,67874,65464,63958,63376,63452,64332,66554,71730,78494,81193,81426,81543,81293,80618,80332,80098,79714,79716,80658,2
2016-02-09,83937,86998,86421,84794,81499,77610,74601,73123,72238,72237,72820,74667,79377,85533,87753,87180,86441,85425,84149,82982,82074,81136,80847,81240,1
2016-02-10,84345,87680,87409,85949,83341,79761,76998,75236,74412,74268,74914,77171,81704,88204,90011,88724,87348,85798,84156,82703,81790,80902,80197,80835,1
2016-02-11,83737,86807,86652,85341,82446,78924,75861,74150,73102,72834,73114,74896,79528,85667,87225,85763,83801,82050,80517,78997,78053,77179,76721,77661,1
2016-02-12,80600,83378,83299,81816,78815,75534,72115,69972,68957,68579,68677,70303,74606,80464,82559,82544,81966,81150,80001,79246,78934,78173,77612,78007,2
2016-02-13,79939,82750,82273,81088,79168,76771,74179,72272,71171,70736,70925,71616,73503,76041,78111,79884,80130,79155,77404,75590,74136,73061,72744,73691,2
2016-02-16,79194,81822,81225,79242,76111,72278,69298,67237,66188,65633,66170,68131,72423,78800,80923,80251,79591,78873,77488,76568,75814,75218,74802,75366,2
2016-02-18,76210,79714,79701,78392,75680,71825,68697,67112,66506,66134,66441,68470,73451,79789,81305,79953,78506,77039,75592,74516,73693,72850,72581,72985,2
2016-02-25,78722,81370,80834,79262,76140,72109,69307,67417,66189,65982,66423,68527,72901,79074,80892,80185,79263,78348,77467,76386,75903,75142,74744,75297,2
2016-02-26,77180,80422,80480,78927,76105,72196,69089,67532,66850,66777,67315,69167,73714,79570,81412,80347,78816,77235,75825,74387,73341,72311,71344,71440,2
