date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-16,2649,2724,2874,2851,2767,2675,2549,2352,2169,2036,1940,1901,1882,1916,2004,2140,2311,2454,2564,2582,2579,2630,2586,2523,2
2016-01-18,2583,2610,2770,2762,2687,2608,2484,2285,2100,1973,1895,1876,1897,1974,2179,2445,2653,2735,2785,2824,2771,2749,2711,2658,7
2016-01-22,2615,2702,2857,2848,2779,2686,2522,2275,2097,1923,1851,1815,1823,1902,2117,2461,2680,2645,2606,2586,2534,2476,2446,2401,6
2016-01-25,2453,2532,2724,2789,2736,2639,2493,2262,2049,1930,1858,1837,1855,1961,2209,2573,2804,2780,2736,2684,2614,2557,2516,2477,1
2016-01-26,2457,2511,2756,2849,2799,2706,2515,2277,2056,1904,1821,1795,1806,1889,2116,2478,2697,2684,2684,2703,2692,2652,2629,2591,7
2016-01-27,2568,2618,2786,2831,2755,2664,2498,2253,2036,1898,1814,1780,1783,1871,2089,2456,2665,2648,2602,2557,2517,2496,2475,2449,6
2016-01-30,2579,2667,2802,2832,2755,2659,2514,2361,2166,2048,1943,1905,1895,1943,2030,2194,2368,2540,2655,2676,2660,2567,2520,2519,2
2016-02-05,2577,2646,2800,2852,2811,2732,2565,2343,2139,1988,1920,1899,1915,2020,2282,2641,2864,2841,2819,2794,2740,2698,2638,2569,7
2016-02-06,2577,2622,2762,2780,2686,2601,2471,2285,2119,1987,1893,1848,1842,1877,1990,2158,2350,2502,2788,2604,2515,2470,2417,2377,2
2016-02-20,2638,2680,2797,2854,2792,2696,2547,2373,2190,2035,1953,1911,1899,1923,2030,2204,2370,2528,2536,2519,2452,2389,2320,2265,2
2016-02-22,2365,2377,2501,2714,2715,2649,2506,2291,2085,1957,1909,1889,1907,2013,2284,2651,2847,2818,2800,2783,2724,2661,2578,2490,1
2016-02-24,2429,2498,2649,2785,2740,2658,2494,2266,2056,1930,1862,1834,1856,1954,2205,2571,2749,2706,2638,2587,2490,2427,2421,2369,6
2016-03-01,2531,2625,2723,2866,2809,2702,2500,2256,2049,1912,1832,1803,1802,1881,2130,2500,2664,2620,2644,2627,2612,2575,2544,2480,6
2016-03-02,2481,2514,2654,2808,2811,2713,2547,2316,2098,1956,1882,1840,1864,1953,2204,2569,2739,2688,2665,2629,2563,2522,2512,2499,6
2016-03-03,2505,2576,2731,2800,2783,2659,2489,2244,2025,1896,1819,1765,1782,1868,2108,2463,2596,2577,2550,2518,2504,2487,2423,2372,6
2016-03-08,2456,2486,2573,2783,2797,2721,2548,2303,2096,1994,1933,1888,1932,2058,2309,2703,2856,2828,2797,2766,2741,2746,2742,2693,7
2016-03-10,2685,2746,2787,2876,2813,2696,2511,2239,2036,1909,1825,1787,1815,1875,2120,2474,2631,2612,2591,2562,2562,2529,2532,2493,6
2016-03-18,2405,2441,2470,2593,2663,2562,2338,2121,1979,1908,1881,1904,1992,2220,2578,2793,2794,2753,2672,2599,2533,2479,2423,2398,5
2016-03-29,2424,2451,2478,2539,2635,2502,2258,2047,1913,1853,1825,1877,1970,2252,2659,2872,2804,2662,2588,2508,2408,2385,2330,2293,5
2016-04-19,2792,2847,2814,2752,2771,2603,2309,2037,1831,1716,1645,1630,1661,1836,2081,2272,2312,2377,2432,2503,2552,2629,2686,2763,9
2016-04-20,2829,2875,2843,2768,2760,2596,2296,2019,1834,1710,1639,1620,1650,1832,2076,2250,2316,2356,2412,2444,2502,2546,2593,2644,4
2016-05-03,2778,2797,2756,2662,2638,2511,2232,1975,1786,1683,1620,1593,1634,1806,2030,2242,2287,2317,2359,2386,2412,2443,2464,2504,4
2016-05-14,2771,2794,2709,2585,2509,2440,2212,1978,1781,1652,1585,1564,1559,1612,1660,1788,1958,2078,2147,2173,2155,2118,2106,2102,8
2016-05-31,2227,2282,2310,2295,2288,2286,2087,1836,1678,1578,1539,1535,1593,1732,1998,2237,2276,2373,2442,2506,2564,2654,2723,2796,3
