date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-05,31610,32610,32730,32238,30984,29760,29064,29401,29514,29844,30611,31926,34473,36375,35914,34637,33248,31755,30414,29700,29154,28628,28771,29898,0
2016-01-06,32796,33793,33910,33236,30723,29241,28646,30230,30258,30527,30977,32044,34856,36582,36045,34862,33457,31895,30399,29438,28945,28516,28733,29225,0
2016-01-11,29136,30344,30938,30785,30242,29639,29660,29367,29552,30162,30935,32696,36099,38309,37900,36447,34539,32487,30840,30436,29601,28975,29191,30073,0
2016-01-12,29447,34152,34455,33790,32959,31806,31522,31657,31617,31895,32113,33426,36106,37827,36924,34624,32119,30242,28770,27959,27479,26754,26361,27269,0
2016-01-19,33318,34928,35341,34737,33452,32450,34663,32223,32436,32257,33161,35065,38097,40127,39355,37726,36009,34240,32571,31403,30416,30269,30378,31007,0
2016-01-23,33660,33856,33509,32848,31938,30896,30634,30434,30402,30750,31233,32115,32631,33860,35025,36187,36663,36138,35277,33903,32740,31955,32155,33291,0
2016-01-24,34835,35593,35690,35340,34528,33757,33294,33580,33451,33675,33758,33851,35096,36298,37149,36235,34085,31526,29374,27772,26371,25569,25482,26463,0
2016-01-25,29266,31166,31766,31662,30948,29747,29219,29042,29187,29732,30837,32783,35896,37697,36837,34616,32171,30112,28365,27217,26182,25510,25421,26221,0
2016-02-10,34081,35715,35733,35273,33778,32764,32512,32437,32511,32461,32864,34626,37747,39602,38703,37314,36035,34494,32894,31935,31107,30871,30734,31215,0
2016-02-11,33459,35087,35295,35042,33504,31792,31069,31259,31094,30883,31315,32837,35930,37551,36163,33559,31090,28953,27226,26410,26034,25389,25317,25460,0
2016-05-25,32940,31700,30909,28330,25477,23696,22785,21750,21269,20981,21492,22321,23050,24327,25870,27619,29532,31254,32992,34529,35684,36407,36502,35933,1
2016-05-26,34725,33189,32221,29820,26746,24650,23351,22637,21883,21704,22275,23030,24051,25403,26919,28782,30969,32816,34596,35680,37028,37512,37502,36705,1
2016-05-31,34446,33076,32245,29867,26937,24952,23601,22733,22013,21880,22302,23077,23848,25887,28261,30935,33774,36079,37918,39060,39545,39334,38744,37859,1
2016-06-01,36567,35118,34276,31799,29159,26968,25355,24425,23648,23223,23376,23752,24879,26613,28824,31380,34076,36557,38583,39660,39940,39310,38098,36571,1
2016-06-02,35105,33942,33112,31124,28358,25913,25375,24363,23623,23404,23864,24808,25186,26552,28535,30600,33193,35236,37197,38444,38714,38169,37499,36621,1
2016-06-03,35352,34283,33660,31494,28794,26654,25373,24535,23804,23473,23849,24227,24553,26585,29020,31724,34333,36407,38142,39517,40226,40419,40098,39140,1
2016-06-04,37608,36047,35141,32845,30011,27919,26222,25215,24296,23963,23875,23558,23328,24977,27156,29538,31788,33356,34522,35462,35905,35743,35366,34646,1
2016-06-07,32067,31392,31003,29335,27063,25412,24568,23677,22989,22887,23430,23816,24361,26056,28055,30369,32416,34407,36107,37488,38621,39301,39302,38643,1
2016-06-08,37389,35574,34415,31757,28634,26320,24961,23691,22810,22463,22939,23032,23559,25208,26765,28555,30371,32032,33807,35354,36594,37460,37603,37043,1
2016-06-10,33657,32018,31741,29988,27132,24747,24602,23661,22859,22588,22953,23421,24097,25786,27702,30362,33019,35023,37010,38715,39782,40499,40552,39810,1
2016-06-11,38343,36440,35200,32984,30084,27631,26112,25105,24197,23514,23367,23316,23509,24719,27517,30582,33512,35921,37487,38520,39314,39577,39324,38441,1
2016-06-12,37081,35689,34936,32951,30353,28166,26976,25889,24845,24257,24023,23620,23408,25225,28312,31132,33856,36242,38010,39023,39418,39608,39603,39194,1
2016-06-13,38082,36778,36016,33941,31183,28903,27708,26624,25718,25489,26034,26485,26982,29134,31680,34698,37570,39606,41749,42909,43446,43699,43385,42445,1
2016-06-14,41225,39609,38618,36320,32803,30136,28725,27625,26557,26161,26552,27488,28030,29797,32243,34707,37619,39606,40692,40479,39409,38617,37997,36959,1
2016-06-15,35939,34910,34414,32599,29904,28358,26845,26052,25397,24960,25566,26260,26819,28562,30499,32563,34416,35568,36458,37140,37588,38268,38587,38423,1
2016-06-16,37619,36445,35780,33489,30474,28167,26769,26091,25485,25232,25710,26371,27230,28698,30547,32997,35640,37693,39792,41453,42447,42849,42560,41317,1
2016-06-17,39987,38363,37551,35122,32094,30084,28142,26865,25839,25516,25900,26673,27358,29401,32397,35674,38610,40954,41852,41027,39797,38463,37221,35669,1
