date,Peak Demand (MW)
2015-07-02,38528
2015-07-03,39362
2015-07-04,36746
2015-07-05,33206
2015-07-06,33397
2015-07-07,34915
2015-07-08,34465
2015-07-09,32625
2015-07-10,30697
2015-07-11,30766
2015-07-12,30999
2015-07-13,35354
2015-07-14,36927
2015-07-15,36052
2015-07-16,37012
2015-07-17,37701
2015-07-18,38717
2015-07-19,34409
2015-07-20,38987
2015-07-21,40596
2015-07-22,38164
2015-07-23,36316
2015-07-24,35893
2015-07-25,37231
2015-07-26,35155
2015-07-27,35511
2015-07-28,38354
2015-07-29,40978
2015-07-30,42326
2015-07-31,41717
2015-08-01,40616
2015-08-02,36175
2015-08-03,36690
2015-08-04,38390
2015-08-05,38056
2015-08-06,40064
2015-08-07,37303
2015-08-08,35938
2015-08-09,32558
2015-08-10,34074
2015-08-11,35351
2015-08-12,36590
2015-08-13,39889
2015-08-14,41561
2015-08-15,42103
2015-08-16,42539
2015-08-17,43356
2015-08-18,44164
2015-08-19,40622
2015-08-20,38648
2015-08-21,37278
2015-08-22,36222
2015-08-23,34361
2015-08-24,38777
2015-08-25,40841
2015-08-26,41310
2015-08-27,43474
2015-08-28,45460
2015-08-29,46780
2015-08-30,39802
2015-08-31,37120
2015-09-01,38827
2015-09-02,37282
2015-09-03,35400
2015-09-04,33386
2015-09-05,31201
2015-09-06,29707
2015-09-07,35633
2015-09-08,43766
2015-09-09,45779
2015-09-10,46067
2015-09-11,47251
2015-09-12,45498
2015-09-13,36349
2015-09-14,37596
2015-09-15,35192
2015-09-16,32917
2015-09-17,31592
2015-09-18,33185
2015-09-19,35190
2015-09-20,37748
2015-09-21,41046
2015-09-22,39912
2015-09-23,37078
2015-09-24,38638
2015-09-25,41221
2015-09-26,41561
2015-09-27,38361
2015-09-28,36322
2015-09-29,37650
2015-09-30,34968
2015-10-01,35378
2015-10-02,33876
2015-10-03,32976
2015-10-04,29340
2015-10-05,28379
2015-10-06,30460
2015-10-07,31444
2015-10-08,34618
2015-10-09,38188
2015-10-10,40149
2015-10-11,36782
2015-10-12,37702
2015-10-13,40116
2015-10-14,41597
2015-10-15,38491
2015-10-16,34730
2015-10-17,32523
2015-10-18,29806
2015-10-19,28465
2015-10-20,30180
2015-10-21,30789
2015-10-22,31220
2015-10-23,30985
2015-10-24,30421
2015-10-25,28791
2015-10-26,29849
2015-10-27,31541
2015-10-28,30726
2015-10-29,30396
2015-10-30,30040
2015-10-31,29522
2015-11-01,28171
2015-11-02,28380
2015-11-03,29441
2015-11-04,28767
2015-11-05,29014
2015-11-06,29114
2015-11-07,28469
2015-11-08,26537
2015-11-09,26984
2015-11-10,29404
2015-11-11,29155
2015-11-12,29148
2015-11-13,29220
2015-11-14,28476
2015-11-15,26425
2015-11-16,26961
2015-11-17,29753
2015-11-18,29401
2015-11-19,29239
2015-11-20,29296
2015-11-21,28869
2015-11-22,27040
2015-11-23,26846
2015-11-24,29299
2015-11-25,29166
2015-11-26,28665
2015-11-27,24293
2015-11-28,26701
2015-11-29,26772
2015-11-30,27687
2015-12-01,30589
2015-12-02,30298
2015-12-03,29978
2015-12-04,30006
2015-12-05,29285
2015-12-06,27610
2015-12-07,28037
2015-12-08,30343
2015-12-09,30524
2015-12-10,30512
2015-12-11,30346
2015-12-12,29481
2015-12-13,27618
2015-12-14,28566
2015-12-15,31671
2015-12-16,31680
2015-12-17,31645
2015-12-18,30709
2015-12-19,29627
2015-12-20,28172
2015-12-21,28411
2015-12-22,30515
2015-12-23,29696
2015-12-24,29286
2015-12-25,27523
2015-12-26,25671
2015-12-27,27997
2015-12-28,28516
2015-12-29,30791
2015-12-30,30549
2015-12-31,30132
2016-01-01,28784
2016-01-02,27153
2016-01-03,27349
2016-01-04,27590
2016-01-05,29516
2016-01-06,30336
2016-01-07,30663
2016-01-08,30120
2016-01-09,29241
2016-01-10,27478
2016-01-11,27498
2016-01-12,29657
2016-01-13,29487
2016-01-14,29215
2016-01-15,29658
2016-01-16,28557
2016-01-17,26265
2016-01-18,26288
2016-01-19,28740
2016-01-20,28826
2016-01-21,28694
2016-01-22,28419
2016-01-23,28164
2016-01-24,26192
2016-01-25,26571
2016-01-26,29243
2016-01-27,29111
2016-01-28,29051
2016-01-29,28721
2016-01-30,28011
2016-01-31,26418
2016-02-01,27633
2016-02-02,30082
2016-02-03,29837
2016-02-04,29352
2016-02-05,28672
2016-02-06,27848
2016-02-07,26002
2016-02-08,25344
2016-02-09,29061
