date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-06-03,36227,36962,36998,36825,36056,35416,33734,30552,27727,25818,24406,23438,23015,23404,23788,25313,27203,28398,29714,31305,32943,34270,36226,37882,1
2016-06-04,39132,40127,40015,39202,37922,36874,34971,32068,29121,26758,25145,23985,23540,23363,23098,23320,24321,25993,27430,28811,30283,31207,32260,33322,1
2016-06-20,35625,37103,38163,38474,37572,36953,35901,32812,29431,26833,25086,23992,23439,23668,24863,26245,28896,31350,33523,35925,37951,39425,41133,42670,0
2016-06-21,43856,44254,44450,43916,42353,41530,39528,35629,31779,29048,27156,25838,25141,25172,25973,27407,29390,30945,32436,33886,35394,36664,38194,39347,0
2016-06-22,40293,40892,40859,40267,39081,38119,36563,34167,31751,27631,25957,24876,24338,24473,25310,26647,28437,29989,31639,32979,34175,35275,36710,37743,0
2016-06-23,38783,39482,39497,38821,37539,36595,35149,31986,28939,26653,25136,24182,23798,24253,25156,26492,28023,29295,30773,31727,32687,33549,34687,35990,1
2016-06-24,37191,38016,38254,37833,36739,35954,34690,31707,28705,26519,25114,24148,23693,23866,24688,25925,27467,28887,29947,30968,31697,32548,33440,34744,1
2016-06-27,36503,37718,38449,38409,37416,36601,35297,32286,29205,26909,25338,24388,23968,24255,25237,26710,28910,30839,32360,34455,36423,38092,40064,41676,0
2016-06-28,42785,43251,43219,42524,41604,41064,39228,35562,31947,29270,27357,26099,25468,25595,26498,27885,29639,31276,33054,35019,36751,38114,39683,41169,0
2016-06-29,42376,43022,42920,42322,41199,40151,38278,34654,31050,28358,26509,25375,24775,24856,25792,27039,28791,30331,31912,33621,35228,36795,38567,39982,0
2016-06-30,41142,41880,41958,41518,40049,38877,37136,33699,30293,27758,26073,24917,24331,24529,25512,26763,28478,29852,31243,32853,34248,35570,37305,38797,0
2016-07-01,39960,40789,40898,40406,39240,38262,36613,33345,30127,27917,26358,25292,24731,24841,25936,27080,28527,30166,31563,32967,34230,34914,36037,37144,0
2016-07-02,38177,38920,39051,38439,37053,36112,34672,31994,29266,27040,25423,24338,23643,23421,23746,23884,24824,26070,27115,28222,29289,30197,31189,32323,1
2016-07-13,35673,36489,36992,36801,35899,35371,34108,31137,28161,26290,24970,24083,23692,23986,24809,25817,27715,29094,30200,31406,32649,33783,35693,37475,1
2016-07-14,39035,40184,40630,40233,39134,38169,36461,33019,29723,27306,25624,24721,24362,24349,25059,26347,28151,29873,31058,32364,34066,35658,37417,38851,0
2016-07-15,40376,41228,41462,40913,39641,38550,36681,33149,29837,27388,25717,24726,24326,24217,25012,26369,28108,29475,30855,31677,32690,34001,35640,37209,1
2016-07-16,38589,39484,39749,39372,38066,36997,35365,32459,29542,27156,25377,24361,23893,23708,24022,24285,25054,25835,26944,28315,29378,30264,31526,32892,1
2016-07-20,37070,38058,38546,38265,37184,36467,34883,31618,28602,26344,24756,23637,23211,23711,24442,25676,27634,29137,30158,31509,33093,34578,36392,38081,1
2016-07-21,39418,40554,41029,40739,39378,38441,36692,33176,29787,27305,25640,24747,24146,24120,24887,26267,28170,29492,31152,32947,34519,36128,37903,39549,0
2016-07-22,40862,41357,41632,41042,39715,39207,37500,33883,30516,28279,26853,25892,25195,25190,25903,26730,28832,30789,32319,34175,36040,37389,38997,40677,0
2016-07-23,42268,42789,43189,42617,41211,40369,38405,35252,31999,29440,27535,26138,25282,25372,25201,25145,26340,28338,30082,32313,34314,36124,37785,39031,0
2016-07-24,39951,40528,40641,40169,38831,37718,36021,33300,30420,28293,26832,25628,24877,24739,24704,24403,25196,26652,28336,30328,32000,33669,35622,37377,1
