date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-02,2773,2929,3187,3168,3120,3053,2932,2746,2576,2451,2374,2346,2353,2399,2517,2670,2869,3013,3082,3091,3056,2992,2904,2874,0
2016-01-08,2740,2845,3057,3087,3048,2996,2822,2581,2367,2223,2150,2128,2153,2245,2494,2862,3107,3078,3030,2992,2900,2820,2759,2691,0
2016-01-12,2900,2997,3150,3163,3082,2957,2762,2499,2255,2100,2029,1986,1996,2105,2354,2732,2966,2955,2909,2959,2930,2910,2906,2880,0
2016-01-13,2911,3018,3143,3124,3048,2937,2733,2467,2235,2067,1972,1928,1926,2010,2259,2600,2836,2843,2854,2811,2836,2817,2790,2753,0
2016-07-22,3142,3124,3032,2839,2684,2622,2378,2126,1956,1824,1734,1701,1774,1852,1872,2195,2326,2417,2432,2483,2504,2497,2507,2462,1
2016-07-25,2672,2802,2844,2816,2737,2676,2448,2166,1967,1821,1738,1707,1751,1876,2057,2276,2422,2537,2665,2766,2877,2974,3059,3176,1
2016-07-27,3058,3128,3123,3031,2906,2799,2524,2217,1996,1856,1776,1738,1763,1896,2086,2262,2387,2430,2538,2629,2742,2851,2959,3082,1
2016-08-04,2739,2792,2788,2709,2659,2622,2373,2120,1926,1814,1733,1700,1738,1855,2044,2236,2378,2498,2621,2727,2840,2986,3112,3202,1
2016-08-15,3055,3109,3092,2976,2852,2736,2419,2161,1955,1824,1757,1713,1755,1893,2065,2269,2401,2501,2599,2724,2822,2936,3060,3171,1
2016-08-17,3139,3206,3202,3080,2986,2832,2529,2232,2022,1870,1786,1732,1745,1890,2078,2265,2367,2462,2561,2631,2698,2789,2859,2948,1
2016-08-24,2844,2882,2872,2778,2729,2637,2357,2116,1934,1809,1737,1702,1735,1874,2058,2239,2380,2474,2575,2703,2830,2962,3100,3195,1
2016-12-13,2790,2950,3161,3186,3127,3053,2918,2633,2366,2203,2156,2129,2139,2247,2533,2922,3126,3088,3077,2983,2929,2906,2892,2895,0
2016-12-21,2705,2845,3090,3096,3043,3001,2849,2678,2473,2333,2235,2235,2267,2369,2604,2920,3128,3165,3192,3190,3118,3059,2983,2939,0
2016-12-27,2947,3076,3182,3132,3058,2982,2824,2619,2379,2231,2133,2113,2110,2200,2369,2608,2795,2861,2903,2960,2860,2828,2858,2868,0
2016-12-28,2928,3044,3137,3133,3033,2948,2780,2543,2360,2213,2140,2098,2118,2206,2412,2707,2912,2986,3011,3024,2957,2895,2871,2850,0
2016-12-29,2888,3035,3141,3155,3065,2981,2779,2570,2363,2186,2119,2089,2128,2229,2416,2680,2877,2956,3041,3063,3018,2997,2992,2937,0
2016-12-30,2903,3016,3160,3157,3042,2942,2776,2554,2335,2191,2102,2073,2056,2125,2329,2584,2728,2864,2910,2893,2908,2866,2809,2756,0
