date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-01,30875,31457,30969,30397,29818,29085,28343,27803,27483,27229,27250,27438,27906,28588,29055,29056,29031,28805,28399,27749,27042,26543,26357,26845,0
2016-01-02,28832,29906,29894,29745,29382,28685,27755,27061,26723,26577,26628,26977,27675,28649,29500,29782,29759,29393,28769,27919,27031,26356,26109,26589,0
2016-01-03,28472,29740,29802,29762,29323,28547,27573,26902,26543,26339,26410,26703,27264,28119,29013,29289,28906,28224,27647,27195,26627,26207,26150,26743,0
2016-01-08,31057,31673,31342,30822,29824,28299,26876,26142,25740,25616,25628,26054,27294,29750,31287,31091,31037,31021,30856,30549,30407,30186,30133,30524,0
2016-01-09,31600,31954,31533,31071,30415,29387,28256,27519,27065,26889,27120,27430,28099,29109,30397,31290,32139,32534,32653,32447,32223,32033,32070,32485,0
2016-01-14,29565,30999,31058,30944,30242,28818,27526,26780,26616,26583,26745,27199,28682,31206,32639,31929,31012,30115,29341,28553,28015,27456,27227,27368,0
2016-01-15,28485,29857,29857,29647,28835,27536,26321,25622,25164,25091,25337,25852,27259,29817,31475,31320,31079,30826,30332,29789,29373,28971,28668,28879,0
2016-01-16,30030,31078,30946,30718,30210,29352,28283,27653,27402,27379,27476,27814,28570,29638,30752,31473,31884,31832,31365,30604,29899,29409,29188,29519,0
2016-01-24,29932,31424,31453,31345,30840,29962,28981,28332,27963,27842,27880,28086,28565,29286,30132,30536,30270,29514,28660,28012,27408,26865,26569,26894,0
2016-01-25,28211,30002,30147,29830,29013,27621,26322,25569,25316,25290,25421,25966,27542,30186,31747,31392,31285,31136,30866,30550,30357,30088,29918,30148,0
2016-01-29,28035,29759,30005,29834,29054,27706,26502,25906,25718,25760,26000,26753,28248,30918,32208,31377,30291,29398,28528,27738,27262,26675,26210,26150,0
2016-01-30,26500,27681,27591,27244,26721,25800,24813,24046,23637,23475,23624,24053,24836,25950,26966,27352,27381,26939,26393,25650,25013,24464,24324,24568,1
2016-01-31,25383,26606,26448,26085,25555,24674,23705,22996,22555,22425,22393,22428,22850,23695,24444,25231,25583,25508,25274,25057,24805,24547,24462,24855,1
2016-02-01,25977,27635,27856,27476,26729,25462,24265,23616,23348,23488,23730,24497,26197,29071,30697,30294,29833,29531,29030,28431,28058,27685,27456,27621,0
2016-02-02,28487,29752,29609,29146,28194,26675,25289,24674,24444,24207,24290,24834,26083,28363,29609,29397,29200,29102,28902,28635,28343,28094,27997,28270,0
2016-02-06,28834,30218,30302,30129,29688,28699,27625,26901,26527,26356,26435,26780,27520,28704,29608,29923,29652,29055,28184,27258,26496,25804,25460,25561,0
2016-02-07,26428,28157,28550,28584,28343,27581,26761,26157,25861,25793,25870,26118,26671,27590,28303,28643,28411,27685,27048,26771,26382,26087,26049,26467,0
2016-02-11,28091,29753,30067,29969,29292,27904,26687,26052,25850,25862,26121,26704,28322,31075,32359,31894,31353,30755,30002,29327,28907,28541,28233,28296,0
2016-02-12,28726,30075,30249,30061,29329,27995,26779,26110,25924,25902,26155,26787,28372,31010,32294,31917,31397,30850,30071,29262,28822,28316,27977,27909,0
2016-02-13,28390,29856,30151,30053,29713,28899,27932,27293,26992,26916,27068,27403,28098,29337,30328,30994,31197,30875,30224,29440,28752,28207,27948,28129,0
2016-02-14,28819,30079,30298,30090,29564,28596,27553,26831,26446,26222,26099,26190,26501,27164,27818,28316,28429,27987,27386,26867,26200,25692,25425,25677,0
2016-02-15,26475,27997,28237,27870,27265,26233,25199,24630,24366,24295,24465,24992,26293,28385,29582,29694,29574,29286,28690,27993,27492,27019,26644,26581,0
2016-02-16,27065,28695,29084,28823,28049,26731,25382,24586,24294,24276,24408,24988,26555,29247,30437,30061,29771,29511,29108,28640,28415,28063,27718,27756,0
2016-02-17,28153,29490,29862,29615,28774,27396,26244,25546,25359,25317,25626,26307,27947,30672,31680,30775,29804,29081,28361,27670,27266,26855,26566,26550,0
2016-02-18,26903,28369,28814,28566,27839,26472,25007,24270,23868,23791,23897,24454,25993,28571,29525,29017,28535,28083,27607,27194,27000,26830,26612,26564,0
2016-02-19,26670,27745,28001,27569,26582,25183,23732,22804,22306,21936,21890,22130,23248,25466,26471,26590,26776,26911,26774,26610,26547,26380,26154,25996,1
2016-02-20,25864,26664,26659,26178,25439,24374,23153,22297,21711,21498,21393,21463,22051,23005,23618,24364,24841,25064,25081,24943,24768,24661,24684,24861,1
2016-02-21,25085,25886,25974,25492,24775,23780,22772,21909,21447,21147,20950,21099,21495,22274,22985,23889,24265,24433,24455,24404,24197,23934,23904,24180,1
2016-02-22,24917,26430,26909,26553,25784,24600,23425,22749,22460,22463,22659,23284,24841,27648,29017,28904,28738,28555,28193,27710,27442,26988,26668,26683,1
2016-02-23,27154,28660,28942,28554,27646,26160,24888,24147,23797,23771,23913,24465,25997,28611,29912,29873,29918,29994,29765,29532,29401,29123,29031,29333,0
2016-02-24,29753,30910,31193,30749,29856,28429,27163,26469,26156,26117,26228,26806,28388,31037,31920,31252,30739,30191,29555,28922,28447,27885,27521,27511,0
2016-02-25,27986,29456,30057,29999,29281,27909,26725,26016,25831,25849,25997,26654,28250,30890,31820,31354,30915,30551,29938,29373,29040,28598,28296,28319,0
2016-02-27,25819,27078,27867,27800,27380,26533,25526,24981,24734,24648,24764,25106,25856,26914,27355,27323,26812,26107,25355,24690,24185,23811,23626,23707,1
2016-02-28,23962,24981,25477,25153,24579,23738,22731,21973,21638,21479,21439,21613,22104,22910,23396,24111,24383,24273,24225,24224,23987,23790,23774,23915,1
2016-03-01,27004,28056,28492,27912,26927,25403,23990,23146,22835,22728,22907,23435,24912,27443,28646,28756,28729,28702,28306,27831,27642,27324,27019,26924,1
2016-03-02,27158,28607,29455,29185,28454,27224,26117,25522,25323,25327,25537,26167,27691,30258,31150,30661,30088,29399,28634,27968,27598,27158,26892,26895,0
2016-03-03,27086,28121,28663,28275,27295,25766,24384,23530,23199,23053,23216,23769,25231,27783,28746,28560,28301,28094,27727,27335,27123,26829,26608,26571,1
2016-03-04,26640,27792,28574,28293,27500,26167,24949,24379,24138,24192,24346,24900,26368,28912,29803,29407,28762,28270,27656,26993,26715,26380,26038,25859,0
2016-03-05,25623,26269,26760,26330,25782,24811,23720,23086,22795,22662,22717,22993,23799,24825,25379,25678,25664,25281,24944,24475,24096,23813,23700,23783,1
2016-03-06,23953,24950,25561,25180,24594,23734,22729,22129,21833,21647,21653,21681,22174,22808,23271,23906,24075,23820,23667,23542,23479,23359,23491,23702,1
2016-03-07,24217,25283,25990,25551,24674,23390,22096,21295,20913,20794,20821,21368,22556,24832,26102,26481,26741,26961,26995,26930,26910,26707,26540,26613,1
2016-03-08,26716,27539,27982,27333,26273,24673,23184,22289,21697,21428,21320,21644,22787,25002,26193,26526,26803,27074,27123,27060,26998,26850,26582,26593,1
2016-03-09,26678,27331,27709,27204,26204,24719,23297,22539,22104,21881,21899,22280,23430,25799,27088,27267,27301,27332,27156,26909,26785,26563,26323,26214,1
2016-03-10,26191,26960,27556,27202,26218,24785,23359,22597,22195,22030,22034,22421,23631,25880,26840,27009,27003,26983,26783,26525,26459,26306,26050,25930,1
2016-03-11,25850,26583,27352,26965,26071,24640,23372,22591,22171,21985,21996,22433,23550,25639,26572,26750,26836,26865,26719,26470,26372,26132,25866,25740,1
2016-03-12,25537,25969,26446,26041,25264,24078,22894,22093,21504,21250,21150,21339,21774,22523,23014,23951,24564,24800,24711,24427,24066,23798,23745,23822,1
2016-03-13,24031,24704,25217,24858,24212,23089,22111,21255,20716,20484,20446,20631,21096,21814,22317,22951,23321,23534,23690,23611,23442,23416,23568,23792,1
2016-03-14,24045,24612,25441,24856,23617,22329,21339,20791,20534,20539,20990,22150,24384,26054,26199,26273,26464,26509,26560,26722,26805,26820,26895,26804,1
