date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-01,2887,3032,3285,3233,3099,2990,2824,2663,2553,2459,2376,2346,2321,2369,2452,2551,2674,2766,2854,2884,2869,2796,2747,2721,1
2016-01-03,2897,3040,3271,3298,3249,3204,3081,2894,2717,2576,2476,2451,2451,2468,2554,2673,2855,3039,3195,3282,3311,3304,3271,3225,1
2016-01-06,2988,3076,3281,3273,3228,3117,2926,2663,2450,2284,2212,2176,2212,2323,2591,2978,3202,3178,3133,3103,3037,2942,2907,2868,1
2016-01-07,2891,3019,3206,3219,3140,3044,2860,2586,2395,2206,2139,2097,2115,2213,2466,2846,3055,3039,2994,2958,2893,2810,2780,2723,1
2016-06-04,2956,3033,3006,2918,2813,2772,2551,2295,2062,1905,1800,1744,1724,1722,1823,2024,2255,2461,2649,2793,2924,3049,3140,3241,0
2016-06-27,2753,2857,2903,2874,2775,2699,2497,2221,1995,1842,1761,1728,1763,1878,2097,2314,2477,2606,2764,2853,2962,3091,3179,3258,0
2016-08-05,3288,3317,3270,3151,3008,2900,2618,2324,2077,1934,1831,1777,1788,1896,2051,2226,2347,2444,2541,2617,2681,2748,2805,2851,0
2016-08-14,3315,3317,3224,3069,2974,2849,2602,2344,2137,1978,1856,1780,1737,1739,1747,1847,2014,2196,2315,2455,2552,2688,2810,2942,0
2016-08-16,3244,3289,3257,3131,3009,2826,2526,2226,2017,1872,1784,1736,1766,1917,2109,2281,2377,2455,2502,2609,2696,2796,2822,3028,0
2016-12-19,2970,3139,3291,3297,3262,3182,3078,2820,2624,2481,2428,2389,2402,2512,2731,2995,3205,3269,3286,3306,3284,3254,3189,3091,1
2016-12-20,3082,3168,3284,3261,3176,3110,2910,2674,2426,2233,2148,2105,2084,2164,2340,2621,2782,2872,2886,2868,2821,2798,2732,2688,1
2016-12-23,3018,3147,3277,3237,3155,3080,2935,2719,2459,2284,2210,2160,2154,2210,2367,2577,2768,2865,2867,2897,2870,2823,2796,2758,1
2017-01-24,2670,2776,3003,3092,3075,2998,2830,2579,2379,2267,2226,2225,2265,2402,2683,3115,3312,3268,3191,3104,2993,2865,2789,2760,1
2017-02-01,2726,2793,3024,3150,3137,3058,2887,2629,2436,2293,2238,2236,2271,2371,2641,3037,3258,3217,3190,3121,3076,3041,3036,3054,1
2017-02-04,3180,3174,3291,3288,3155,3043,2844,2648,2404,2268,2157,2088,2035,2045,2144,2276,2436,2589,2700,2724,2724,2680,2635,2572,0
2017-02-07,2844,2941,3113,3223,3185,3085,2895,2648,2417,2298,2228,2196,2241,2344,2589,2966,3175,3126,3102,3094,3083,3028,3011,2980,1
2017-02-08,2997,3034,3199,3256,3204,3089,2899,2601,2370,2231,2162,2126,2144,2260,2504,2868,3055,3059,3062,3081,3054,3025,3020,3022,1
2017-02-09,2992,3062,3206,3247,3176,3040,2842,2578,2356,2193,2090,2030,1993,2070,2279,2598,2810,2756,2762,2775,2734,2656,2622,2506,1
2017-05-23,3179,3231,3250,3191,3075,2923,2634,2285,2065,1927,1802,1766,1804,1926,2187,2399,2525,2597,2689,2771,2879,2956,3044,3082,0
2017-06-19,2450,2540,2575,2583,2532,2505,2365,2094,1894,1781,1696,1678,1712,1838,2072,2311,2434,2565,2693,2819,2925,3065,3179,3269,0
2017-06-24,3152,3179,3161,3072,2933,2822,2614,2335,2088,1928,1812,1741,1722,1727,1834,2033,2269,2444,2620,2772,2917,3011,3139,3223,0
2017-07-06,3231,3318,3279,3190,3022,2833,2589,2270,2010,1887,1771,1728,1744,1865,2042,2243,2352,2451,2564,2658,2719,2793,2907,3048,0
2017-07-07,3117,3230,3257,3181,3081,2949,2644,2375,2111,1945,1815,1767,1773,1862,2044,2211,2309,2393,2428,2435,2437,2456,2487,2479,0
2017-07-25,3221,3296,3220,3092,2928,2787,2507,2278,2078,1929,1838,1785,1811,1926,2115,2294,2441,2550,2687,2803,2905,2998,3101,3231,0
2017-07-27,3232,3274,3244,3102,2998,2896,2596,2295,2072,1927,1829,1794,1814,1940,2110,2267,2378,2427,2466,2438,2451,2528,2566,2622,0
2017-07-31,2956,3055,3051,2986,2905,2751,2519,2272,2035,1884,1795,1753,1788,1923,2089,2290,2454,2587,2636,2736,2940,3028,3188,3304,0
2017-08-22,3101,3211,3160,3106,3031,2865,2558,2271,2044,1913,1837,1793,1823,1969,2157,2310,2433,2537,2658,2776,2907,3038,3181,3263,0
2017-09-01,3122,3130,3080,2968,2931,2708,2459,2164,2007,1870,1793,1761,1770,1905,2111,2247,2387,2487,2590,2700,2796,2952,3070,3213,0
2017-09-08,3217,3202,3119,3032,2989,2761,2470,2206,2046,1942,1861,1833,1866,2029,2305,2462,2503,2587,2618,2652,2664,2684,2674,2693,0
2017-09-12,3184,3260,3234,3134,3091,2813,2497,2228,2016,1913,1815,1776,1808,1964,2227,2364,2435,2553,2646,2746,2830,2956,3075,3182,0
2017-09-13,3262,3261,3139,2968,2867,2582,2301,2050,1879,1766,1706,1678,1720,1881,2125,2261,2306,2380,2402,2418,2454,2502,2530,2566,0
2017-12-14,2810,3040,3275,3278,3228,3126,2958,2695,2465,2321,2250,2209,2247,2366,2623,3012,3222,3186,3113,3013,2967,2945,2903,2999,1
2017-12-15,2924,3130,3304,3300,3247,3170,2999,2734,2497,2366,2282,2264,2290,2414,2671,3006,3226,3210,3173,3182,3128,3098,3034,2991,1
2017-12-16,3013,3123,3262,3192,3106,3014,2902,2709,2509,2343,2252,2200,2169,2193,2282,2453,2646,2775,2889,2922,2880,2801,2742,2712,1
2017-12-21,2764,2902,3153,3157,3138,3071,2972,2741,2535,2394,2330,2309,2334,2451,2694,3017,3211,3281,3296,3278,3195,3153,3075,3015,1
2017-12-28,3053,3153,3243,3198,3091,2994,2800,2577,2358,2205,2116,2084,2095,2171,2366,2613,2791,2863,2921,2949,2955,2935,2903,2905,1
2018-01-03,2956,3088,3301,3305,3226,3117,2918,2648,2438,2289,2219,2185,2210,2310,2572,2909,3118,3114,3081,3061,3016,2989,2934,2864,1
2018-01-04,2846,2996,3234,3271,3206,3098,2888,2627,2406,2278,2183,2152,2180,2269,2517,2862,3065,3046,3000,2992,2937,2905,2855,2831,1
2018-02-13,2562,2626,2831,3035,3032,2940,2779,2539,2352,2235,2185,2181,2233,2367,2661,3065,3242,3163,3008,2909,2779,2710,2614,2556,1
2018-02-20,2832,2880,3049,3222,3197,3118,2924,2678,2458,2343,2301,2279,2314,2425,2676,3047,3233,3223,3190,3179,3163,3149,3124,3099,1
2018-02-22,2917,2994,3157,3253,3197,3090,2888,2652,2465,2327,2271,2254,2261,2392,2596,2921,3105,3172,3148,3099,3027,2936,2889,2860,1
2018-02-24,3022,3073,3151,3210,3126,3029,2865,2667,2480,2338,2251,2208,2193,2220,2319,2476,2641,2743,2796,2776,2703,2639,2523,2469,1
2018-07-19,3218,3279,3248,3171,2977,2822,2555,2249,2041,1887,1805,1763,1802,1913,2089,2262,2354,2404,2446,2468,2476,2479,2484,2500,0
2018-08-02,3172,3272,3271,3175,3036,2887,2589,2286,2070,1918,1826,1790,1829,1949,2145,2293,2386,2443,2485,2499,2515,2511,2524,2503,0
2018-08-13,2598,2632,2621,2539,2512,2450,2242,2022,1875,1765,1715,1694,1750,1897,2074,2244,2350,2456,2563,2678,2801,2962,3095,3239,0
2018-12-06,2809,3021,3253,3256,3218,3119,2945,2684,2459,2324,2258,2232,2266,2375,2649,3014,3209,3157,2941,2828,2740,2665,2625,2617,1
2018-12-08,2969,3113,3221,3164,3051,2952,2806,2606,2396,2251,2167,2135,2124,2162,2263,2427,2605,2778,2888,2922,2918,2838,2732,2687,1
2019-01-16,2848,2971,3193,3231,3162,3060,2861,2599,2390,2258,2188,2163,2191,2309,2554,2900,3114,3084,3043,2967,2940,2922,2904,2874,1
2019-02-10,2972,3033,3180,3236,3150,3060,2912,2735,2564,2447,2387,2367,2376,2407,2503,2654,2839,2989,3026,3004,2945,2866,2847,2914,1
2019-02-11,3006,3099,3226,3269,3201,3084,2879,2627,2429,2300,2233,2198,2221,2315,2550,2890,3093,3107,3098,3112,3112,3099,3072,3031,1
2019-02-12,3032,3095,3213,3236,3143,3013,2806,2542,2326,2190,2112,2082,2090,2179,2423,2739,2946,2941,2949,2955,2962,2965,2962,2935,1
2019-02-21,2708,2775,2935,3076,3055,2989,2822,2591,2382,2261,2207,2203,2245,2371,2661,3029,3235,3145,3023,2940,2834,2668,2662,2607,1
2019-02-25,2726,2782,2889,2972,2934,2865,2719,2499,2321,2199,2163,2154,2198,2344,2606,2919,3130,3234,3268,3277,3256,3232,3183,3151,1
2019-02-28,3155,3168,3226,3322,3247,3129,2939,2680,2475,2356,2290,2283,2320,2445,2707,3099,3259,3185,3061,2954,2880,2847,2848,2855,1
2019-03-07,3036,3041,3129,3218,3128,3041,2838,2605,2453,2334,2254,2246,2286,2433,2648,2836,3045,3099,3064,2997,2945,2833,2804,2741,1
2019-03-11,2344,2431,2542,2662,2676,2572,2422,2316,2187,2188,2214,2267,2416,2695,2989,3220,3290,3186,3011,2922,2799,2686,2673,2646,1
2019-07-23,3186,3221,3203,3127,2950,2796,2504,2222,2017,1882,1804,1770,1799,1918,2094,2276,2370,2425,2475,2508,2554,2611,2678,2716,0
2019-08-01,3150,3227,3216,3124,2999,2869,2577,2308,2087,1947,1861,1814,1842,1954,2119,2311,2420,2520,2629,2726,2848,2972,3107,3229,0
2019-09-06,3200,3264,3199,3132,3083,2880,2605,2340,2146,2015,1930,1888,1905,2041,2269,2411,2475,2563,2645,2693,2766,2870,2950,3042,0
2019-12-03,2735,2908,3059,3143,3105,3027,2861,2628,2421,2309,2249,2253,2289,2410,2685,3030,3232,3209,3129,3044,2959,2865,2794,2765,1
2019-12-18,2946,3114,3252,3231,3182,3084,2915,2677,2452,2316,2247,2234,2262,2385,2640,2994,3212,3209,3185,3079,3023,2965,2930,2944,1
2019-12-19,2991,3149,3265,3237,3152,3063,2873,2631,2393,2218,2137,2100,2097,2182,2416,2737,2938,2920,2937,2931,2932,2931,2917,2880,1
