ba,stat,value
CISO,RMSE,1314.1151056411063
CISO,MAE,1095.1716876101777
CISO,MAPE,0.045930912190890925
ERCO,RMSE,2028.8535722273605
ERCO,MAE,1553.7914824812199
ERCO,MAPE,0.04285328241103636
MISO,RMSE,2623.2276831740946
MISO,MAE,2127.4948154388444
MISO,MAPE,0.03154266539918658
PGE,RMSE,162.8217961166017
PGE,MAE,119.24460367207605
PGE,MAPE,0.05490937021444017
PJM,RMSE,3846.9051045875526
PJM,MAE,3100.178484983045
PJM,MAPE,0.03993537575923283
SOCO,RMSE,1148.5453051231088
SOCO,MAE,844.2687596793321
SOCO,MAPE,0.03557637578565601
SWPP,RMSE,1120.195457019522
SWPP,MAE,852.0388539976179
SWPP,MAPE,0.03272012174912082
