date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-07-02,33687,32293,31727,29866,25381,23855,24943,24004,23309,23163,23738,24834,25165,26366,28091,30133,32067,34415,35994,36362,36680,36045,34865,33399
2015-07-03,33167,32233,32035,30504,28685,26766,25859,25094,24620,24435,24596,24615,24399,25423,26579,28269,29410,30719,31900,32761,32972,33291,33447,33106
2015-07-04,32139,31074,30706,29184,26454,24817,23165,22623,21907,21453,21428,20989,20665,21474,23071,25078,26738,28072,29367,30773,31279,31405,31157,30138
2015-07-05,28507,27104,26512,25576,24635,23235,21727,21088,20625,20348,20271,20001,19966,21136,22531,24281,25729,27172,28263,28994,29541,29932,30134,30080
2015-07-06,29316,28347,28307,26878,24659,22965,23263,22522,22419,22688,23220,23714,24463,25831,27096,28114,30132,32058,36933,36419,37523,38055,38922,37922
2015-07-07,36895,35165,34432,32219,29437,27362,25979,25082,24203,23858,24287,25052,25707,27276,29355,32081,34562,36416,38510,39351,40259,40499,40646,40076
2015-07-08,38757,37415,36668,34273,30970,28900,27765,26780,25836,25404,25751,26622,26596,28356,30541,32931,35558,38389,40105,41184,41971,42410,42125,41502
2015-07-09,40417,38881,37958,35746,32607,29885,28443,27102,26270,25772,26214,26820,26771,28567,31174,34072,36789,38940,40714,41829,42511,42765,42530,41922
2015-07-10,41026,39121,38320,35965,33022,29446,29855,27975,26751,26044,26356,27077,27724,29417,31739,34586,37335,39402,41005,42128,42632,42581,41920,41366
2015-07-11,39822,37495,37153,35043,32046,29419,27986,27234,26134,25500,25555,25322,25351,26905,29823,32829,35934,38172,39805,40776,41454,41796,41388,40526
2015-07-12,39066,36899,36872,34957,31826,29339,28047,27175,26082,25368,25031,24868,24867,26268,29030,32024,34767,37110,39012,40052,40501,41104,39083,39808
2015-07-13,39746,36563,36764,34956,32104,29364,28422,27617,26714,26342,26742,27368,27980,29904,32154,35289,38241,40051,41440,42492,43050,43365,43151,42639
2015-07-14,41507,40521,40597,37125,34817,31658,30205,29466,28618,28237,28467,29278,29665,30873,33044,35988,37767,39949,41183,41889,42583,42965,42717,41682
2015-07-15,42052,38841,37264,34436,31474,29144,27511,26959,26391,25642,26118,27019,27346,28799,30802,33454,36133,38380,40259,41651,42312,42351,41924,40849
2015-07-16,39461,37872,37104,34657,31967,29657,27987,27250,26416,26034,26429,27243,27551,28776,30775,33229,35832,38095,39848,41091,41741,41788,42196,41422
2015-07-17,39681,38698,37862,35451,32573,29930,28244,27324,26477,26172,26461,27371,27381,28574,31135,33937,36421,38600,40507,41621,42364,42770,42192,40700
2015-07-18,39637,38163,37191,35257,32411,29753,28120,26996,26155,25545,25408,25519,25490,26657,29398,32802,35387,37949,40331,40210,42253,40876,40611,39779
2015-07-19,43488,37447,36967,34596,32024,29663,27751,27311,26401,25706,25273,25192,25100,26353,29686,32789,35663,37929,39307,39748,39417,39033,38741,37750
2015-07-20,36667,35460,34944,32927,29656,27863,27061,25841,25126,25208,25625,26776,27696,29490,31954,35146,38273,40760,42659,43580,43990,44049,43696,42728
2015-07-21,41342,39969,39019,36783,34368,31767,30189,28893,27943,27586,28019,29038,29905,31575,34093,36977,39789,41760,43259,44050,43861,43195,42744,41548
2015-07-22,39333,37922,37307,34804,32284,29847,29354,28359,27359,26971,27187,27838,28232,29501,32155,34841,36565,39630,41709,43100,43205,44332,43346,40751
2015-07-23,39435,38116,37307,35004,32224,29874,29510,28166,26161,26710,27202,28450,28638,29968,31883,34191,36230,37798,39027,39784,39570,39458,38910,37802
2015-07-24,36693,35928,35302,33758,30859,29032,28202,27639,26928,26835,27394,28269,28154,29559,31669,33991,36069,37958,39805,41061,41903,42120,41666,40586
2015-07-25,39062,37451,36550,34224,31752,29627,27574,26591,25598,25283,25499,25574,25169,26538,28937,31751,34241,36207,37870,38948,39643,39981,40151,39519
2015-07-26,38179,36599,35885,33772,31029,28586,26684,25808,24901,24665,24403,24319,24272,25682,28150,31082,33735,35924,37757,39198,40085,40520,40655,40318
2015-07-27,39076,37483,36898,34477,31697,29231,28070,26992,26136,25860,26331,27154,27703,29322,31874,35003,37889,40114,41573,42370,43137,43022,42639,41838
2015-07-28,40894,39519,38877,36344,33710,31346,29578,28474,27840,27440,27869,28590,29067,30663,33182,36143,38753,41077,42626,43580,44137,44055,43461,42833
2015-07-29,41309,40472,39467,37002,34368,31648,30445,29421,28530,28069,28524,29728,29686,30803,33123,35999,38591,40956,42686,43572,43459,42463,41552,40836
2015-07-30,39994,39171,38425,35992,33420,31187,29957,29070,28066,27728,28196,29087,29495,30536,33086,35727,38544,40798,42845,44193,44723,44348,43604,42499
2015-07-31,41217,39985,39389,36972,34070,31959,29508,27738,26675,26122,26700,26979,28131,29045,31118,32951,34974,37097,38828,39987,40436,41091,40422,39494
2015-08-01,37827,36472,34564,32642,30578,28477,26511,25477,24306,24041,23512,23705,24310,25547,27787,30514,32957,34556,36239,37798,38744,38875,39023,38545
2015-08-02,37580,36403,33942,32639,30233,27792,26034,24726,23762,23241,22967,22842,23647,24945,27235,29640,32071,34391,35894,37262,38468,39364,39491,39249
2015-08-03,37828,36664,34840,32659,30252,27965,26311,25224,24514,24315,24570,25546,26901,28406,30831,32753,35524,38232,40482,41753,42282,42709,42105,41733
2015-08-04,40564,39223,36869,35027,32287,30058,28222,26987,26079,25520,26009,26659,28182,29604,31802,34545,37479,39734,41969,43387,44210,43795,43953,42896
2015-08-05,41839,40201,38328,36285,33827,31062,29520,27875,27022,26798,26841,27506,28963,29800,32078,34388,36364,38685,40483,41074,41115,41048,39960,38387
2015-08-06,37433,36636,34646,32995,30541,28805,27620,26246,25664,25486,26150,26932,28503,29459,30888,32418,33908,35090,36195,37028,37203,36832,36899,36153
2015-08-07,35342,35062,33804,31919,30050,28162,26857,25797,25442,25548,26353,26953,28421,29351,30738,32492,33913,35505,36528,37412,38173,38347,37497,36662
2015-08-08,35908,34411,33757,31703,29405,27452,26012,25222,24337,23632,23654,23767,24591,25675,28102,30354,32989,34727,36721,37833,38857,38707,38540,37802
2015-08-09,36300,35097,34238,31712,30006,27641,26182,24720,23714,23526,23131,23129,24003,25373,27351,30314,32800,35245,36911,38838,39301,39654,39829,39671
2015-08-10,38472,37088,35622,34252,31392,29026,27427,26247,25595,25356,26150,27302,28035,29557,31200,33043,35577,37384,38749,40245,41307,42371,41498,40819
2015-08-11,39175,38290,36570,34427,31638,29653,28090,26854,26291,26092,26681,27285,28777,29309,31333,32947,35331,37527,39958,40682,41393,41574,40909,40551
2015-08-12,39252,38099,35460,34173,31348,29794,27713,26583,25534,25411,25780,26703,27926,29444,30901,33159,35510,37502,38699,40026,41239,41052,40913,39798
2015-08-13,38577,37402,35602,33213,30411,28110,26368,25072,24382,24108,24347,25188,26454,27800,29281,31238,33679,36157,37783,38779,40002,40578,40137,39708
2015-08-14,37992,37042,34878,32798,29807,27514,25949,24621,24080,23933,24303,25246,26400,27999,29395,31650,33911,36089,37869,39009,39426,39236,38145,36970
2015-08-15,35569,34363,33015,31476,29176,27472,25745,24517,23732,23408,23328,23495,24257,25478,27186,29876,32032,34109,35567,36330,36699,36973,36321,35295
2015-08-16,34580,33549,32018,30384,28232,26567,24872,23785,23247,22868,22726,22564,23364,24803,26295,28589,30336,31914,33581,34367,35462,35338,35244,34654
2015-08-17,34163,32951,32018,30109,28573,26411,25333,24625,24554,24516,25545,27295,27863,28494,29429,30710,32204,33702,35123,36147,36597,36614,36439,35488
2015-08-18,34319,33787,32871,30526,28067,26455,25655,25147,24982,25034,26076,26906,28115,29042,30083,31540,32763,34786,35857,36870,37426,38373,38247,37558
2015-08-19,36275,35721,34409,32407,30231,28085,26697,25966,25305,25551,26152,27448,28505,29297,30266,32764,35153,37026,37941,38465,38787,37858,37090,36067
2015-08-20,35638,34536,33275,31528,29620,27748,26286,25005,24960,24619,25577,26305,27495,28633,29879,31467,33057,34709,35752,36660,37117,37256,36954,36792
2015-08-21,36351,35469,34033,31993,29634,27690,25668,25008,24242,24066,24590,25768,27044,28276,29705,31186,33226,35468,36792,37444,38632,38401,37871,36709
2015-08-22,34916,33929,32288,30823,28923,27174,25140,24295,23608,23154,23285,23550,24122,25356,27152,29643,31593,34250,35692,36538,37777,37893,37736,37260
2015-08-23,36106,35027,33879,31661,29337,27843,26240,24888,24313,23693,23743,23654,24118,25232,27185,29579,31310,33070,34600,35638,36542,36970,37218,36499
2015-08-24,35728,34774,33671,31445,29075,27228,25648,24742,24160,24267,24754,26212,27905,28387,30302,32149,34070,36331,38179,40103,40681,40999,41121,40131
2015-08-25,39287,37295,35622,33054,30949,28504,26949,25599,24804,24601,25365,26137,27031,27798,29533,30766,32379,34456,35984,36760,38218,39120,38706,37686
2015-08-26,36274,35422,33203,30809,28300,25969,24280,23242,22358,22292,23050,24096,25133,26195,27099,28350,29570,31339,32786,34570,35542,36369,36477,36318
2015-08-27,35136,33709,31962,29885,27656,25446,23632,22711,22366,22084,22813,23950,24899,25789,26527,27968,29957,31513,32884,34759,36009,37072,37328,36620
2015-08-28,35495,34296,32464,30450,28004,25910,24491,23991,23427,23350,23962,25987,26420,26594,27714,29140,29712,32176,34208,34694,36045,36622,36414,35182
2015-08-29,33833,33157,31896,29685,27824,25859,24749,24296,23678,23235,23173,23377,23812,24077,25199,27436,28851,29986,31162,32186,32608,32746,32243,31434
2015-08-30,30380,30308,29453,27574,25706,23962,22968,22865,22390,21904,22055,22272,22229,22925,24122,25560,26627,27644,28783,29437,30081,30468,30841,30728
2015-08-31,30075,30259,29264,27169,25132,23946,22785,22213,22065,22170,23061,25055,25999,26260,27085,28437,29826,31326,32916,34248,35430,36353,36670,36095
