date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-05,37079,40448,41184,41416,40590,38573,36614,35512,35239,35381,36006,37668,41010,45587,46959,45764,44536,43122,41452,39850,38728,37648,37131,37860,0
2016-01-11,39250,42838,43924,44150,43405,41500,39537,38440,38087,38238,38829,40177,43335,47950,49252,47682,46151,44611,43080,41422,39864,38490,37616,37896,0
2016-01-12,39985,43381,44003,43838,42716,40445,38541,37287,36984,37169,37714,39120,42327,46920,48075,45684,43013,40714,38607,36835,35684,34754,34224,34212,0
2016-01-18,34352,37400,38344,38465,38311,37274,36111,35590,35543,35959,36871,38475,41253,44698,46456,46147,44944,43275,41459,39543,37990,36672,35841,35765,0
2016-01-22,40405,42615,42965,42757,41690,39652,37713,36649,36276,36334,36863,38249,41518,46314,47900,46540,45274,43924,42350,40722,39380,38200,37380,37501,0
2016-01-23,38913,41818,42441,42669,42406,41425,40117,39282,39051,39158,39642,40446,42016,44061,45837,46376,45337,43207,40655,38272,36093,34500,33676,33554,0
2016-01-27,41567,43540,43715,43137,41564,38987,36770,35582,35403,35576,36217,37701,41007,45749,47025,45458,43754,42028,40298,38589,37368,36352,35821,36014,0
2016-01-28,37339,40547,41731,42085,41369,39542,37729,36898,36771,37043,37792,39349,42715,47566,48599,45863,43028,40547,38326,36589,35360,34394,33815,33646,0
2016-02-04,35922,39146,40442,40733,39965,38019,36105,35232,35103,35409,36197,37783,41200,46198,47382,45080,42675,40508,38602,36981,35797,34814,34226,34191,0
2016-02-05,35201,38418,40054,40617,40122,38429,36717,35866,35777,36031,36626,38171,41480,46367,47363,44981,42579,40406,38512,36844,35672,34725,34106,34142,0
2016-04-25,38497,38003,38740,38290,35846,32808,30533,29129,28331,28092,28582,30521,34014,35314,36107,37592,39534,41639,43753,46062,48058,49592,50806,50901,2
2016-04-26,49662,47872,47575,45865,42291,38445,35364,33523,32386,31703,31863,33395,36665,37660,38177,39456,41086,42771,44339,46059,47830,49069,49637,49154,2
2016-04-27,47602,46364,46449,44742,40540,36576,33827,32091,30850,29928,29918,30763,33404,34016,34567,36090,38083,40043,41962,43959,45686,47330,48690,48946,2
2016-04-28,47897,45805,44713,42954,39153,35014,32141,30352,29180,28586,28767,30529,33874,35010,36044,37783,39919,41829,43686,45578,46888,47772,48533,48426,2
