date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-07-02,39918,38696,37245,36321,34084,31400,29231,27588,26475,25734,25506,26089,26946,28137,29550,30914,32262,33460,34506,35392,35700,35924,35857,35173
2015-07-03,34183,33056,32028,31239,29540,27443,25607,24347,23531,22982,22797,23058,23225,23912,25348,27052,28623,30127,31500,32735,33544,34276,34711,34536
2015-07-04,33621,32372,30929,30108,28531,26750,24978,23577,22605,22039,21679,21634,21349,21894,23550,25600,27701,29587,31153,32376,33303,33999,34146,33748
2015-07-05,32812,31523,29984,28840,27697,26707,25312,24017,23042,22437,22146,22153,21967,22735,24521,26830,29143,31227,33224,34951,36353,37428,38186,38428
2015-07-06,37835,36563,35184,34516,32508,30043,28090,26756,25827,25268,25176,25843,26712,28120,29917,31798,33792,35473,36914,38170,38739,38938,38485,37233
2015-07-07,35807,34494,33454,32556,30440,28007,26040,24687,23786,23289,23184,23842,24985,26118,27250,28184,29099,29810,30292,30648,30690,30611,30358,29876
2015-07-08,29353,28786,28416,28273,26849,24993,23750,22795,22245,22013,22115,22939,24118,25220,26284,27186,28175,28754,29273,29832,30154,30347,30452,30270
2015-07-09,29860,29249,28801,28779,27329,25341,23831,22948,22351,22039,22102,22939,24104,25264,26589,27850,29136,30215,31230,32112,32708,33250,33477,33464
2015-07-10,33021,32256,31385,30996,29316,27029,25375,24156,23378,22888,22866,23416,24397,25656,27199,28817,30468,31891,33084,34322,35077,35714,35979,35664
2015-07-11,34912,33778,32613,32045,30397,28385,26566,25337,24412,23659,23466,23564,23511,24393,26540,28889,31217,33181,34792,36102,37216,38041,38616,38761
2015-07-12,38194,36993,35521,34658,32783,30447,28505,26939,25725,24791,24299,24114,23699,24672,27101,29661,31965,34147,36221,37907,39239,40169,40926,41226
2015-07-13,40847,39824,38361,37580,35321,32620,30436,28774,27470,26692,26461,27078,28037,29672,32113,34609,37054,39307,41347,42999,43909,44629,44927,44639
2015-07-14,43892,42658,40925,39854,37316,34316,32047,30272,28955,28007,27682,28154,28985,30353,32411,34622,36578,38575,40451,42178,43258,44147,44592,44329
2015-07-15,43634,42539,40906,39768,37341,34407,32152,30454,29163,28226,27767,28394,29262,30449,32080,33665,35369,37015,38532,40001,41056,41955,42400,42433
2015-07-16,41809,40526,39017,37914,35416,32618,30502,28920,27735,26975,26679,27336,28287,29561,31474,33562,35874,38091,40020,41677,42743,43578,44024,43721
2015-07-17,42921,41635,39999,39016,36613,33709,31413,29793,28552,27597,27248,27877,28750,30243,32525,34865,37329,39402,41099,42630,43368,44022,44146,43546
2015-07-18,42468,41117,39522,38443,36205,33636,31609,29948,28682,27788,27185,27047,26848,27523,29388,31707,34014,36091,37716,39234,40447,41381,42033,42182
2015-07-19,41651,40333,38644,37585,35380,32851,30847,29221,28001,27056,26516,26193,25904,26410,28072,30111,32077,34177,36103,37865,39273,40308,41034,41325
2015-07-20,40970,39831,38374,37315,34903,32067,29997,28410,27309,26720,26570,27166,28361,29632,31407,33436,35630,37850,39863,41717,42788,43379,43318,42614
2015-07-21,41594,40185,38645,37312,34742,31788,29578,28059,26879,26071,25810,26342,27338,28514,29596,30850,32225,33747,35092,36286,36819,37152,37238,36820
2015-07-22,36143,35310,34239,33541,31397,28943,27027,25867,25066,24616,24570,25348,26473,27653,29247,30879,32624,34296,35887,37412,38629,39666,40226,40116
2015-07-23,39554,38483,37196,36358,34106,31433,29282,27839,26954,26416,26227,26924,27894,29262,31001,33033,35133,37314,39224,40954,41987,42937,43516,43295
2015-07-24,42643,41508,39972,38846,36544,33836,31608,29929,28758,28029,27798,28160,28887,30357,32520,34690,37003,39339,41624,43593,44619,45418,45740,45260
2015-07-25,44242,42968,41210,39963,37629,34982,32598,30743,29364,28358,27629,27431,27217,27761,29588,31866,34416,36729,38611,39975,40910,41506,41652,41433
2015-07-26,40763,39552,38222,37219,35071,32762,30886,29396,28125,27186,26690,26469,26155,26572,28410,30719,33025,35376,37598,39487,40888,41917,42657,42942
2015-07-27,42477,41254,39767,38777,36291,33530,31387,29807,28621,27900,27609,28282,29351,30704,32812,35151,37792,40052,41745,43074,43856,44566,44985,44725
2015-07-28,44087,42891,41330,40289,37789,34968,32788,31203,29923,29059,28750,29298,30203,31617,33658,35985,38503,40779,42593,44031,44753,45368,45579,45189
2015-07-29,44244,42881,41183,39845,37039,34060,31864,30167,28894,27949,27507,28020,28982,30087,31703,33577,35528,37712,39543,41110,42092,42779,42833,42348
2015-07-30,41594,40495,39042,37908,35395,32570,30440,28849,27688,26904,26757,27412,28425,29624,31453,33456,35476,37208,38744,39850,40404,41053,41249,40838
2015-07-31,39984,38794,37404,36368,34247,31631,29562,28043,27024,26367,26096,26759,27703,29007,30738,32638,34543,36258,37843,39403,40492,41180,41271,40545
2015-08-01,39352,37815,36320,35231,33214,30719,28733,27150,26041,25206,24763,24811,24871,25647,27470,29738,32015,33978,35559,37029,38197,39034,39521,39557
2015-08-02,38797,37187,35526,34264,32001,29655,27835,26356,25271,24484,24070,23903,23940,24562,26495,28986,31301,33386,35313,36799,38063,39197,39974,40261
2015-08-03,39718,38348,36972,35755,33353,30725,28710,27172,26069,25386,25293,25921,27044,28363,30175,32193,34450,36582,38433,39833,40789,41452,41706,41320
2015-08-04,40556,39097,37764,36562,33898,31115,28998,27551,26505,25857,25758,26481,27719,28704,30040,31510,33218,34738,35795,36758,37261,37799,38051,37667
2015-08-05,36952,35890,35056,34112,31903,29487,27599,26381,25513,25027,24994,25768,27127,28253,29650,31104,32585,33991,35415,37016,38108,39191,39883,39897
2015-08-06,39363,38252,37059,35931,33379,30777,28775,27491,26499,25911,25755,26493,27634,28719,30411,32171,34214,36208,38012,39654,40721,41731,42194,41894
2015-08-07,41223,40091,38711,37660,35220,32529,30454,28914,27785,27036,26854,27385,28419,29488,31506,33838,36405,38873,40986,42795,43921,44695,44773,44212
2015-08-08,43179,41662,40078,38673,36128,33423,31330,29678,28406,27322,26808,26789,26851,27194,28646,30714,32711,34820,36910,38646,39989,41005,41644,41755
2015-08-09,41130,39565,38228,36992,34905,32611,30581,29042,27823,26957,26419,26217,26085,26463,28225,30558,32656,34725,36628,38306,39569,40643,41489,41762
2015-08-10,41409,40145,38874,37643,35160,32519,30483,28878,27713,26931,26639,27327,28710,29760,31403,33205,35184,37047,38631,39848,40777,41644,41975,41715
2015-08-11,41066,39806,38331,36961,34192,31339,29305,27747,26703,26003,25768,26425,27662,28703,30499,32460,34621,36543,38198,39681,40493,41102,41286,40883
2015-08-12,40100,38599,37108,35733,32873,30068,28116,26703,25665,25020,24861,25443,26774,27866,29486,31403,33444,35260,36844,38377,39362,40142,40539,40298
2015-08-13,39493,38067,36687,35368,32601,29749,27708,26320,25296,24714,24562,25181,26624,27775,29422,31488,33700,35648,37228,38746,39976,41009,41565,41377
2015-08-14,40536,39125,37792,36297,33584,30813,28762,27261,26202,25509,25311,25945,27320,28318,29921,31739,33676,35360,36827,38225,39297,40194,40694,40415
2015-08-15,39425,37796,36269,34928,32572,30020,27941,26480,25393,24619,24198,24241,24380,24846,26798,29144,31513,33676,35455,36935,38116,39114,39696,39676
2015-08-16,38885,37272,35723,34282,32146,29881,27851,26396,25281,24468,23928,23796,23579,23997,25939,28254,30598,32808,34837,36540,37780,38673,39265,39391
2015-08-17,38640,37131,35965,34525,32002,29450,27508,26151,25261,24734,24762,25571,27191,28356,29760,31545,33443,35404,37141,38597,39220,39536,39606,39223
2015-08-18,38453,37140,36386,34968,32259,29489,27515,26354,25582,25286,25307,26184,27823,28654,29504,30555,31778,32963,33958,34997,35702,36529,37137,36993
2015-08-19,36338,35189,34489,33204,30681,28211,26270,25043,24170,23495,23349,23990,25555,26429,26895,27420,27986,28335,28613,28995,29064,29245,29355,29306
2015-08-20,29026,28478,28394,27795,25892,24016,22600,21676,21105,20839,20997,21899,23613,24516,25403,26301,27454,28396,29384,30434,31260,32099,32755,32837
2015-08-21,32360,31377,30984,30076,27855,25580,23979,23025,22475,22285,22412,23137,24884,25890,26821,27884,29066,30156,31254,32542,33554,34508,35178,35010
2015-08-22,34219,33064,32590,31459,29598,27635,26045,24865,24013,23432,23198,23378,23856,24293,25591,27248,28939,30602,32026,33260,34334,35419,36171,36250
2015-08-23,35486,34071,33336,32117,30122,28112,26506,25268,24381,23676,23188,23095,23147,23109,24182,25412,26367,27136,27861,28651,29385,30206,30850,31228
2015-08-24,30834,29941,29790,28937,26950,24850,23401,22491,21964,21724,21876,22785,24670,25609,26608,27781,29013,30182,31334,32557,33550,34430,35152,35202
2015-08-25,34589,33453,32865,31483,28989,26669,24984,23939,23252,22790,22852,23641,25320,26188,27124,28197,29404,30662,32079,33564,34814,36014,36874,36915
2015-08-26,36239,34921,34209,32653,29891,27298,25581,24411,23642,23185,23144,24052,25819,26640,27543,28925,30548,32370,34105,35946,37254,38343,39073,38888
2015-08-27,38014,36589,35824,34097,31285,28598,26740,25492,24554,23999,23948,24801,26714,27657,28366,29455,30751,31975,33081,34195,34751,35438,35864,35523
2015-08-28,34696,33859,33726,32431,30021,27645,26034,24847,24114,23677,23669,24534,26383,27443,28143,29078,30201,31248,32243,33534,34323,34856,35094,34587
2015-08-29,33518,32448,32068,30921,29162,27229,25627,24511,23652,23172,23006,23169,23581,23807,25091,26660,28258,29685,30893,31981,32876,33564,34030,33937
2015-08-30,33176,31996,31517,30396,28546,26642,25081,23849,23054,22545,22243,22278,22394,22546,23860,25513,27249,29135,30988,32673,33959,35074,35810,36092
2015-08-31,35545,34353,33800,32246,29719,27302,25495,24306,23497,23076,23129,24112,26092,27163,28327,30089,32273,34468,36536,38343,39501,40382,40938,40657
2015-09-01,39647,38257,37448,35427,32399,29685,27712,26416,25461,24879,24716,25455,27294,28243,29394,31019,33165,35285,37335,39193,40274,40980,41289,40811
2015-09-02,39786,38360,37724,35759,32790,29961,28021,26732,25769,25202,25049,25904,27865,28905,30076,31608,33430,35317,37159,39199,40463,41457,42010,41725
2015-09-03,40713,39083,38244,36328,33461,30711,28621,27197,26147,25466,25364,26222,28121,29024,30345,32271,34539,36667,38611,40281,41284,42061,42437,41920
2015-09-04,40696,39143,38547,36493,33791,31081,28959,27442,26394,25713,25566,26287,27939,29002,30266,32198,34474,36622,38453,40148,41103,41790,42060,41464
2015-09-05,40102,38191,37170,35367,33131,30833,28854,27302,26216,25413,24993,24964,25112,25358,27355,29997,32608,34903,36650,38031,38952,39478,39737,39373
