date,Peak Demand (MW)
2015-07-02,39918
2015-07-03,34711
2015-07-04,34146
2015-07-05,38428
2015-07-06,38938
2015-07-07,35807
2015-07-08,30452
2015-07-09,33477
2015-07-10,35979
2015-07-11,38761
2015-07-12,41226
2015-07-13,44927
2015-07-14,44592
2015-07-15,43634
2015-07-16,44024
2015-07-17,44146
2015-07-18,42468
2015-07-19,41651
2015-07-20,43379
2015-07-21,41594
2015-07-22,40226
2015-07-23,43516
2015-07-24,45740
2015-07-25,44242
2015-07-26,42942
2015-07-27,44985
2015-07-28,45579
2015-07-29,44244
2015-07-30,41594
2015-07-31,41271
2015-08-01,39557
2015-08-02,40261
2015-08-03,41706
2015-08-04,40556
2015-08-05,39897
2015-08-06,42194
2015-08-07,44773
2015-08-08,43179
2015-08-09,41762
2015-08-10,41975
2015-08-11,41286
2015-08-12,40539
2015-08-13,41565
2015-08-14,40694
2015-08-15,39696
2015-08-16,39391
2015-08-17,39606
2015-08-18,38453
2015-08-19,36338
2015-08-20,32837
2015-08-21,35178
2015-08-22,36250
2015-08-23,35486
2015-08-24,35202
2015-08-25,36915
2015-08-26,39073
2015-08-27,38014
2015-08-28,35094
2015-08-29,34030
2015-08-30,36092
2015-08-31,40938
2015-09-01,41289
2015-09-02,42010
2015-09-03,42437
2015-09-04,42060
2015-09-05,40102
2015-09-06,40574
2015-09-07,39339
2015-09-08,37837
2015-09-09,36889
2015-09-10,38676
2015-09-11,36841
2015-09-12,29414
2015-09-13,29599
2015-09-14,34062
2015-09-15,35558
2015-09-16,39021
2015-09-17,39630
2015-09-18,37767
2015-09-19,32024
2015-09-20,26733
2015-09-21,32646
2015-09-22,35360
2015-09-23,33506
2015-09-24,33086
2015-09-25,33662
2015-09-26,31441
2015-09-27,30812
2015-09-28,34288
2015-09-29,32737
2015-09-30,30250
2015-10-01,29993
2015-10-02,29235
2015-10-03,26913
2015-10-04,25735
2015-10-05,27359
2015-10-06,30105
2015-10-07,31564
2015-10-08,33382
2015-10-09,32211
2015-10-10,27653
2015-10-11,32181
2015-10-12,32645
2015-10-13,31470
2015-10-14,32807
2015-10-15,33132
2015-10-16,31536
2015-10-17,27134
2015-10-18,25677
2015-10-19,29054
2015-10-20,30612
2015-10-21,31328
2015-10-22,30960
2015-10-23,29688
2015-10-24,28278
2015-10-25,25237
2015-10-26,27182
2015-10-27,28029
2015-10-28,28246
2015-10-29,28219
2015-10-30,28023
2015-10-31,27460
2015-11-01,24794
2015-11-02,27528
2015-11-03,28658
2015-11-04,28744
2015-11-05,28977
2015-11-06,29058
2015-11-07,27402
2015-11-08,26295
2015-11-09,28204
2015-11-10,28612
2015-11-11,28537
2015-11-12,28930
2015-11-13,29058
2015-11-14,27457
2015-11-15,26291
2015-11-16,27881
2015-11-17,28868
2015-11-18,29284
2015-11-19,29499
2015-11-20,29690
2015-11-21,28975
2015-11-22,29758
2015-11-23,29728
2015-11-24,30187
2015-11-25,29215
2015-11-26,28508
2015-11-27,29476
2015-11-28,30824
2015-11-29,30462
2015-11-30,30626
2015-12-01,32128
2015-12-02,32577
2015-12-03,33420
2015-12-04,32572
2015-12-05,29714
2015-12-06,28401
2015-12-07,31786
2015-12-08,30694
2015-12-09,30170
2015-12-10,29282
2015-12-11,29283
2015-12-12,28579
2015-12-13,27896
2015-12-14,30605
2015-12-15,30951
2015-12-16,31291
2015-12-17,33761
2015-12-18,34780
2015-12-19,32149
2015-12-20,29525
2015-12-21,30116
2015-12-22,31581
2015-12-23,30165
2015-12-24,29498
2015-12-25,27183
2015-12-26,27845
2015-12-27,29879
2015-12-28,31888
2015-12-29,33607
2015-12-30,33212
2015-12-31,32433
2016-01-01,31457
2016-01-02,29906
2016-01-03,29802
2016-01-04,34440
2016-01-05,35384
2016-01-06,33766
2016-01-07,33322
2016-01-08,31673
2016-01-09,32653
2016-01-10,34891
2016-01-11,36301
2016-01-12,35629
2016-01-13,35135
2016-01-14,32639
2016-01-15,31475
2016-01-16,31884
2016-01-17,33169
2016-01-18,37231
2016-01-19,36001
2016-01-20,35070
2016-01-21,34479
2016-01-22,36138
2016-01-23,34182
2016-01-24,31453
2016-01-25,31747
2016-01-26,33567
2016-01-27,35265
2016-01-28,33432
2016-01-29,32208
2016-01-30,27681
2016-01-31,26606
2016-02-01,30697
2016-02-02,29752
2016-02-03,33231
2016-02-04,35468
2016-02-05,34319
2016-02-06,30302
2016-02-07,28643
2016-02-08,33092
2016-02-09,34602
2016-02-10,34511
2016-02-11,32359
2016-02-12,32294
2016-02-13,31197
2016-02-14,30298
2016-02-15,29694
2016-02-16,30437
2016-02-17,31680
2016-02-18,29525
2016-02-19,28001
2016-02-20,26664
2016-02-21,25974
2016-02-22,29017
2016-02-23,29994
2016-02-24,31920
2016-02-25,31820
2016-02-26,32847
2016-02-27,27867
2016-02-28,25477
2016-02-29,28911
2016-03-01,28756
2016-03-02,31150
2016-03-03,28746
2016-03-04,29803
2016-03-05,26760
2016-03-06,25561
2016-03-07,26995
2016-03-08,27982
2016-03-09,27709
2016-03-10,27556
2016-03-11,27352
2016-03-12,26446
2016-03-13,25217
2016-03-14,26895
2016-03-15,27453
2016-03-16,27277
2016-03-17,27685
2016-03-18,28440
2016-03-19,27932
2016-03-20,27255
2016-03-21,31547
2016-03-22,28449
2016-03-23,27538
2016-03-24,28971
2016-03-25,28802
2016-03-26,25714
2016-03-27,25821
2016-03-28,29246
2016-03-29,27621
2016-03-30,27532
2016-03-31,27849
2016-04-01,27946
2016-04-02,27027
2016-04-03,24852
2016-04-04,27355
2016-04-05,28199
2016-04-06,28461
2016-04-07,27308
2016-04-08,27425
2016-04-09,26096
2016-04-10,26011
2016-04-11,27140
2016-04-12,27459
2016-04-13,27062
2016-04-14,26959
2016-04-15,27187
2016-04-16,26544
2016-04-17,25295
2016-04-18,27234
2016-04-19,27070
2016-04-20,27205
2016-04-21,27042
2016-04-22,27688
2016-04-23,27347
2016-04-24,27596
2016-04-25,30760
2016-04-26,30621
2016-04-27,29993
2016-04-28,28817
2016-04-29,28020
2016-04-30,26395
2016-05-01,25766
2016-05-02,26626
2016-05-03,26753
2016-05-04,27871
2016-05-05,29123
2016-05-06,30505
2016-05-07,29856
2016-05-08,29027
2016-05-09,29667
2016-05-10,34310
2016-05-11,33995
2016-05-12,32623
2016-05-13,30896
2016-05-14,29559
2016-05-15,24489
2016-05-16,27144
2016-05-17,27257
2016-05-18,26628
2016-05-19,26756
2016-05-20,27051
2016-05-21,28049
2016-05-22,30417
2016-05-23,30679
2016-05-24,34400
2016-05-25,36096
2016-05-26,35681
2016-05-27,32432
2016-05-28,31189
2016-05-29,32746
2016-05-30,31513
2016-05-31,33383
2016-06-01,32241
2016-06-02,33046
2016-06-03,33864
2016-06-04,32878
2016-06-05,33886
2016-06-06,38050
2016-06-07,37729
2016-06-08,40769
2016-06-09,42715
2016-06-10,43129
2016-06-11,41774
2016-06-12,40560
2016-06-13,40391
2016-06-14,43398
2016-06-15,47047
2016-06-16,47115
2016-06-17,48071
2016-06-18,46600
2016-06-19,42011
