date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-01,23927,24347,23574,22762,21857,20974,20711,20505,20051,19761,19621,20414,20455,20767,21183,22334,23140,23706,23969,24041,23338,23456,23566,24582,1
2016-01-02,25882,26012,25672,25284,24442,23540,22656,22334,21952,22348,22787,22914,23865,24634,25421,26494,26860,26251,25403,24456,24000,23506,23641,24916,3
2016-01-03,26755,27201,27131,26652,25899,24997,24559,24188,24527,24278,24360,24743,25036,25676,26585,27056,26549,25608,24712,24433,23799,23426,23591,25046,3
2016-01-08,28059,28361,27919,26844,25218,23825,22494,21761,21464,21787,21957,22572,24917,26723,26417,26447,26483,26223,25802,25376,25357,25157,24840,25497,3
2016-01-09,26618,26454,25903,25192,24204,23296,22081,21499,21019,20866,21013,21445,22311,23053,23881,24424,24644,24897,24802,24207,24010,23645,24007,24554,0
2016-01-10,24830,25146,24664,24055,22798,22076,21303,20874,20602,20726,20852,21527,22510,23808,24903,25917,26275,26511,26195,25679,25672,25254,26144,27483,2
2016-01-15,28632,29339,29284,28597,27252,26094,24960,24365,24034,23950,24256,25446,27560,29308,29143,29019,28953,28614,27900,27132,26307,25874,25884,26149,3
2016-01-16,27354,27256,26686,26083,24933,23597,22928,22604,22305,22148,22024,22346,22802,24060,25080,25459,25099,24352,23375,22534,22056,21984,22028,22708,3
2016-01-17,24605,25055,25057,24807,24127,23175,22875,22406,22263,22226,22482,22732,23482,24823,26220,27075,26590,25592,24788,24207,23997,23738,23962,24901,3
2016-01-27,27946,28343,27903,26929,25495,23841,22802,22271,22321,22347,22788,23930,26436,28154,28159,28147,27894,27983,27879,27340,27143,26943,27264,27584,3
2016-01-31,23337,24116,24114,23764,23187,22601,21767,21605,21436,21465,21732,21932,22583,23258,24149,24581,24068,23082,22580,22206,21841,21522,21580,22075,0
2016-02-01,23707,24553,24388,23560,22340,21019,19963,19815,19570,19490,19978,20818,23333,24771,24385,24029,24015,23675,24093,23467,23308,23202,23190,23471,0
2016-02-02,24885,25901,25433,24413,22883,21613,20442,19908,19570,19321,19414,20604,23022,24352,24183,24155,24134,24040,23857,23931,23914,23830,23850,24377,0
2016-02-03,25581,26221,25842,24565,23001,21284,20204,19729,19364,19146,19319,20289,21689,23520,23696,23943,24137,24272,24183,24161,24024,23807,23857,24307,0
2016-02-04,25595,26283,25924,25109,23744,22355,21435,21214,21053,21250,21881,23006,25751,28266,28321,28057,27578,26785,26480,25966,25738,25295,25257,25645,3
2016-02-17,25613,26858,26741,26035,24738,23644,22722,22600,22508,22798,23465,24483,27260,29025,28898,28026,26971,26456,25386,24910,24235,24133,23809,24445,3
2016-02-20,23578,24669,24478,24037,23160,22168,21424,20845,20612,20579,20684,20746,21541,22383,23164,23590,23425,22879,22291,21815,21826,21692,21719,21651,0
2016-02-21,22598,23399,22933,22396,21435,20303,19391,18829,18471,18639,18605,18900,19528,19867,20411,21312,21533,21402,21354,21323,21065,21100,21273,21822,1
2016-02-22,23094,24075,23764,22796,21497,20304,18994,18629,18404,18389,18776,19603,21792,23422,23564,23721,23914,24003,24032,24059,24097,23606,23761,24048,0
2016-02-23,25343,26151,25646,24545,22933,21215,20190,19562,19508,19359,19661,20515,22884,24106,24010,24201,24309,24232,24282,24342,24297,24329,24315,24830,0
2016-02-24,26029,26723,26183,25000,23497,21844,20779,20202,20006,19711,19931,20577,22330,23786,24050,24388,24710,24985,24890,24894,24840,24826,25191,25984,2
2016-02-28,22851,24678,24974,25053,24677,23990,23796,23652,23823,24094,24702,25459,26546,27632,27932,26467,24576,22988,22283,22041,21548,21260,21066,21000,3
2016-03-01,23012,24618,24482,23397,21792,20486,19344,19593,19360,19823,20384,21101,23500,24988,24531,23975,23276,23216,23087,23265,22755,22727,22704,22543,0
2016-03-02,23458,24668,24563,23485,22196,20773,20264,20018,19792,19876,20374,21442,24113,26095,26169,25998,25525,25033,24566,24222,23324,23793,23729,23837,0
2016-03-05,24935,26433,24330,25998,25343,24242,23375,23773,23769,24366,24979,25345,26160,27192,27343,26116,24823,23544,22577,22103,21801,21483,21403,21324,3
2016-03-06,22150,23296,23486,23019,22343,21541,20643,20715,21091,21255,21451,21861,22507,23611,24153,23864,22951,21890,21234,20755,20913,20723,20802,21071,0
2016-03-07,22011,23783,24013,23225,22176,20926,20670,20750,20835,21188,21738,23537,26289,27806,26887,25556,24595,23905,23237,23064,22950,22961,23029,22881,0
2016-03-08,23562,25405,25237,24220,22760,21542,20545,20101,19873,19953,20526,21536,23806,25029,24598,24069,23650,23445,23366,23416,23839,23829,23827,23600,0
2016-03-09,24101,25658,25422,24186,22525,20980,20146,18795,18353,18336,18581,19708,21583,22640,22614,22407,22376,22266,22197,22312,22339,22260,22374,22345,1
