date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-02-28,2133,2178,2264,2404,2391,2339,2210,2088,1914,1809,1733,1693,1683,1703,1769,1887,2058,2218,2344,2394,2385,2366,2311,2325,1
2016-03-27,2156,2207,2256,2310,2319,2233,2071,1915,1773,1700,1659,1661,1665,1745,1891,2051,2197,2310,2324,2307,2266,2206,2172,2153,0
2016-05-05,2307,2325,2329,2301,2366,2275,2086,1858,1725,1635,1598,1587,1641,1838,2123,2311,2343,2356,2360,2348,2367,2346,2344,2341,0
2016-05-09,2040,2079,2091,2100,2165,2162,1984,1786,1655,1586,1560,1556,1641,1821,2092,2303,2341,2354,2373,2347,2351,2339,2330,2335,0
2016-05-16,2134,2191,2219,2201,2226,2144,1979,1784,1649,1586,1555,1557,1624,1817,2109,2282,2323,2325,2348,2363,2391,2361,2339,2312,0
2016-05-17,2312,2339,2323,2350,2357,2282,2070,1861,1741,1639,1603,1589,1656,1821,2097,2281,2310,2310,2318,2343,2338,2397,2385,2407,0
2016-05-20,2271,2306,2302,2281,2301,2274,2070,1846,1744,1658,1629,1610,1666,1855,2131,2330,2357,2360,2376,2320,2319,2273,2253,2220,0
2016-05-23,2103,2168,2184,2175,2200,2180,2003,1793,1659,1597,1558,1573,1632,1823,2090,2288,2320,2332,2353,2359,2359,2344,2324,2322,0
2016-05-24,2319,2348,2341,2306,2320,2298,2091,1873,1732,1631,1590,1585,1648,1804,2071,2270,2304,2313,2327,2357,2361,2397,2397,2369,0
2016-05-25,2370,2379,2354,2318,2338,2311,2072,1861,1713,1653,1588,1581,1639,1807,2063,2279,2336,2348,2357,2352,2376,2366,2348,2333,0
2016-05-26,2323,2351,2357,2321,2327,2304,2084,1874,1719,1631,1616,1598,1656,1810,2092,2298,2337,2346,2345,2346,2333,2333,2309,2292,0
2016-05-27,2312,2319,2295,2271,2270,2286,2091,1892,1745,1648,1610,1604,1660,1816,2064,2254,2312,2278,2341,2331,2303,2298,2240,2201,0
2016-06-10,2336,2338,2326,2290,2267,2261,2092,1877,1724,1661,1609,1603,1640,1781,2005,2198,2271,2292,2321,2330,2331,2303,2297,2270,0
2016-06-13,2157,2224,2270,2263,2232,2237,2087,1864,1699,1598,1559,1546,1597,1732,1973,2171,2267,2311,2369,2383,2386,2390,2372,2336,0
2016-06-14,2330,2339,2324,2297,2265,2253,2070,1871,1712,1634,1596,1597,1649,1796,2052,2229,2291,2335,2339,2334,2340,2329,2306,2279,0
2016-06-15,2279,2291,2286,2263,2243,2259,2086,1877,1741,1659,1614,1613,1674,1824,2085,2249,2316,2323,2352,2339,2340,2325,2302,2295,0
2016-06-16,2290,2289,2264,2238,2248,2238,2084,1886,1730,1659,1612,1608,1659,1831,2063,2225,2295,2320,2350,2336,2355,2343,2339,2327,0
2016-06-17,2321,2312,2282,2286,2217,2237,2095,1888,1742,1647,1607,1590,1638,1774,1987,2169,2257,2308,2367,2365,2359,2326,2298,2276,0
2016-06-24,2376,2367,2353,2325,2277,2264,2115,1895,1750,1669,1604,1593,1640,1764,1966,2144,2230,2274,2342,2365,2369,2367,2339,2306,0
2016-07-04,2272,2342,2337,2282,2190,2155,2054,1880,1731,1620,1558,1528,1534,1559,1605,1713,1828,1943,2059,2090,2102,2100,2092,2098,1
2016-08-07,2371,2411,2406,2348,2293,2252,2079,1895,1755,1639,1580,1545,1542,1566,1590,1687,1851,1973,2058,2094,2123,2142,2150,2166,1
2016-09-02,2394,2386,2357,2393,2393,2271,2086,1903,1757,1674,1627,1612,1646,1786,1988,2171,2249,2319,2374,2381,2383,2377,2366,2333,0
2016-09-19,2242,2282,2296,2343,2338,2170,1949,1775,1653,1581,1542,1545,1604,1791,2086,2250,2285,2341,2361,2366,2365,2370,2357,2317,0
2016-09-24,2321,2339,2328,2352,2303,2193,2007,1870,1726,1644,1606,1583,1602,1655,1773,1935,2090,2171,2185,2154,2132,2108,2085,2089,1
