date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-06-08,37170,35991,34337,33380,31092,28229,26037,24688,23823,23296,23262,23928,25019,26700,28414,30116,32219,34182,35961,37671,39017,40121,40730,40769,1
2016-06-09,40233,38913,37224,36275,33808,30762,28467,26824,25804,25104,24975,25583,26751,28922,31058,33073,35331,37235,38941,40457,41409,42239,42715,42336,1
2016-06-10,41444,40054,38404,37181,34694,31682,29379,27755,26675,25935,25688,26223,27201,29267,31661,33916,36186,38242,39889,41454,42302,42907,43129,42739,3
2016-06-11,41774,40375,38593,37562,35281,32423,30181,28371,27121,26183,25741,25708,25666,27059,29487,32067,34546,36582,38189,39437,40389,40967,41400,41335,1
2016-06-12,40560,39029,37340,36305,34193,31793,29593,27973,26777,25896,25374,25136,24917,26204,28590,30954,32978,34575,35735,36645,37416,38124,38636,38515,1
2016-06-13,38109,37174,35958,35189,33106,30469,28455,26989,25997,25464,25410,26242,27546,29506,31132,32595,34241,35834,37222,38469,39382,40106,40391,40105,1
2016-06-14,39527,38368,37150,36223,33786,30982,28775,27376,26511,25991,25788,26563,27912,29775,31627,33386,35337,37342,39050,40747,41947,42850,43398,43340,1
2016-06-15,42736,41665,40047,39022,36585,33638,31353,29758,28510,27661,27399,27975,29023,31222,33566,36052,38723,41120,43258,45076,45974,46718,47047,46643,3
2016-06-16,45513,43924,42095,40737,38135,35034,32557,30545,29216,28369,27968,28404,29396,31495,33720,36116,38304,40458,42315,44106,45411,46550,47115,46943,0
2016-06-17,46294,45108,43498,42388,39832,36715,34072,32164,30795,29863,29523,29883,30670,32714,35117,37626,40126,42529,44575,46280,47233,47882,48071,47556,0
2016-06-18,46600,45050,43283,41865,39250,36268,33609,31435,29795,28593,27773,27807,27616,28353,30217,32346,34644,36648,38371,39698,40593,41114,41163,40785,3
2016-06-19,39811,38404,37008,36022,34144,31802,29650,28069,26887,26001,25469,25364,25252,26600,29014,31576,33826,35792,37456,38899,40051,41007,41748,42011,1
2016-06-20,41565,40527,38951,37991,35977,33145,30847,29268,28051,27328,27068,27826,28989,31206,33634,36025,38491,40561,42287,43611,44360,44998,45288,44841,3
