date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-01,39356,40328,39263,38072,36931,35669,34680,33846,33427,33086,33048,33434,34386,35372,36069,36823,38020,38729,38845,38585,38082,37592,37467,37904,1
2016-01-02,39840,41153,40888,40513,39766,38558,37000,35632,34753,34197,33897,34170,35000,36231,37550,38737,40100,40748,40585,40012,39029,38203,37907,38227,2
2016-01-03,39991,41313,41048,40554,39649,38210,36498,35131,34283,33919,33941,34360,35294,36670,37968,38528,38090,36873,35464,34246,33151,32305,31892,32102,1
2016-01-04,34080,37094,37886,37972,37590,36291,34751,33866,33691,34024,34856,36585,39885,44041,45745,44684,42955,41158,39332,37696,36507,35494,34860,34903,2
2016-01-06,40325,42822,42885,42421,40905,38357,35836,34260,33423,33061,33072,34031,36651,40632,41841,40994,40807,40676,40293,39669,39150,38571,38394,38911,2
2016-01-07,40579,41766,41309,40424,38623,35931,33209,31374,30416,29976,29976,30755,33092,36863,38098,37323,37058,36678,35908,35124,34700,34285,33982,33957,1
2016-01-08,34785,36983,36986,36606,35364,33209,31071,29654,29082,28975,29211,30286,32963,37068,38737,37999,37600,37005,36443,35872,35376,34717,34296,34405,1
2016-01-09,35522,36934,36596,36183,35495,34157,32498,31064,30186,29767,29883,30381,31641,33545,35588,37332,38667,39161,39210,38932,38505,38125,38138,38725,1
2016-01-10,40578,42786,43019,42872,42382,41285,40137,39098,38603,38526,38845,39576,40934,42703,44318,45056,44491,42932,41126,39434,37847,36579,35990,36465,2
2016-01-13,35506,38446,39025,39151,38336,36495,34614,33666,33477,33603,34300,35880,39197,43876,45260,43173,40883,38944,37288,35793,34909,34237,33748,33944,2
2016-01-14,35139,37644,37915,37871,36856,34828,32743,31522,30913,30867,31127,32180,34969,39129,40360,39079,38039,37147,36276,35497,35054,34454,34085,34017,1
2016-01-15,34871,37097,37237,36653,35249,33085,30729,29233,28619,28368,28698,29735,32462,36880,38643,37932,37244,36556,35710,34859,34410,34011,33719,33613,1
2016-01-16,33990,35682,35607,35219,34538,33475,32097,31001,30427,30232,30430,30959,32152,33823,35512,37124,38359,38664,38385,37707,37121,36834,36924,37068,1
2016-01-17,38078,40349,40643,40517,40009,38949,37718,36733,36331,36280,36601,37297,38552,40384,42143,42696,41568,39480,37334,35538,34006,32909,32394,32662,2
2016-01-19,37210,40418,41227,41218,40328,38360,36195,34800,34318,34280,34765,35939,38904,43053,43817,42000,40599,39107,37724,36630,35718,34953,34507,34334,2
2016-01-20,35158,37522,37817,37571,36539,34531,32575,31520,31180,31392,31922,33293,36234,40799,42092,41171,40818,40025,39010,37848,36954,36352,36125,36663,1
2016-01-21,38092,40315,40295,39583,37888,35177,32497,30948,30072,29563,29565,30232,32630,36815,38264,37790,38123,38695,38943,38830,38834,38916,38884,39208,1
2016-01-24,34763,37806,38956,39206,38981,38238,37206,36356,35951,35890,36158,36688,37785,39319,40632,41034,40010,38144,36204,34761,33700,32793,32203,32138,2
2016-01-25,33092,35928,36661,36125,34933,32777,30689,29069,28149,27766,27902,28771,31253,35346,36629,35599,35280,35037,34836,34697,34576,34238,34025,34043,4
2016-01-26,34699,36862,37249,36641,35193,32923,30676,29394,28808,28637,28977,30126,33007,37604,39543,39161,39264,39324,39017,38702,38737,38718,39035,40049,1
2016-01-29,34199,36624,37476,37509,36682,34901,33034,32078,31851,32090,32767,34159,37274,41920,43260,41232,39022,37130,35708,34864,34436,34002,33759,33592,1
2016-01-30,33574,35048,34975,34319,33405,32041,30321,28909,28165,27872,27917,28469,29682,31653,33456,34307,34167,33666,33021,32396,31980,31814,31773,31834,4
2016-01-31,32044,33551,33619,32996,32079,30670,28937,27465,26488,25934,25668,25659,26110,27027,27903,29073,30234,30797,31179,31644,32123,32432,32679,32959,4
2016-02-01,33410,35106,35503,34718,33397,31177,28857,27280,26518,26312,26575,27649,30248,34613,36223,35625,35524,35542,35505,35551,35661,35756,35918,35877,4
2016-02-02,35961,37792,38096,37326,35647,33048,30303,28296,27234,26771,26670,27445,29844,34067,35560,34894,34810,34821,34549,34321,34293,34196,34136,34209,4
2016-02-03,34491,36451,37015,36572,35303,33191,31086,29786,29336,29491,30041,31555,34882,40016,41863,40830,39917,39005,37868,36666,35946,35067,34609,34772,1
2016-02-06,35129,37622,38381,38230,37549,36092,34371,33001,32386,32204,32463,33259,34766,36772,38521,39308,39276,38759,37604,36016,34537,33463,32842,32573,1
2016-02-07,33250,35814,37063,37370,37356,36747,35819,35182,34990,35158,35595,36368,37694,39482,40967,41026,39313,37096,35111,33762,32651,31857,31460,31478,1
2016-02-08,31697,33271,34083,34253,34208,33727,31816,30687,30406,30558,31217,32693,35932,40668,42169,40903,39949,39195,38259,37276,36513,35723,35216,35288,1
2016-02-09,36408,39480,40786,40676,39640,37528,35548,34553,34362,34585,35193,36768,40184,44979,45848,43372,41177,39291,37559,36145,35164,34296,33829,33812,2
2016-02-10,34440,36742,37828,37722,36774,34737,32718,31679,31532,31887,32651,34313,37811,42756,43816,41412,39248,37514,35933,34943,34332,33887,33590,33564,1
2016-02-11,33827,35417,36208,35974,34882,32623,30292,28960,28349,28204,28553,29614,32329,36767,37845,36468,35491,34836,34401,34236,34425,34536,34642,34743,1
2016-02-12,34628,35755,36250,35598,34179,31878,29399,27781,27026,26723,27041,28058,30733,35048,36520,35782,35345,35003,34587,34452,34722,34977,35119,35170,4
