date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-07,27851,27877,28526,30496,30663,30033,29177,27571,25457,23370,22037,21405,20952,20817,21401,22973,25565,26831,26857,26795,26720,26485,26495,26213,4
2016-04-19,30601,31122,31205,30783,30993,31042,29251,26523,24087,22705,21709,21249,21161,21612,22637,24064,25343,26106,26899,27688,28334,29016,29605,30379,0
2016-04-20,31204,31533,31415,30964,31176,31607,29486,26803,24400,22800,21833,21113,21050,21167,22302,24014,25183,25870,26716,27303,27848,28275,28845,29251,0
2016-04-21,29894,30306,30477,30257,30393,30781,29454,27290,24225,22753,21728,21049,20848,21245,22596,24323,25472,26205,26866,27604,27611,28009,28554,28689,0
2016-05-12,28479,28852,29257,29529,29916,30715,29632,27237,24867,23256,22238,21565,21309,21634,22714,24213,25610,26418,26829,27368,27879,28121,28853,29532,4
2016-05-13,30129,30477,30805,30685,30777,31324,29821,27303,24931,23544,22498,21810,21497,21853,23009,24349,25543,26114,26658,27103,27221,27261,27924,28491,4
2016-05-18,30057,30320,30699,30628,30839,31318,29980,27319,25115,23850,22565,22058,21958,22199,22948,23996,25677,26911,27238,27953,28756,29339,30281,30753,0
2016-05-19,31312,31953,32215,32085,31873,32199,30796,28019,25532,24108,22973,22232,21896,22232,23379,25061,26601,27817,28255,28447,28531,28629,29009,29400,0
2016-05-31,27475,28211,29133,29589,29632,30055,29095,26653,24333,22858,21843,21220,21005,21404,22447,24158,26118,27472,28112,28816,29454,30021,31048,32127,0
2016-06-01,33098,33738,34211,34249,34022,33967,32423,29328,26482,24629,23359,22547,22190,22454,23576,25070,26828,27875,28645,29388,30003,30652,31610,32606,2
2016-06-02,33565,34271,34572,34489,33981,33929,32369,29382,26618,24840,23729,22934,22556,22774,23454,24943,26602,27916,28885,30062,31179,32191,33736,35090,2
2016-06-05,34316,35025,35436,35319,34284,33577,32182,29895,27264,25207,23679,22597,22220,21881,21806,21633,22284,23154,24072,25066,26137,27284,28648,29998,1
2016-06-06,31160,32213,33089,33282,32622,32174,30965,28171,25547,23593,22418,21757,21762,22156,23452,24712,26232,27263,28221,28971,29638,30179,31060,32065,0
2016-06-07,33068,33906,34377,34420,33706,33766,32311,29388,26670,24753,23526,22779,22714,22938,23776,25175,26737,27893,28465,28777,29386,30156,31047,32086,2
2016-06-08,33106,33707,33927,33783,33360,33406,32105,29356,26782,24845,23830,23126,22789,22993,23874,25163,26552,27388,28410,29019,29589,30168,30730,31795,2
2016-06-09,32425,33203,33515,33391,32659,32356,31102,28510,25988,24074,22860,22169,22013,22241,23405,24881,26465,27516,28238,28803,29082,29266,30018,30655,1
2016-06-10,30975,31389,31451,31407,30856,31299,30636,28265,25992,24215,22962,22121,21726,22076,23059,24570,25987,27336,27943,28496,28550,28880,29471,30160,0
2016-06-11,30474,30864,30573,30380,30269,30520,30050,28166,26024,24273,23045,22294,21937,21853,22137,22374,23527,24933,25687,26183,26363,26507,26651,26899,3
2016-06-14,30172,30372,30473,30650,30516,30862,30035,27632,25239,23528,22491,21802,21560,21871,22847,24188,25660,26555,27201,27926,28028,28024,28139,28481,0
2016-06-17,29119,29581,30133,30308,30269,30672,30185,27952,25597,24015,23043,22348,21870,22112,22966,24179,25777,27020,27960,28829,29587,30073,30914,31705,0
2016-06-18,32347,32922,33166,32949,32350,32318,31567,29316,26799,24851,23540,22638,22096,21989,22077,22268,23387,24519,25620,26699,27640,28642,29372,30510,1
2016-06-19,31373,32111,32637,32794,32477,32417,31805,29653,27163,24976,23567,22805,22174,21859,21702,21761,22645,23930,25471,27254,29160,30957,32593,34043,1
2016-06-25,35589,36292,36452,36033,35130,34482,33402,30887,28304,26243,24987,24083,23450,22961,23104,23202,24274,25837,27066,28421,29745,30932,32222,33433,1
2016-06-26,34808,35898,36439,36264,35327,34544,33322,30835,28282,26112,24535,23452,22783,22521,22327,22114,23210,24744,26103,27851,29745,31377,33071,34929,1
2016-07-03,33075,33974,34485,34411,33542,32985,31916,29788,27563,25535,24442,23437,22834,22604,22616,22386,22806,23895,25013,25971,26675,27392,28514,29375,1
2016-07-04,30573,31740,32295,32581,31934,31482,30696,28737,26514,24773,23636,22768,22245,22140,22620,22604,23145,23839,25045,26096,26897,27654,28596,29365,1
2016-07-05,30238,31192,31777,31740,30941,30337,29270,28000,26137,24521,23332,22855,22562,23004,24436,25726,27127,28023,28852,29724,30388,31020,32139,32882,0
2016-07-06,33537,34321,34768,34652,33953,33605,32439,29650,27069,25275,24139,23561,23207,23538,24434,25533,26924,28237,29189,29760,30110,30669,31609,32619,2
2016-07-07,33565,34317,34416,34363,33658,33414,32550,29889,27280,25431,24208,23658,23301,23640,24594,25833,27430,28642,29609,30217,30840,31317,32616,33301,2
2016-07-08,34062,34954,35192,35011,34330,34114,33212,30498,27974,26008,24713,24002,23796,24059,25036,25962,27482,28630,29684,30375,31201,31904,32718,33765,2
2016-07-09,34993,35905,36199,35934,34991,34418,33562,31246,28780,26725,25234,24189,23549,23393,23583,23935,24786,25885,26962,28035,29105,30100,31087,31851,1
2016-07-10,32898,33732,34245,34188,33271,32690,31860,29794,27696,25789,24452,23580,22940,23062,22992,22456,23152,23904,25143,25919,26808,27685,28404,29491,1
2016-07-11,30605,31604,32520,32857,32340,32148,31536,29158,26700,25206,24090,23283,22630,22869,23812,25479,27298,28854,29785,30715,31380,32087,33222,34225,2
2016-07-12,35479,36533,36984,36705,35656,35053,33767,30751,27790,25648,24245,23619,23075,23519,24675,25983,27473,28659,29601,30090,31081,31738,33067,34444,2
2016-07-17,33685,34690,35392,35333,34335,33593,32429,30034,27487,25824,24469,23131,22849,22586,22560,22277,22880,24231,24888,25640,27068,27791,28954,30413,1
2016-07-18,31574,32639,33479,33731,33026,32679,31617,29269,26739,24742,23707,22989,22867,23285,24321,25547,26919,28782,29748,30239,31100,31962,33093,34238,2
2016-07-19,35535,36426,36806,36638,35735,35275,33897,30809,27897,25757,24609,23909,23721,23486,24318,25528,27075,28648,29733,30778,31826,32877,34460,35809,2
2016-08-06,36434,36874,37003,36324,35196,34844,33440,31102,28836,26859,25607,24660,24082,24079,24448,24505,25176,26489,27463,28326,29226,30008,30826,31710,1
