BA, Stat, Value
CISO, RMSE, 1314.1151056411063
CISO, MAE, 1095.1716876101777
CISO, MAPE, 0.045930912190890925
ERCO, RMSE, 2025.5020866738096
ERCO, MAE, 1549.3400420468868
ERCO, MAPE, 0.04273090728611613
MISO, RMSE, 2623.2276831740946
MISO, MAE, 2127.4948154388444
MISO, MAPE, 0.03154266539918658
PGE, RMSE, 141.9939763811259
PGE, MAE, 104.54061324091928
PGE, MAPE, 0.04819915439359214
PJM, RMSE, 3846.9051045875526
PJM, MAE, 3100.178484983045
PJM, MAPE, 0.03993537575923283
SOCO, RMSE, 1149.4767928088288
SOCO, MAE, 845.021780814837
SOCO, MAPE, 0.03561477740160969
SWPP, RMSE, 1120.1708138861172
SWPP, MAE, 851.8425103054972
SWPP, MAPE, 0.03271259910643796
