date,Peak Demand (MW)
2015-07-02,36680
2015-07-03,33447
2015-07-04,32139
2015-07-05,30134
2015-07-06,38922
2015-07-07,40646
2015-07-08,42410
2015-07-09,42765
2015-07-10,42632
2015-07-11,41796
2015-07-12,41104
2015-07-13,43365
2015-07-14,42965
2015-07-15,42351
2015-07-16,42196
2015-07-17,42770
2015-07-18,42253
2015-07-19,43488
2015-07-20,44049
2015-07-21,44050
2015-07-22,44332
2015-07-23,39784
2015-07-24,42120
2015-07-25,40151
2015-07-26,40655
2015-07-27,43137
2015-07-28,44137
2015-07-29,43572
2015-07-30,44723
2015-07-31,41217
2015-08-01,39023
2015-08-02,39491
2015-08-03,42709
2015-08-04,44210
2015-08-05,41839
2015-08-06,37433
2015-08-07,38347
2015-08-08,38857
2015-08-09,39829
2015-08-10,42371
2015-08-11,41574
2015-08-12,41239
2015-08-13,40578
2015-08-14,39426
2015-08-15,36973
2015-08-16,35462
2015-08-17,36614
2015-08-18,38373
2015-08-19,38787
2015-08-20,37256
2015-08-21,38632
2015-08-22,37893
2015-08-23,37218
2015-08-24,41121
2015-08-25,39287
2015-08-26,36477
2015-08-27,37328
2015-08-28,36622
2015-08-29,33833
2015-08-30,30841
2015-08-31,36670
2015-09-01,39238
2015-09-02,39425
2015-09-03,38319
2015-09-04,40666
2015-09-05,36805
2015-09-06,34666
2015-09-07,34304
2015-09-08,36233
2015-09-09,38881
2015-09-10,36406
2015-09-11,35557
2015-09-12,32593
2015-09-13,27007
2015-09-14,29619
2015-09-15,30605
2015-09-16,31111
2015-09-17,33591
2015-09-18,34338
2015-09-19,34446
2015-09-20,35269
2015-09-21,33504
2015-09-22,31316
2015-09-23,32786
2015-09-24,31460
2015-09-25,28554
2015-09-26,26959
2015-09-27,26648
2015-09-28,28207
2015-09-29,31276
2015-09-30,33828
2015-10-01,31755
2015-10-02,27296
2015-10-03,24020
2015-10-04,22942
2015-10-05,26285
2015-10-06,28440
2015-10-07,30673
2015-10-08,30656
2015-10-09,29815
2015-10-10,28546
2015-10-11,24975
2015-10-12,28110
2015-10-13,29219
2015-10-14,29163
2015-10-15,28214
2015-10-16,27770
2015-10-17,25919
2015-10-18,22924
2015-10-19,25181
2015-10-20,25724
2015-10-21,25969
2015-10-22,27078
2015-10-23,27788
2015-10-24,26735
2015-10-25,25357
2015-10-26,25824
2015-10-27,26608
2015-10-28,26894
2015-10-29,26868
2015-10-30,26543
2015-10-31,24204
2015-11-01,24290
