ba,stat,value
CISO,RMSE,6535.133375042528
CISO,MAE,5225.879937214612
CISO,MAPE,0.21801652232063837
ERCO,RMSE,11340.93907335012
ERCO,MAE,8592.30236872146
ERCO,MAPE,0.22274269428987756
MISO,RMSE,13680.810835250335
MISO,MAE,10117.985987442922
MISO,MAPE,0.14541309303468092
PGE,RMSE,577.7643842717174
PGE,MAE,438.5527397260274
PGE,MAPE,0.21287398488935835
PJM,RMSE,18185.377032784196
PJM,MAE,13727.51424086758
PJM,MAPE,0.16105850785925133
SOCO,RMSE,6906.245287853513
SOCO,MAE,5234.340724885845
SOCO,MAPE,0.2089301791676621
SWPP,RMSE,6497.994313103248
SWPP,MAE,4707.1954623287675
SWPP,MAPE,0.1661574706489546
