date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-07-02,38501,38528,38100,37278,36698,36637,35513,32654,29826,27799,26232,25314,24853,25401,26219,27734,29916,31590,32663,33717,34653,35703,37032,38084
2015-07-03,38874,39362,38901,37774,36246,35561,34302,31760,29105,27038,25447,24330,23949,23921,24152,24635,25351,26745,28038,29144,30245,31401,32852,34310
2015-07-04,35519,36452,36746,36125,34843,34109,32991,30902,28528,26609,25154,24386,23674,23356,23335,23140,23985,25355,26730,27764,28988,30145,31105,31887
2015-07-05,32703,33125,33206,32732,31490,30676,29545,28679,27265,25666,24277,23275,22819,22697,22697,22531,23154,24252,25419,26308,27216,27838,28259,29178
2015-07-06,30418,31285,31817,31803,31181,31055,30257,28294,26116,24355,23574,22774,22485,22902,23982,25629,27435,28903,29792,30933,31130,31577,32417,33397
2015-07-07,34294,34779,34915,34587,33630,33305,32236,29693,27209,25573,24716,23926,23513,23659,24768,26354,27924,29024,29727,30658,30965,31076,32008,32986
2015-07-08,33796,34331,34465,33943,33064,32856,31902,29568,27112,25435,24193,23464,23191,23539,23967,24909,26585,27846,28759,29772,30130,30356,30845,31338
2015-07-09,31818,32282,32625,32436,31915,32169,31316,28981,26653,24828,23794,23480,23216,23263,23756,24883,26611,27851,28776,29339,29548,29566,29905,30203
2015-07-10,30427,30672,30697,30500,30118,30622,30129,28270,26331,24925,23885,23211,22879,23234,24265,25345,26791,28020,29023,29616,29758,29721,29677,29906
2015-07-11,30276,30590,30766,30594,30186,30516,30106,28376,26537,25291,23812,22871,22401,22411,22689,22816,23658,24886,26159,26962,27565,28080,28712,28948
2015-07-12,29758,30482,30999,30980,30250,30452,29892,28071,26101,24666,23732,22909,22327,22113,22165,21773,22380,23802,24780,25681,26591,27418,28140,29297
2015-07-13,30266,31191,31859,31818,30979,31074,30513,28386,26095,24373,23510,22890,22639,23043,23971,24906,26617,28177,29801,30843,31851,32774,34078,35354
2015-07-14,36349,36927,36897,36102,34947,34431,33121,30198,27461,25678,24695,23759,23385,23919,25156,25668,27286,28431,29277,30422,31355,32162,33306,34384
2015-07-15,35406,36037,36052,35424,34279,33831,32477,29720,27176,25306,23917,23212,23339,23598,24616,25704,27193,28374,29120,30005,31010,31894,33197,34505
2015-07-16,35715,36670,37012,36552,35463,34715,33339,30445,27770,25961,24722,23864,23475,23733,24617,25565,27195,28504,29689,30714,31971,33078,34576,35939
2015-07-17,36975,37621,37701,37089,35885,35219,33850,30936,28270,26375,25136,24161,23991,24216,24736,25863,27268,28659,30033,31515,32518,33729,35335,36799
2015-07-18,37959,38668,38717,37929,36445,35474,34065,31525,28934,27037,25601,24440,23746,23556,23803,24059,25063,26383,27596,28588,29278,30048,30313,30217
2015-07-19,30014,30176,30215,30133,29802,29838,29480,27891,26181,24877,23883,23323,22702,22643,22718,22495,23176,24732,26554,28135,29763,31438,33181,34409
2015-07-20,34692,34471,34216,33722,33265,33453,32457,29951,27606,26005,24919,24352,24048,24519,25431,26871,28931,30691,32266,33956,35413,36433,37845,38987
2015-07-21,39891,40596,40584,39694,38191,37491,35801,32477,29785,27933,26604,25645,25078,25202,25964,26996,28526,30254,31532,32887,33917,34793,35924,36858
2015-07-22,37656,38164,38038,37264,36070,35681,34328,31362,28763,26948,25585,24687,24349,24552,25463,26794,28246,29434,30581,31783,32578,33188,34239,35130
2015-07-23,35792,36297,36316,35604,34433,34253,32990,30227,27706,25857,24750,23987,23903,24147,24929,26339,27791,28887,29811,30655,31284,31986,33222,34093
2015-07-24,34953,35711,35893,35346,34321,34230,32990,30315,27817,25967,25025,24094,23689,23877,24614,25596,27002,28358,29525,30771,32039,33091,34178,35508
2015-07-25,36350,37157,37231,37029,36132,34832,33485,30939,28294,26459,25429,24322,23627,23474,23776,23756,24583,25760,27080,28530,29790,30779,32040,32985
2015-07-26,33953,34751,35155,34914,33855,33429,32209,29957,27677,25675,24705,23759,23304,22954,22841,22585,23173,24392,25453,26529,27458,28585,29771,30924
2015-07-27,31799,32731,33205,33073,32105,31885,30824,28482,26060,24311,23835,23112,22923,23121,23839,25062,26590,28319,29592,30973,32146,32954,34128,35511
2015-07-28,36707,37611,37797,37248,36063,35528,33861,30679,27920,26034,25046,24133,23656,23907,24522,25741,27241,28686,30236,32089,33648,34780,36689,38354
2015-07-29,39685,40721,40978,40370,39126,38264,36203,32792,29591,27476,25983,25139,24686,24825,25670,26707,28435,30084,31673,33670,35358,36850,39024,40582
