date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-10-04,28826,29157,29098,28685,29340,28516,27227,25302,23772,22547,21649,21307,20623,20452,20551,20850,21068,21884,22544,22878,23227,23353,23573,23570,2
2015-10-05,23783,24311,25071,26281,27650,27071,25866,23937,22119,20971,20334,19933,19863,20298,21478,23778,25070,25868,26512,27080,27394,27647,28040,28379,3
2015-10-19,25550,26137,26522,27860,28465,27881,26406,24506,22785,21480,20928,20640,20425,20687,22257,24820,25933,26519,27284,27845,28020,28003,28340,28421,3
2015-10-25,27098,27584,27664,28791,28705,27744,26402,24562,22984,22113,21195,20558,20148,20361,20623,21171,21593,22347,23158,23711,23972,24114,24127,24546,2
2015-10-31,28482,28651,28745,29522,29375,28244,26716,25030,23227,21997,21077,20396,20349,20433,20824,21426,21551,22268,22932,23445,23920,24415,24875,25669,2
2015-11-02,24888,25587,26231,28185,28380,27541,26368,24683,22838,21298,20770,20220,19921,19968,20576,22219,23975,25248,25869,26707,27050,27022,27046,27226,3
2015-11-03,26995,26879,27290,29441,29217,28257,27072,25209,23248,21520,20728,20061,19790,19914,20332,21811,23508,24328,24824,25317,24853,24899,25002,25245,3
2015-11-04,25426,25710,26527,28597,28767,28024,27002,25252,23250,21588,20606,20478,20149,20152,20454,21922,23844,24922,24799,24897,24954,24923,24862,24785,3
2015-11-05,24994,25426,26345,28700,29014,28330,27517,25807,23660,21930,21004,20851,20531,20536,21111,22586,24527,25477,25571,25574,25534,25324,25191,25278,3
2015-11-06,25468,25867,26647,28867,29114,28489,27455,25812,23966,22288,21568,21123,20987,20945,21532,22760,24704,25694,25732,25578,25573,25448,25301,25479,3
2015-11-07,25427,25790,26516,28469,28451,27694,26772,25487,24034,22471,21593,21047,20849,20628,20820,21285,21863,22231,22519,22508,22603,22544,22303,22230,2
2015-11-10,25965,25812,26768,29291,29404,28724,27656,25964,23781,21997,21155,20706,20266,20340,20822,22530,24471,25309,25288,25112,24978,24765,24684,24730,3
2015-11-11,24895,25360,26488,28985,29155,28563,27663,26137,24320,22591,21523,21170,20992,20989,21356,22519,24089,25063,25005,25011,24901,24786,24661,24728,3
2015-11-12,24952,25378,26445,28940,29148,28568,27696,26122,24294,22581,21679,21326,21082,21079,21547,23050,25310,26337,26044,25552,25350,25204,25154,25374,3
2015-11-13,25524,25798,26768,29087,29220,28623,27740,26223,24330,22548,21668,21121,20734,20695,21019,22399,24517,25541,25456,25327,25219,25179,25196,25449,3
2015-11-14,25733,25880,26566,28476,28384,27659,26783,25465,23874,22284,21410,20762,20295,20241,20315,21047,21760,22237,22699,22498,22528,22369,22293,22363,2
2015-11-18,25701,25707,26724,29165,29401,28898,28010,26319,24404,22632,21611,20943,20582,20526,21146,22890,25025,26109,25919,25734,25680,25655,25615,25830,3
2015-11-19,25881,26077,26811,28948,29239,28699,27709,26153,24250,22507,21382,20714,20304,20216,20811,22358,24627,25684,25873,25808,25775,25791,26231,26460,3
2015-11-20,26493,26731,27306,29296,29144,28483,27504,26032,24099,22427,21432,20697,20251,20494,21071,22319,24457,25243,25377,25532,25770,25926,26100,26499,3
2015-11-21,26874,26970,27197,28869,28516,27707,26760,25612,24126,22548,21514,20917,20508,20275,20359,20861,21565,22117,22725,23268,23613,23725,23850,24030,2
2015-11-24,26517,26374,27157,29299,29125,28447,27483,26243,24572,22972,21711,20982,20592,20495,21081,22369,23978,25061,25539,25859,26086,26360,26093,25984,3
2015-11-25,26092,26064,26946,29166,29151,28914,28184,26832,25026,23230,22005,21565,21243,21113,21655,22581,24029,24894,25593,25703,25970,25765,25587,25450,3
