date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-09-12,75953,76258,75454,72290,68217,64014,60907,58815,57422,56778,57049,58416,59979,61772,64855,67206,68823,69904,70476,70905,71005,71261,71315,70904,1
2015-09-13,69724,70411,69738,66815,63111,59474,56678,54728,53502,52755,52684,53371,54267,55954,59187,61507,63359,64876,66023,66910,68006,69620,71025,71879,1
2015-09-20,77618,77649,75860,72132,67701,63460,60218,58051,56542,55706,55632,56224,57394,58762,62495,65751,68282,70799,72605,74159,75215,76307,77142,77342,1
2015-10-03,71500,72865,71118,68284,64317,60414,57951,55977,55064,54634,55265,56915,59596,61433,64132,65906,66474,66562,66334,65918,65461,65673,66118,66328,1
2015-10-05,68291,70759,68918,65917,62005,59095,56882,55656,55180,55552,57661,62634,69038,71504,72355,73490,74524,75105,75889,76779,77368,77515,77679,77476,0
2015-10-10,76310,76493,74364,71176,66894,62891,59913,57945,56479,56105,56446,58213,60585,62232,64719,66525,67332,67718,67708,67932,68088,68536,68872,68701,1
2015-10-11,69423,70484,68617,65814,62219,58820,56311,54417,53352,52697,52968,54023,55857,57451,60123,62311,63764,64842,66414,67771,69167,70659,72173,72689,1
2015-10-17,75416,75822,73520,70729,66744,62972,60521,58745,57689,57326,58060,59846,62480,64554,66835,68192,68191,67657,66942,66672,66146,65897,66031,66298,1
2015-10-19,69204,71158,69289,66211,62550,59430,57577,56647,56466,57065,59420,64766,71692,73887,74073,74344,74553,74480,74422,74976,74437,74467,74645,74689,0
2015-10-20,76847,77489,75110,71138,66154,62220,59822,58267,57499,57586,59462,64227,70666,72713,72885,73695,74427,75090,75769,76426,76513,76267,76160,76285,3
2015-10-23,76979,77550,75596,72626,68127,63944,61157,59163,58300,57920,59098,62522,68063,70879,71598,72625,73612,73921,74317,74617,74298,73795,73358,73165,3
2015-10-24,74246,73645,71857,69231,66085,62592,59632,57793,56565,55935,56191,57315,59215,61861,64052,66211,67242,67707,67330,66763,66117,65733,65500,65942,1
2015-10-26,67336,68449,66830,64266,60991,58501,57244,56355,55871,55808,57427,61292,67969,71467,71614,72132,72411,72298,72370,72046,71247,70620,70420,71101,0
2015-10-27,74115,74276,72481,69061,64953,61357,58913,57955,57103,56994,57983,61492,67754,71325,71256,71794,72109,72285,72092,71926,71489,71044,71346,72407,0
2015-10-28,74733,74735,72738,69242,65301,61764,59567,57931,56948,56685,57776,61170,67264,70695,70903,71651,72380,72613,72933,73426,73259,73258,73611,73925,0
2015-10-29,75359,75436,73568,70493,66270,62278,59706,57976,57262,57236,58586,62678,69098,72206,72196,72586,73079,73063,72962,73201,73129,72977,73093,73520,0
2015-10-30,75152,75408,73590,70375,66048,62667,60333,58670,57836,57890,58727,62914,68876,72194,72236,72208,72122,71604,70982,70817,70102,69490,68961,69093,0
2015-11-02,67414,68485,67385,65116,62314,59184,56464,54975,54065,53758,54135,56077,60945,66782,69024,70035,70933,71556,71823,72015,72131,71846,71301,71757,0
2015-11-03,74773,75634,74001,71337,67741,63313,59741,57329,56113,55505,55838,57419,61723,67274,69285,70061,71094,71763,72321,72550,72836,72437,71734,71939,0
2015-11-04,74935,75685,74115,71737,67899,63505,59840,57431,56006,55243,55292,56735,61069,66727,68885,69961,71180,72203,72828,73364,73930,73993,73533,73888,0
2015-11-05,76533,76890,75071,72408,68749,64353,60377,57854,56211,55380,55362,56949,61291,67213,69719,71006,72274,73471,74411,75068,75656,75537,75073,75823,0
2015-11-07,74752,74316,72726,70767,68060,64773,61209,58873,57044,56107,55921,56618,58474,60663,62419,64435,65579,65858,65592,64825,64116,63516,63294,64732,1
2015-11-09,68196,69365,68811,66970,64457,61723,59656,58399,57729,57607,58057,59560,64525,70591,72665,72481,72060,71854,71434,71017,70836,70185,70078,71136,0
2015-11-10,74661,75625,74429,72508,69302,65518,62341,60245,59235,58435,58488,59979,64530,70625,72300,72404,72222,71933,71527,71043,71041,70677,70324,71331,3
2015-11-11,74826,75380,74275,72092,68711,64791,61796,60018,58820,58268,58393,59509,63402,68657,70594,71039,71460,71879,72184,72287,72484,72419,72437,73920,0
2015-11-12,76420,76483,74868,72651,69312,64927,61304,59597,58341,57752,57142,58644,63061,68762,71173,71770,72347,72706,72603,72168,72274,71978,71869,72986,0
2015-11-13,75616,76224,74975,73158,69927,65697,62636,60940,59633,59127,59398,60732,65206,71142,73120,72974,72586,72351,71463,70769,70364,69579,68952,70126,3
2015-11-14,73441,73608,72363,70902,68598,65582,62941,61068,60002,59411,59055,59376,61138,63645,65196,66512,66623,65901,64745,63648,62555,61948,61843,63431,2
2015-11-16,67876,68561,67693,65811,63143,59874,57595,56263,55506,55407,55279,57003,61554,67611,70279,70841,71427,71999,72319,72217,72409,72058,72003,73866,0
2015-11-17,76750,76651,75365,73140,69598,65442,62173,60186,58637,57979,58301,59419,63532,69332,71988,72670,73598,74169,74327,74215,73946,73457,73425,75064,3
2015-11-18,77179,77021,75546,73195,69982,65726,62435,60358,58599,57827,57189,57940,62043,68140,70541,71239,71715,71795,71938,71826,71950,71564,71482,72780,0
2015-11-19,75614,75877,74853,73006,69716,65843,62492,60292,59000,58194,58573,60347,65010,71424,73453,73069,72899,72949,72532,72171,72048,71408,71348,73141,3
2015-11-20,76756,77332,76480,74871,72203,68623,65173,63048,61905,61363,61712,63440,67889,73853,75722,75231,74547,73757,72854,72143,71937,71360,71418,73146,3
2015-11-21,75613,75251,73880,72440,69873,66961,63746,61558,59966,59219,59164,59922,61555,63862,66044,68449,70199,70896,70883,70150,69458,68834,69002,71238,2
2015-11-22,74779,75140,74262,73001,70902,68437,65899,64151,63074,62738,62804,63580,65011,67490,69381,71033,71137,70295,69211,68279,67214,66657,67269,70485,2
2015-11-25,76833,77358,76756,75171,72163,68486,65166,63236,62126,61626,61261,62470,66370,71348,73774,74375,74536,74061,73338,72613,72032,71304,70939,72435,3
2015-11-26,74766,74306,72825,70881,67930,63853,59885,57373,55777,54915,54321,53908,54621,56489,58673,61834,64744,66230,65716,63368,61248,59755,58856,59674,1
2015-11-29,72383,72424,71362,70095,68052,65431,62807,61133,59970,59204,58846,58719,59293,60954,62469,64721,66373,66864,67345,67520,67475,67494,68428,71367,1
2015-11-30,74911,75291,74216,72214,69408,65898,62911,61212,60101,60113,59985,61799,66166,72435,75244,75604,76201,76552,76340,76009,75801,75422,75425,77538,3
2015-12-06,73434,73938,73588,72701,70936,68612,66042,63965,62554,61932,61871,62609,63407,65279,67138,68598,68572,67582,66916,66357,65784,65429,66232,69755,2
2015-12-12,76679,76000,74342,72696,70055,66146,62116,59170,57172,56007,55637,56238,57934,60386,62862,65055,66903,67678,67774,67343,66930,66464,66712,69062,1
2015-12-13,72023,71542,70267,68839,66706,63479,60935,58289,56378,55418,54918,54675,55172,57144,59534,61914,64024,65245,66010,66447,66430,66174,66903,70131,1
2015-12-14,73256,73239,72317,70284,67276,63838,60391,58130,56746,56239,56638,58475,63054,70071,73534,73724,73936,74149,74161,74032,74082,73701,73961,76326,0
