date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-07-29,3064,3137,3124,3050,2960,2896,2649,2383,2149,2013,1922,1864,1891,2017,2196,2428,2586,2729,2889,3031,3192,3369,3512,3651,1
2015-07-30,3744,3796,3750,3646,3492,3389,3075,2724,2426,2255,2116,2042,2057,2164,2338,2556,2752,2928,3120,3291,3480,3668,3840,3920,1
2015-07-31,3989,4009,3967,3872,3738,3611,3284,2962,2656,2428,2282,2193,2177,2252,2390,2593,2783,2955,3153,3319,3493,3667,3774,3850,1
2015-08-01,3890,3882,3816,3665,3517,3382,3091,2754,2469,2261,2127,2028,1980,1974,2000,2145,2334,2528,2687,2829,2978,3132,3287,3431,1
2015-08-02,3523,3559,3517,3411,3283,3183,2909,2642,2401,2200,2086,2009,1967,1967,1976,2095,2262,2461,2598,2646,2648,2642,2631,2654,0
2015-08-12,3459,3493,3492,3398,3319,3216,2910,2599,2363,2186,2089,2048,2062,2193,2362,2546,2690,2799,2915,3081,3216,3355,3473,3565,1
2015-08-13,3625,3664,3600,3488,3411,3273,2922,2607,2339,2165,2067,2020,2021,2132,2327,2483,2593,2706,2784,2878,2999,3113,3245,3352,1
2015-08-18,3329,3384,3333,3209,3117,2979,2682,2396,2170,2037,1957,1907,1937,2069,2254,2418,2585,2695,2832,2951,3105,3268,3420,3557,1
2015-08-19,3682,3706,3673,3546,3474,3307,2964,2660,2401,2225,2135,2068,2071,2212,2368,2520,2685,2892,3039,3216,3406,3587,3734,3821,1
2015-08-20,3867,3869,3768,3567,3430,3216,2858,2572,2305,2140,2043,1993,2008,2130,2332,2472,2590,2653,2725,2748,2820,2914,2982,3062,1
2016-06-06,3456,3512,3511,3437,3301,3195,2889,2533,2267,2078,1972,1917,1936,2049,2283,2555,2693,2809,2945,3049,3163,3282,3412,3504,1
2016-06-07,3570,3600,3518,3394,3211,3049,2719,2365,2095,1943,1842,1801,1812,1917,2165,2418,2510,2589,2677,2785,2904,3010,3144,3262,1
2016-07-29,3500,3536,3486,3386,3245,3149,2833,2512,2241,2078,1952,1886,1803,1965,2035,2394,2567,2716,2869,3002,3142,3291,3401,3497,1
2016-07-30,3556,3570,3461,3325,3125,2986,2667,2357,2095,1949,1829,1764,1731,1744,1768,1906,2075,2222,2318,2376,2408,2466,2523,2598,0
2016-08-12,3150,3222,3196,3127,3039,2922,2634,2343,2119,1956,1864,1807,1832,1939,2110,2303,2482,2641,2801,2934,3094,3234,3366,3476,1
2016-08-13,3529,3543,3493,3365,3247,3117,2839,2550,2294,2118,1992,1912,1866,1891,1924,2051,2253,2464,2631,2803,2939,3053,3180,3254,1
2016-08-18,3051,3095,3069,2968,2897,2760,2497,2222,2012,1880,1797,1765,1797,1948,2130,2308,2466,2600,2743,2886,3034,3259,3437,3592,1
2016-08-19,3678,3730,3668,3565,3439,3260,2934,2587,2323,2138,2024,1947,1969,2096,2265,2441,2670,2862,3081,3248,3408,3539,3617,3687,1
2016-08-20,3724,3704,3633,3479,3351,3170,2888,2594,2338,2163,2040,1953,1920,1934,1964,2087,2313,2517,2725,2887,3050,3182,3293,3404,1
2016-08-21,3488,3502,3450,3313,3183,2988,2695,2412,2156,1973,1872,1780,1740,1743,1752,1836,1990,2162,2254,2354,2427,2527,2622,2713,0
2016-08-26,3509,3523,3460,3327,3264,3061,2753,2428,2205,2029,1926,1859,1874,2005,2156,2331,2509,2658,2830,2992,3148,3298,3411,3516,1
2016-08-27,3531,3507,3408,3253,3142,2967,2680,2405,2158,1998,1887,1809,1787,1815,1853,1940,2127,2260,2381,2457,2528,2602,2701,2758,0
2016-12-08,3115,3278,3509,3506,3445,3345,3158,2910,2674,2510,2446,2425,2434,2539,2766,3025,3248,3346,3380,3433,3482,3530,3495,3497,2
2016-12-09,3417,3553,3675,3559,3415,3274,3056,2782,2538,2401,2324,2295,2307,2400,2627,2877,3074,3212,3311,3328,3328,3303,3267,3230,2
2016-12-15,3479,3612,3737,3673,3558,3413,3241,2974,2722,2577,2481,2469,2465,2548,2709,2935,3104,3264,3362,3437,3424,3391,3352,3341,2
2016-12-16,3311,3406,3582,3517,3437,3290,3097,2851,2668,2526,2451,2434,2497,2610,2837,3088,3306,3388,3441,3365,3298,3171,3100,3069,2
2017-01-03,3213,3327,3506,3494,3411,3327,3158,2844,2632,2503,2440,2439,2478,2607,2852,3249,3461,3424,3388,3321,3235,3181,3150,3147,2
2017-01-04,3139,3369,3636,3711,3647,3556,3351,3079,2855,2678,2639,2617,2630,2728,2958,3297,3487,3494,3479,3471,3436,3368,3329,3292,2
2017-01-05,3335,3484,3712,3746,3716,3611,3404,3121,2905,2762,2690,2671,2711,2840,3123,3483,3709,3656,3572,3456,3370,3277,3204,3149,2
2017-01-06,3175,3313,3591,3648,3609,3556,3368,3100,2894,2764,2729,2748,2781,2913,3176,3529,3759,3763,3659,3529,3411,3283,3181,3142,2
2017-01-07,3119,3279,3493,3538,3465,3432,3291,3096,2942,2785,2713,2661,2672,2703,2789,2949,3116,3288,3423,3534,3564,3595,3552,3507,2
2017-01-08,3491,3539,3653,3619,3473,3340,3120,2929,2739,2587,2509,2464,2438,2498,2584,2693,2824,2993,3157,3302,3394,3381,3383,3278,2
2017-01-09,3296,3385,3476,3418,3303,3168,2978,2729,2503,2359,2293,2286,2315,2400,2643,2935,3158,3210,3247,3288,3305,3263,3205,3167,2
2017-01-13,3098,3234,3517,3595,3525,3422,3253,3016,2844,2715,2664,2645,2680,2799,3009,3301,3503,3582,3589,3536,3460,3390,3401,3380,2
2017-01-14,3405,3480,3641,3620,3560,3475,3311,3099,2923,2799,2733,2708,2726,2791,2907,3080,3293,3415,3469,3466,3368,3277,3168,3093,2
2017-01-15,3142,3262,3509,3543,3476,3383,3246,3035,2872,2762,2675,2671,2693,2734,2831,2981,3152,3306,3386,3341,3279,3199,3102,3043,2
2017-01-16,3036,3114,3435,3486,3427,3358,3185,2970,2779,2650,2614,2586,2609,2691,2915,3193,3398,3481,3510,3486,3410,3346,3277,3256,2
2017-01-17,3234,3322,3579,3612,3535,3426,3210,2991,2742,2602,2539,2496,2509,2600,2804,3097,3251,3323,3320,3348,3377,3380,3360,3365,2
2017-01-18,3362,3404,3529,3488,3356,3198,2968,2725,2485,2328,2250,2215,2230,2304,2540,2855,3046,3053,3051,2972,2922,2969,2949,2982,1
2017-06-25,3283,3323,3340,3180,3108,2995,2754,2524,2299,2103,1982,1899,1858,1817,1900,2097,2358,2600,2831,2988,3155,3300,3413,3509,1
2017-06-26,3560,3578,3520,3360,3181,3038,2793,2458,2223,2021,1947,1884,1891,1957,2147,2293,2453,2519,2589,2639,2664,2762,2820,2877,0
2017-08-01,3329,3401,3392,3272,3122,2986,2676,2366,2163,2041,1948,1879,1907,2032,2206,2398,2570,2710,2850,2996,3145,3296,3458,3587,1
2017-08-02,3680,3755,3715,3633,3465,3337,3010,2676,2406,2238,2119,2053,2058,2174,2335,2541,2716,2907,3091,3288,3504,3701,3866,3950,1
2017-08-03,3999,4002,3948,3817,3715,3571,3268,2918,2646,2457,2306,2221,2218,2315,2435,2641,2815,2996,3167,3353,3538,3712,3836,3959,1
2017-08-04,4023,4016,3972,3831,3740,3581,3274,2907,2656,2467,2302,2202,2204,2263,2379,2552,2731,2894,3050,3190,3340,3482,3600,3680,1
2017-08-05,3740,3755,3691,3534,3336,3163,2853,2520,2255,2076,1964,1879,1838,1852,1891,2020,2196,2360,2469,2570,2665,2755,2864,2980,0
2017-08-07,3101,3196,3232,3180,3093,2996,2718,2409,2203,2069,1969,1929,1965,2099,2271,2425,2539,2640,2805,2936,3095,3274,3395,3516,1
2017-08-08,3611,3654,3636,3477,3356,3193,2872,2531,2289,2126,2014,1953,1971,2100,2260,2423,2544,2683,2791,2933,3103,3267,3413,3538,1
2017-08-09,3661,3701,3653,3530,3423,3259,2933,2608,2350,2189,2072,1999,2020,2127,2278,2450,2589,2762,2883,3017,3182,3351,3473,3646,1
