date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2015-07-03,33167,32233,32035,30504,28685,26766,25859,25094,24620,24435,24596,24615,24399,25423,26579,28269,29410,30719,31900,32761,32972,33291,33447,33106,1
2015-07-04,32139,31074,30706,29184,26454,24817,23165,22623,21907,21453,21428,20989,20665,21474,23071,25078,26738,28072,29367,30773,31279,31405,31157,30138,2
2015-07-05,28507,27104,26512,25576,24635,23235,21727,21088,20625,20348,20271,20001,19966,21136,22531,24281,25729,27172,28263,28994,29541,29932,30134,30080,2
2015-08-16,34580,33549,32018,30384,28232,26567,24872,23785,23247,22868,22726,22564,23364,24803,26295,28589,30336,31914,33581,34367,35462,35338,35244,34654,1
2015-08-29,33833,33157,31896,29685,27824,25859,24749,24296,23678,23235,23173,23377,23812,24077,25199,27436,28851,29986,31162,32186,32608,32746,32243,31434,1
2015-08-30,30380,30308,29453,27574,25706,23962,22968,22865,22390,21904,22055,22272,22229,22925,24122,25560,26627,27644,28783,29437,30081,30468,30841,30728,2
2015-09-06,33312,32843,31387,29204,27021,25167,24161,23050,22298,22235,22065,22264,22034,22732,24674,26736,28891,30857,32605,33933,34531,34666,34395,33608,1
2015-09-07,32020,31397,29942,27980,25794,23969,22532,21691,21785,21579,21676,22050,21697,22318,24487,26611,28813,30758,32203,33265,33979,34304,34272,33673,1
2015-09-11,32932,33018,31704,29398,27427,25586,24557,24041,23583,23610,24335,25943,26523,26835,27901,29275,30747,32138,33571,34725,35381,35557,35127,33942,1
2015-09-12,32593,32170,30542,28739,26825,25326,23999,23219,22637,22610,22752,22889,23507,23876,24514,25585,26348,26917,27443,28070,28519,28795,28681,27957,2
2015-09-14,25772,26130,24992,23084,21051,19547,19310,19228,19008,19086,19601,21660,22811,22765,23338,24290,24844,25613,26401,27447,28345,29100,29619,29401,2
2015-09-15,28550,28695,27249,24679,22456,21064,20475,20303,19951,19926,20625,22369,23486,23368,23771,25308,26212,27333,28430,29223,30178,30565,30605,29860,2
2015-09-16,29451,29919,28572,26318,24355,22806,21917,21165,20763,20753,21602,23601,24134,24179,24888,25988,27172,28076,29731,29976,30754,30981,31111,30389,2
2015-09-17,30169,30392,29142,26938,24804,23247,22531,22052,21546,21493,22198,23890,24340,24481,25308,26403,27573,28836,30353,31676,32730,33547,33591,32783,1
2015-09-18,31724,31699,30118,27904,25269,23620,22624,22079,21559,21421,22269,23728,24080,24322,25650,26922,28222,29501,31109,32509,33494,34338,34198,33139,1
2015-09-19,31513,30739,29162,27248,24981,23317,22330,21639,21102,20957,21007,21247,20564,21376,23240,25501,27277,29033,30891,32346,33557,34370,34446,33559,1
2015-09-20,31932,31072,29350,27259,25233,23236,22522,21988,21220,20725,20738,20781,20416,20846,22876,25216,27473,29584,31822,33629,34888,35133,35269,34416,1
2015-09-21,33504,33188,31427,28978,26748,24639,23733,22788,22293,22575,23491,25195,26422,26295,26618,27666,28675,29355,30003,30374,30737,30700,30463,29942,1
2015-09-22,30043,30404,29018,26816,24983,23110,22103,21468,20996,21047,21955,23965,25107,24920,25614,26520,27442,28425,29512,30472,31006,31316,31211,30722,2
2015-09-23,30430,30780,29389,27116,25024,23420,22538,21829,21625,21663,22541,23737,24864,24803,25275,26357,27616,28882,29900,31312,31769,32611,32786,32109,1
2015-09-24,31460,31425,29624,27492,25140,23624,22799,22285,21853,21698,22648,24303,25346,24693,25487,26286,27197,27758,28491,28949,29307,29299,29019,28657,2
2015-09-29,29033,29263,28222,26601,24285,23045,22795,22618,22246,22326,23279,24934,25803,26061,26741,27563,28328,28966,29673,30250,30729,31156,31276,31077,2
2015-09-30,31424,31359,30339,27959,25792,24445,23677,22906,22468,22369,22947,25017,25953,26043,26751,27792,29204,30554,32019,33216,33584,33828,33453,32353,1
2015-10-01,31755,31557,29947,27594,25480,23955,22974,22316,21922,21887,22648,24375,25584,25248,25545,25978,26006,26602,26909,26610,26867,26746,26543,26394,2
2015-10-07,28625,28544,27292,25149,22969,21256,20549,19906,19428,19478,20110,22068,23262,23335,23955,24962,25952,26999,28166,29222,29585,30148,30673,29476,2
2015-10-08,29584,29197,27712,25578,23833,21684,20674,19826,19458,19456,20266,21980,23526,23562,24128,25179,26192,27225,28479,29782,30180,30656,30334,29852,2
2015-10-09,29815,28519,27786,26048,23403,22306,21233,20504,20097,20146,20542,22236,23640,23828,24407,25267,26140,26949,27970,28875,29418,29620,29418,28614,2
2015-10-13,27753,27434,26240,24711,22843,21403,20539,19917,19665,19764,20733,22298,23397,23279,23976,24860,25628,26326,27176,28031,28605,28515,29219,27989,2
2015-11-23,26327,26987,27208,26997,26119,25267,24766,24429,24857,25148,25835,27363,29414,31259,31553,30646,29311,28076,26842,25935,25582,25348,25558,26645,0
2015-11-24,28891,29486,29647,29238,28479,28111,27200,26970,26980,27239,27367,28757,30546,32017,31878,30373,28845,27413,26165,25422,25053,24928,25411,26081,0
2015-12-04,29581,30060,30104,29470,28116,26620,25893,25691,25565,25830,26147,26892,30338,31775,30934,29941,28544,27235,25913,25298,24863,24673,24847,26089,0
2015-12-08,25813,27144,26998,26294,24983,23318,22386,21749,22067,22273,23057,24678,27683,29502,28995,27685,26247,25234,24480,24076,24099,23581,23843,24896,0
2015-12-09,26949,27527,27382,26693,25583,23904,23154,22834,22776,22976,23724,25078,27849,29392,28876,27616,26445,25463,24741,24268,23921,23702,24009,25286,0
2015-12-19,29527,29861,29948,29799,29318,28400,27778,27302,27625,27434,28212,29150,30291,31012,31758,31139,29641,27806,26193,25183,24270,23849,24066,25275,0
2015-12-20,27623,28242,28545,28669,28289,27394,26747,27007,27333,28184,28619,29430,30060,31121,30997,30317,28574,26417,24854,23901,22971,22961,23474,24641,0
2016-01-04,26921,27552,27433,26662,25712,24787,24240,23944,24117,24358,24797,26133,28743,30845,31425,30936,30045,29193,28168,27864,27240,26808,26866,28091,0
2016-01-07,31384,31985,31743,30802,29183,27945,26936,26423,26071,26113,26165,27171,29738,31255,30789,29932,29071,27956,26932,26361,25940,25538,25592,26434,0
2016-01-13,29544,30483,30716,30449,29236,27754,27375,27516,27601,28061,28685,30148,33222,35323,34614,32616,30515,28788,27777,27112,26586,26129,25978,27019,0
2016-01-14,29777,30955,31370,31099,30109,28847,28361,28208,28365,28763,29378,31225,34288,36043,35363,33476,31162,29036,27327,26555,26061,25770,26033,26581,0
2016-01-15,28632,29339,29284,28597,27252,26094,24960,24365,24034,23950,24256,25446,27560,29308,29143,29019,28953,28614,27900,27132,26307,25874,25884,26149,0
2016-01-18,27502,28530,28871,28751,28151,27285,27090,27345,27515,27638,28241,29335,31400,33257,33913,33655,32675,31889,30871,30111,29470,29102,29412,30874,0
