date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-06-08,55598,53494,51396,49408,45409,40836,37117,34556,32906,31982,31913,33137,34957,36755,39543,42950,46650,49887,52531,54773,56576,57915,58568,58193,0
2016-06-09,56590,54086,51877,50176,46508,41922,39740,37792,36648,35295,35280,35925,37350,39920,42894,45471,48347,52653,56904,58991,61729,61402,63411,63555,0
2016-06-10,62297,58178,57145,53044,49597,44040,38845,36316,34624,33636,33380,34452,35930,37691,40485,43741,47353,50473,53038,55401,57243,58552,58946,58350,0
2016-06-14,55378,53840,52508,51350,47915,43960,40516,38236,36538,35664,35622,36885,38683,40221,42572,45409,48558,51593,54246,56838,58977,60620,61469,61484,0
2016-06-15,60377,58345,56237,54500,50738,46249,42595,40178,38557,37698,37517,38707,40536,41969,44463,47877,51638,55122,58147,60797,62980,64260,64865,64661,0
2016-06-16,63341,60829,58174,56176,51916,47422,43675,40909,38932,37764,37640,38763,40456,42051,44760,48323,52088,55765,58709,61382,63444,64465,64699,64489,0
2016-06-17,63273,61055,58492,56591,52518,48287,44378,41661,39686,38416,37959,38665,39867,41283,44166,47489,51218,54850,58012,61010,63244,64457,64821,64597,0
2016-06-18,63343,60985,58331,56306,52689,48744,45076,42127,39896,38354,37458,37291,37267,38461,42041,46092,50112,53916,56994,59330,61078,62266,62678,61907,0
2016-06-19,59825,57146,54820,53152,50004,46565,43083,40247,38069,36542,35441,34897,34463,35266,38128,41727,45402,48711,51662,53716,55303,56368,56985,57048,0
2016-06-20,56285,54601,52692,51382,48343,44314,40734,38244,36623,35687,35589,36809,38450,40423,43543,47256,51058,54324,57040,59393,61098,62014,62050,61304,0
2016-06-21,59582,57489,55506,53932,50150,45764,42097,39487,37759,36683,36520,37649,39171,40996,44103,47736,51710,55122,57794,60171,61711,62448,62462,61761,0
2016-06-22,60559,58715,56547,55029,51355,47006,43401,40894,39129,38060,37859,38993,40591,42123,44858,48305,51938,55215,57871,60334,62221,63642,64303,63809,0
2016-06-23,62217,59977,57613,55944,51940,47714,44141,41563,39633,38319,37977,38865,40251,41739,44603,47940,51513,54734,57632,60262,62259,63389,63882,63256,0
2016-06-24,61359,58813,56392,54767,50947,46597,42775,40052,38164,36999,36630,37523,38861,40511,43546,47044,50844,54117,56830,59091,60236,60845,60873,60322,0
2016-06-25,58912,56673,54392,52980,49912,46341,42994,40511,38684,37538,36957,36975,37117,38347,41634,45530,49084,51923,53788,54752,55789,56664,56562,55421,0
2016-06-26,53843,52023,50817,49794,47284,44276,41476,39366,37781,36624,35869,35680,35471,36449,39770,43671,47460,50904,53679,55859,57290,58201,58730,58637,0
2016-06-27,57498,55704,53863,52380,49117,45215,41771,39215,37535,36593,36499,37661,39275,41262,44504,48181,52329,56085,58911,61233,62578,62742,62636,61830,0
2016-06-28,60071,57679,55553,53881,49939,45787,42214,39600,37854,36844,36614,37686,39406,41048,44314,48138,52465,56530,59635,61174,60897,59802,58970,57337,0
2016-06-29,55097,52847,51044,49536,46172,41987,38663,36342,34993,34144,34055,35218,37084,38713,41380,44772,48750,52449,55829,58750,60865,62296,62826,62369,0
2016-06-30,60854,58526,56022,54037,49965,45510,41813,39071,37194,36128,35955,36998,38566,40156,43305,47172,51270,54870,57744,60474,62378,63518,64105,63584,0
2016-07-01,62062,59853,57305,55359,51411,46909,42844,40084,37994,36741,36290,36996,38263,39713,43036,47004,51171,54806,57913,60544,62442,63616,64248,63756,0
2016-07-02,61974,59353,56797,55120,51670,47822,44280,41586,39564,38170,37373,37252,37138,38027,41411,45522,49496,53045,56059,58373,60163,61404,62055,61896,0
