date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-06-10,91583,89639,87835,85618,80510,74423,70298,67409,65529,64583,64786,66029,69318,74528,79496,84349,88892,92528,95799,98675,100769,102162,102465,101201,0
2016-06-11,99223,96154,93381,90528,85009,79078,73551,70315,67695,65969,65517,65660,66966,71044,76251,82452,87674,91647,94531,96820,98526,99773,100421,100292,0
2016-06-12,98941,96221,93142,90463,85300,79571,74252,70474,67549,65353,64099,63196,63522,66793,70704,75362,79388,82789,85389,86818,87396,88043,88558,88381,0
2016-06-13,87004,84642,82724,80851,76156,71552,68073,65312,63789,63007,64120,66350,69555,74110,78383,82398,86408,89946,92640,94688,95861,96516,96756,96088,0
2016-06-14,94528,91753,89843,87451,81984,76269,71870,69549,67467,66461,67223,69754,72448,76873,80919,84705,88514,91413,93794,95193,95811,96194,96116,95100,0
2016-06-15,93578,91316,89540,87384,82176,76458,72460,70097,68403,67514,68283,70796,74046,78732,82518,86963,91664,95571,98979,101843,103669,104809,104590,104058,0
2016-06-16,102457,99377,96357,93584,87417,80879,75876,72718,70133,68888,69594,71838,74820,79925,84035,87417,91341,94456,97210,99526,100655,101267,101498,100837,1
2016-06-17,98883,96369,93919,91639,86251,80770,76566,71079,69255,68019,68025,69933,72974,77046,81463,85908,90241,94053,97191,100160,102408,103990,104356,103465,1
2016-06-18,100825,96863,92954,89824,84435,78751,73238,69150,66377,64621,64010,63895,64870,68517,73016,77662,82249,85826,88521,90731,92807,94416,95823,96005,0
2016-06-19,94360,91339,88032,85790,81218,75894,70963,67470,64980,63294,62116,61167,61369,65442,71090,77242,82659,87475,91057,93430,95602,97531,99074,99637,0
2016-06-20,98689,96353,93862,91778,86627,81335,76986,73789,71342,69854,70568,73167,77179,82890,88133,93388,98500,102180,105190,106833,108224,108954,108944,107938,1
2016-06-21,105623,101853,98245,94766,88024,80925,76360,72741,69885,68468,68521,70625,74067,78464,82966,86719,90515,93394,96148,98555,100197,101560,102372,101769,1
2016-06-22,99686,96586,93636,91135,85280,79227,75304,72016,69785,68707,69217,70852,74213,78153,82242,85802,89705,93522,96806,99690,101667,103078,103776,103348,1
