date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-04-03,2062,2085,2096,2126,2198,2095,1959,1781,1675,1573,1551,1523,1546,1616,1716,1853,1992,2085,2095,2105,2074,2035,2020,2051,6
2016-04-10,2066,2074,2076,2125,2185,2092,1941,1786,1648,1573,1530,1504,1514,1555,1643,1790,1932,2096,2152,2156,2151,2103,2107,2069,6
2016-04-17,2041,2055,2077,2083,2161,2099,1947,1791,1658,1586,1539,1531,1525,1595,1678,1799,1932,2049,2081,2099,2102,2080,2095,2135,6
2016-04-24,2055,2073,2095,2102,2148,2078,1957,1792,1665,1564,1571,1527,1532,1611,1668,1793,1960,2079,2116,2120,2145,2090,2087,2103,6
2016-05-01,2019,2044,2068,2062,2118,2100,1955,1808,1670,1575,1537,1517,1549,1591,1656,1795,1925,2032,2060,2078,2093,2081,2089,2145,6
2016-05-15,2110,2106,2110,2093,2114,2068,1945,1769,1661,1571,1529,1504,1511,1564,1611,1746,1916,2051,2126,2175,2174,2151,2117,2096,6
2016-05-22,2099,2105,2122,2106,2120,2088,1972,1795,1693,1605,1565,1535,1569,1597,1658,1793,1956,2055,2125,2133,2130,2082,2075,2078,6
2016-05-29,2050,2094,2103,2095,2059,2084,1970,1785,1659,1568,1523,1488,1493,1514,1558,1675,1818,1939,1989,2014,2011,2001,1980,1996,11
2016-05-30,1993,2042,2043,2027,2014,2039,1932,1758,1626,1546,1512,1499,1509,1547,1628,1739,1865,1996,2082,2103,2122,2129,2132,2178,7
2016-06-12,2057,2090,2072,2052,2044,2050,1978,1801,1676,1583,1535,1511,1516,1530,1587,1720,1871,1960,2027,2048,2059,2079,2073,2107,2
2016-06-19,2049,2061,2055,2038,2018,2040,1979,1791,1674,1586,1528,1518,1526,1540,1620,1744,1863,1967,2014,2037,2043,2043,2055,2086,2
2016-07-10,2164,2156,2153,2110,2105,2106,1995,1832,1710,1621,1554,1534,1526,1539,1573,1676,1838,1982,2045,2054,2087,2085,2061,2075,0
2016-09-04,2057,2078,2058,2052,2126,2059,1895,1769,1646,1563,1517,1492,1503,1530,1598,1676,1814,1931,1988,2004,2008,1986,1976,1976,11
2016-09-05,2013,2041,2068,2083,2122,2033,1904,1731,1627,1555,1520,1501,1508,1567,1630,1707,1873,1994,2077,2118,2114,2104,2102,2129,7
2017-05-07,2074,2076,2072,2084,2085,2137,2038,1849,1756,1674,1613,1626,1674,1755,1814,1949,2084,2134,2146,2120,2074,2031,2021,2036,1
2017-06-04,2081,2092,2117,2101,2073,2081,1941,1778,1656,1599,1549,1515,1527,1549,1608,1729,1875,1964,2042,2083,2082,2065,2048,2054,0
2017-06-11,2058,2086,2057,2073,2067,2042,1958,1826,1676,1604,1561,1539,1561,1575,1626,1748,1939,2056,2098,2100,2107,2084,2056,2058,6
2017-09-24,2123,2139,2151,2196,2175,2057,1931,1788,1685,1600,1555,1538,1553,1608,1700,1811,1945,2046,2089,2081,2086,2091,2084,2122,10
2018-04-22,2016,2036,2057,2077,2156,2114,1989,1838,1734,1669,1647,1649,1690,1768,1906,2042,2156,2193,2171,2122,2082,2029,1991,1984,1
2018-04-29,2050,2077,2093,2107,2173,2097,1968,1812,1700,1630,1585,1569,1589,1637,1722,1853,1994,2104,2135,2125,2121,2101,2067,2079,6
2018-05-06,2139,2158,2142,2119,2149,2095,1955,1799,1671,1593,1539,1511,1528,1550,1607,1733,1896,1993,2079,2116,2133,2133,2128,2122,0
2018-05-20,2092,2118,2121,2117,2119,2100,1967,1798,1678,1583,1534,1517,1526,1546,1611,1721,1877,1993,2051,2076,2083,2071,2059,2059,0
2018-05-27,2021,2040,2045,2037,2023,1968,1925,1806,1660,1572,1533,1514,1529,1539,1615,1724,1851,1923,1983,1987,2007,2003,2035,2072,2
2018-06-10,2061,2070,2076,2048,2042,2046,1953,1796,1666,1578,1541,1520,1564,1577,1660,1785,1950,2035,2098,2035,2134,2117,2083,2066,6
2018-09-16,2108,2125,2128,2165,2141,2043,1918,1784,1666,1606,1552,1536,1542,1580,1667,1765,1911,2043,2099,2126,2120,2115,2100,2110,10
2018-09-23,2140,2164,2154,2197,2163,2065,1922,1777,1667,1599,1559,1546,1555,1598,1693,1801,1950,2043,2081,2094,2086,2087,2076,2083,10
2019-03-31,2015,2068,2095,2135,2176,2101,1960,1826,1722,1657,1624,1623,1655,1733,1858,2008,2137,2174,2173,2142,2097,2071,2053,2039,1
2019-04-27,2083,2096,2069,2069,2080,2026,1879,1715,1592,1526,1480,1474,1524,1553,1725,1860,2035,2036,2089,2064,1985,1975,1917,1867,9
2019-04-28,1899,1963,1952,1977,2045,2023,1901,1757,1657,1600,1580,1591,1637,1714,1874,1980,2051,2084,2052,2002,1954,1939,1869,1899,4
2019-05-05,2073,2115,2133,2123,2141,2105,1964,1804,1673,1594,1551,1532,1535,1582,1658,1771,1915,2007,2039,2052,2061,2061,2077,2102,0
2019-05-18,2128,2151,2147,2148,2058,2015,1834,1798,1639,1601,1547,1533,1560,1616,1690,1853,1949,2040,2089,2053,2035,2029,2044,2047,10
