date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-08-19,3678,3730,3668,3565,3439,3260,2934,2587,2323,2138,2024,1947,1969,2096,2265,2441,2670,2862,3081,3248,3408,3539,3617,3687,2
2016-08-20,3724,3704,3633,3479,3351,3170,2888,2594,2338,2163,2040,1953,1920,1934,1964,2087,2313,2517,2725,2887,3050,3182,3293,3404,0
2016-12-09,3417,3553,3675,3559,3415,3274,3056,2782,2538,2401,2324,2295,2307,2400,2627,2877,3074,3212,3311,3328,3328,3303,3267,3230,11
2016-12-15,3479,3612,3737,3673,3558,3413,3241,2974,2722,2577,2481,2469,2465,2548,2709,2935,3104,3264,3362,3437,3424,3391,3352,3341,3
2017-01-04,3139,3369,3636,3711,3647,3556,3351,3079,2855,2678,2639,2617,2630,2728,2958,3297,3487,3494,3479,3471,3436,3368,3329,3292,8
2017-01-05,3335,3484,3712,3746,3716,3611,3404,3121,2905,2762,2690,2671,2711,2840,3123,3483,3709,3656,3572,3456,3370,3277,3204,3149,1
2017-01-06,3175,3313,3591,3648,3609,3556,3368,3100,2894,2764,2729,2748,2781,2913,3176,3529,3759,3763,3659,3529,3411,3283,3181,3142,1
2017-01-08,3491,3539,3653,3619,3473,3340,3120,2929,2739,2587,2509,2464,2438,2498,2584,2693,2824,2993,3157,3302,3394,3381,3383,3278,3
2017-01-14,3405,3480,3641,3620,3560,3475,3311,3099,2923,2799,2733,2708,2726,2791,2907,3080,3293,3415,3469,3466,3368,3277,3168,3093,8
2017-08-05,3740,3755,3691,3534,3336,3163,2853,2520,2255,2076,1964,1879,1838,1852,1891,2020,2196,2360,2469,2570,2665,2755,2864,2980,12
2017-08-08,3611,3654,3636,3477,3356,3193,2872,2531,2289,2126,2014,1953,1971,2100,2260,2423,2544,2683,2791,2933,3103,3267,3413,3538,9
2017-08-09,3661,3701,3653,3530,3423,3259,2933,2608,2350,2189,2072,1999,2020,2127,2278,2450,2589,2762,2883,3017,3182,3351,3473,3646,6
2017-08-10,3751,3787,3746,3606,3481,3317,2961,2632,2374,2210,2088,2008,2022,2136,2299,2450,2566,2715,2820,2951,3101,3259,3383,3489,10
2017-08-28,3138,3195,3174,3079,3035,2798,2529,2280,2074,1958,1863,1831,1859,2005,2200,2349,2482,2703,2746,2967,3137,3341,3497,3649,5
2017-08-29,3717,3763,3723,3592,3484,3202,2866,2503,2303,2127,2019,1961,1966,2101,2290,2404,2517,2624,2751,2847,2979,3092,3198,3288,0
2017-09-06,3626,3667,3598,3513,3407,3140,2803,2493,2287,2140,2046,2000,2005,2176,2411,2573,2628,2694,2725,2813,2866,2903,2937,3065,7
2018-07-13,3621,3674,3643,3545,3415,3266,3005,2675,2392,2192,2060,1981,1964,2032,2217,2432,2579,2730,2869,2991,3123,3254,3398,3465,10
2018-07-16,3484,3563,3566,3506,3359,3230,2956,2620,2353,2175,2058,1992,1988,2094,2273,2499,2675,2835,3001,3148,3297,3442,3597,3703,2
2018-07-17,3773,3824,3785,3691,3523,3341,3042,2679,2396,2209,2074,1990,1984,2078,2260,2455,2603,2723,2857,2995,3120,3261,3397,3528,10
2018-07-18,3612,3660,3606,3448,3242,3030,2711,2373,2142,1991,1895,1840,1872,1986,2174,2350,2443,2525,2610,2681,2799,2902,3016,3115,4
2018-07-24,3655,3686,3630,3543,3365,3206,2893,2544,2285,2103,1985,1914,1928,2021,2198,2396,2555,2675,2822,2962,3124,3288,3430,3555,9
2018-07-25,3640,3693,3668,3570,3390,3229,2924,2579,2327,2147,2008,1938,1951,2051,2220,2439,2565,2694,2826,2966,3128,3319,3484,3612,9
2018-07-26,3718,3777,3756,3660,3488,3309,3003,2652,2390,2188,2067,1989,1992,2086,2253,2448,2623,2756,2926,3077,3254,3427,3558,3675,6
2018-07-27,3748,3795,3757,3637,3439,3260,2935,2588,2318,2134,2019,1937,1934,2023,2172,2367,2488,2609,2767,2862,2995,3142,3256,3381,0
2018-07-30,3585,3665,3692,3631,3511,3392,3088,2752,2506,2311,2179,2113,2111,2209,2366,2535,2656,2797,2944,3079,3234,3387,3523,3634,6
2018-07-31,3727,3787,3747,3649,3453,3271,2942,2603,2349,2163,2057,1984,1986,2106,2276,2415,2531,2642,2758,2901,3043,3183,3329,3452,10
2018-08-01,3564,3619,3578,3438,3213,3013,2685,2377,2135,1995,1892,1834,1859,1996,2155,2327,2415,2458,2517,2574,2686,2797,2923,3064,4
2018-08-08,3698,3762,3756,3630,3477,3311,2991,2650,2405,2225,2091,2020,2033,2144,2315,2480,2621,2749,2888,3028,3195,3353,3503,3636,6
2018-08-09,3714,3751,3720,3621,3487,3313,2987,2659,2405,2215,2094,2025,2034,2141,2303,2480,2615,2734,2887,3035,3218,3411,3549,3697,6
2018-08-10,3813,3844,3823,3693,3552,3353,3018,2703,2450,2276,2155,2076,2080,2173,2324,2462,2559,2658,2759,2873,2996,3144,3276,3433,10
2019-06-12,3483,3553,3541,3468,3345,3209,2916,2582,2323,2149,2041,1988,2000,2111,2350,2584,2741,2910,3073,3234,3400,3544,3651,3713,2
2019-06-13,3787,3780,3710,3698,3574,3408,3096,2737,2453,2260,2110,2031,2028,2111,2331,2541,2678,2797,2877,3001,3101,3202,3263,3334,10
2019-08-06,3569,3639,3598,3481,3302,3129,2793,2475,2231,2077,1960,1911,1921,2026,2195,2351,2459,2527,2625,2725,2832,2956,3078,3199,4
