date,Peak Demand (MW)
2015-07-02,57505
2015-07-03,55044
2015-07-04,54755
2015-07-05,56405
2015-07-06,59930
2015-07-07,57860
2015-07-08,55243
2015-07-09,61133
2015-07-10,61174
2015-07-11,58895
2015-07-12,60501
2015-07-13,64922
2015-07-14,65134
2015-07-15,64558
2015-07-16,64375
2015-07-17,64041
2015-07-18,62932
2015-07-19,62936
2015-07-20,66172
2015-07-21,65252
2015-07-22,65992
2015-07-23,66101
2015-07-24,66027
2015-07-25,63936
2015-07-26,64650
2015-07-27,66674
2015-07-28,66829
2015-07-29,67585
2015-07-30,67630
2015-07-31,66252
2015-08-01,61766
2015-08-02,61870
2015-08-03,66234
2015-08-04,65690
2015-08-05,68455
2015-08-06,68908
2015-08-07,68693
2015-08-08,66603
2015-08-09,66351
2015-08-10,69785
2015-08-11,69626
2015-08-12,68408
2015-08-13,67709
2015-08-14,66029
2015-08-15,62083
2015-08-16,60633
2015-08-17,64407
2015-08-18,65286
2015-08-19,62767
2015-08-20,54785
2015-08-21,57095
2015-08-22,60289
2015-08-23,62400
2015-08-24,65933
2015-08-25,63484
2015-08-26,61810
2015-08-27,61966
2015-08-28,61460
2015-08-29,58466
2015-08-30,56253
2015-08-31,58887
2015-09-01,57098
2015-09-02,59907
2015-09-03,60764
2015-09-04,60745
2015-09-05,57976
2015-09-06,61097
2015-09-07,62692
2015-09-08,64424
2015-09-09,62053
2015-09-10,57265
2015-09-11,53701
2015-09-12,49542
2015-09-13,49586
2015-09-14,53437
2015-09-15,56129
2015-09-16,58245
2015-09-17,60711
2015-09-18,61146
2015-09-19,57422
2015-09-20,51629
2015-09-21,59313
2015-09-22,59892
2015-09-23,57902
2015-09-24,56024
2015-09-25,54744
2015-09-26,51926
2015-09-27,48425
2015-09-28,50471
2015-09-29,55093
2015-09-30,57658
2015-10-01,54569
2015-10-02,49716
2015-10-03,43550
2015-10-04,42820
2015-10-05,45856
2015-10-06,49887
2015-10-07,51896
2015-10-08,51213
2015-10-09,48680
2015-10-10,47587
2015-10-11,52085
2015-10-12,59148
2015-10-13,55696
2015-10-14,54013
2015-10-15,53980
2015-10-16,50372
2015-10-17,45511
2015-10-18,39411
2015-10-19,42501
2015-10-20,44359
2015-10-21,47648
2015-10-22,46152
2015-10-23,43861
2015-10-24,42175
2015-10-25,35353
2015-10-26,36678
2015-10-27,40792
2015-10-28,40985
2015-10-29,40323
2015-10-30,39930
2015-10-31,38221
2015-11-01,34812
2015-11-02,38900
2015-11-03,39630
2015-11-04,39891
2015-11-05,44751
2015-11-06,45006
2015-11-07,38640
2015-11-08,33772
2015-11-09,35569
2015-11-10,37517
2015-11-11,43784
2015-11-12,43193
2015-11-13,36479
2015-11-14,34564
2015-11-15,33969
2015-11-16,38726
2015-11-17,41062
2015-11-18,36508
2015-11-19,36666
2015-11-20,37076
2015-11-21,35929
2015-11-22,36069
2015-11-23,40755
2015-11-24,37399
2015-11-25,36647
2015-11-26,37224
2015-11-27,36919
2015-11-28,38933
2015-11-29,40091
2015-11-30,40476
2015-12-01,40542
2015-12-02,40911
2015-12-03,42627
2015-12-04,42516
2015-12-05,38750
2015-12-06,35325
2015-12-07,39923
2015-12-08,38599
2015-12-09,37368
2015-12-10,38023
2015-12-11,38338
2015-12-12,38738
2015-12-13,38086
2015-12-14,38822
2015-12-15,37712
2015-12-16,38603
2015-12-17,42633
2015-12-18,44273
2015-12-19,39981
2015-12-20,36068
2015-12-21,35775
2015-12-22,37622
2015-12-23,37876
2015-12-24,37788
2015-12-25,36977
2015-12-26,36173
2015-12-27,38221
2015-12-28,43952
2015-12-29,44892
2015-12-30,41864
2015-12-31,40522
2016-01-01,40328
2016-01-02,41153
2016-01-03,41313
2016-01-04,45745
2016-01-05,46959
2016-01-06,42885
2016-01-07,41766
2016-01-08,38737
2016-01-09,39210
2016-01-10,45056
2016-01-11,49252
2016-01-12,48075
2016-01-13,45260
2016-01-14,40360
2016-01-15,38643
2016-01-16,38664
2016-01-17,42696
2016-01-18,46456
2016-01-19,43817
2016-01-20,42092
2016-01-21,40315
2016-01-22,47900
2016-01-23,46376
2016-01-24,41034
2016-01-25,36661
2016-01-26,40049
2016-01-27,47025
2016-01-28,48599
2016-01-29,43260
2016-01-30,35048
2016-01-31,33619
2016-02-01,36223
2016-02-02,38096
2016-02-03,41863
2016-02-04,47382
2016-02-05,47363
2016-02-06,39308
2016-02-07,41026
2016-02-08,42169
2016-02-09,45848
2016-02-10,43816
2016-02-11,37845
2016-02-12,36520
2016-02-13,35457
2016-02-14,33711
2016-02-15,35649
2016-02-16,36991
2016-02-17,37044
2016-02-18,36610
2016-02-19,37843
2016-02-20,37292
2016-02-21,35656
2016-02-22,36024
2016-02-23,37920
2016-02-24,41348
2016-02-25,41500
2016-02-26,41970
2016-02-27,35084
2016-02-28,33071
2016-02-29,36514
2016-03-01,37958
2016-03-02,37627
2016-03-03,38392
2016-03-04,38109
2016-03-05,35072
2016-03-06,34543
2016-03-07,36588
2016-03-08,37998
2016-03-09,38691
2016-03-10,36145
2016-03-11,36410
