date,Peak Demand (MW)
2015-07-02,106560.0
2015-07-03,97914.0
2015-07-04,94158.0
2015-07-05,105129.0
2015-07-06,125613.0
2015-07-07,127478.0
2015-07-08,119418.0
2015-07-09,121148.0
2015-07-10,117812.0
2015-07-11,110117.0
2015-07-12,110766.0
2015-07-13,123059.0
2015-07-14,126024.0
2015-07-15,119105.0
2015-07-16,113263.0
2015-07-17,124813.0
2015-07-18,128600.0
2015-07-19,134312.0
2015-07-20,143932.0
2015-07-21,137450.0
2015-07-22,125369.0
2015-07-23,123015.0
2015-07-24,125209.0
2015-07-25,123477.0
2015-07-26,121955.0
2015-07-27,136216.0
2015-07-28,144302.0
2015-07-29,143030.0
2015-07-30,136535.0
2015-07-31,133237.0
2015-08-01,123539.0
2015-08-02,124186.0
2015-08-03,134066.0
2015-08-04,133918.0
2015-08-05,129528.0
2015-08-06,120269.0
2015-08-07,114106.0
2015-08-08,108527.0
2015-08-09,111264.0
2015-08-10,117651.0
2015-08-11,123313.0
2015-08-12,118976.0
2015-08-13,120095.0
2015-08-14,127542.0
2015-08-15,124093.0
2015-08-16,130606.0
2015-08-17,140517.0
2015-08-18,134032.0
2015-08-19,134135.0
2015-08-20,123553.0
2015-08-21,119787.0
2015-08-22,110296.0
2015-08-23,109992.0
2015-08-24,122497.0
2015-08-25,113323.0
2015-08-26,105143.0
2015-08-27,103835.0
2015-08-28,107859.0
2015-08-29,107016.0
2015-08-30,114938.0
2015-08-31,134146.0
2015-09-01,139586.0
2015-09-02,139266.0
2015-09-03,141910.0
2015-09-04,133782.0
2015-09-05,118473.0
2015-09-06,116910.0
2015-09-07,128566.0
2015-09-08,139056.0
2015-09-09,132408.0
2015-09-10,124383.0
2015-09-11,107813.0
2015-09-12,99564.0
2015-09-13,86050.0
2015-09-14,95168.0
2015-09-15,105363.0
2015-09-16,112532.0
2015-09-17,116249.0
2015-09-18,113269.0
2015-09-19,105163.0
2015-09-20,95940.0
2015-09-21,92940.0
2015-09-22,95961.0
2015-09-23,100387.0
2015-09-24,100649.0
2015-09-25,97757.0
2015-09-26,90173.0
2015-09-27,84702.0
2015-09-28,104581.0
2015-09-29,105708.0
2015-09-30,103414.0
2015-10-01,94619.0
2015-10-02,87114.0
2015-10-03,85502.0
2015-10-04,81677.0
2015-10-05,86497.0
2015-10-06,89764.0
2015-10-07,90918.0
2015-10-08,91921.0
2015-10-09,93273.0
2015-10-10,88539.0
2015-10-11,77687.0
2015-10-12,88512.0
2015-10-13,91220.0
2015-10-14,90919.0
2015-10-15,88711.0
2015-10-16,88149.0
2015-10-17,84537.0
2015-10-18,81775.0
2015-10-19,95245.0
2015-10-20,92098.0
2015-10-21,89844.0
2015-10-22,89582.0
2015-10-23,90072.0
2015-10-24,85021.0
2015-10-25,80309.0
2015-10-26,87624.0
2015-10-27,91382.0
2015-10-28,92464.0
2015-10-29,94250.0
2015-10-30,89680.0
2015-10-31,86568.0
2015-11-01,82076.0
2015-11-02,89095.0
2015-11-03,91446.0
2015-11-04,91646.0
2015-11-05,92384.0
2015-11-06,93819.0
2015-11-07,90678.0
2015-11-08,81943.0
2015-11-09,93922.0
2015-11-10,95233.0
2015-11-11,93610.0
2015-11-12,92530.0
2015-11-13,93512.0
2015-11-14,91119.0
2015-11-15,85719.0
2015-11-16,91917.0
2015-11-17,93439.0
2015-11-18,94162.0
2015-11-19,93034.0
2015-11-20,93443.0
2015-11-21,93043.0
2015-11-22,93558.0
2015-11-23,103357.0
2015-11-24,105644.0
2015-11-25,99092.0
2015-11-26,94048.0
2015-11-27,82496.0
2015-11-28,83735.0
2015-11-29,89250.0
2015-11-30,101171.0
2015-12-01,101642.0
2015-12-02,98911.0
2015-12-03,102489.0
2015-12-04,103861.0
2015-12-05,99466.0
2015-12-06,93302.0
2015-12-07,100911.0
2015-12-08,102534.0
2015-12-09,102228.0
2015-12-10,100953.0
2015-12-11,97548.0
2015-12-12,93126.0
2015-12-13,86759.0
2015-12-14,96403.0
2015-12-15,97347.0
2015-12-16,98237.0
2015-12-17,99616.0
2015-12-18,104756.0
2015-12-19,105623.0
2015-12-20,101169.0
2015-12-21,100054.0
2015-12-22,100334.0
2015-12-23,96042.0
2015-12-24,93061.0
2015-12-25,83027.0
2015-12-26,83899.0
2015-12-27,85278.0
2015-12-28,101851.0
2015-12-29,101847.0
2015-12-30,97045.0
2015-12-31,96146.0
2016-01-01,95072.0
2016-01-02,94895.0
2016-01-03,95366.0
2016-01-04,114489.0
2016-01-05,122567.0
2016-01-06,121182.0
2016-01-07,111115.0
2016-01-08,105017.0
2016-01-09,101006.0
2016-01-10,96033.0
2016-01-11,114118.0
2016-01-12,116678.0
2016-01-13,122057.0
2016-01-14,121014.0
2016-01-15,104566.0
2016-01-16,100384.0
2016-01-17,104940.0
2016-01-18,125390.0
2016-01-19,130680.0
2016-01-20,127700.0
2016-01-21,120615.0
2016-01-22,120262.0
2016-01-23,121232.0
2016-01-24,114085.0
2016-01-25,114527.0
2016-01-26,110123.0
2016-01-27,106585.0
2016-01-28,114814.0
2016-01-29,106959.0
2016-01-30,107767.0
2016-01-31,93478.0
2016-02-01,93765.0
2016-02-02,101082.0
2016-02-03,99899.0
2016-02-04,100274.0
2016-02-05,106398.0
2016-02-06,103867.0
2016-02-07,96150.0
2016-02-08,103774.0
2016-02-09,110882.0
2016-02-10,114771.0
2016-02-11,121862.0
2016-02-12,122253.0
2016-02-13,118080.0
2016-02-14,121618.0
2016-02-15,119548.0
2016-02-16,119437.0
2016-02-17,106805.0
2016-02-18,110288.0
2016-02-19,110962.0
2016-02-20,100314.0
2016-02-21,83313.0
2016-02-22,95584.0
2016-02-23,99238.0
2016-02-24,101717.0
2016-02-25,102388.0
2016-02-26,106607.0
2016-02-27,104523.0
2016-02-28,92341.0
2016-02-29,92055.0
2016-03-01,97323.0
2016-03-02,98361.0
2016-03-03,108255.0
2016-03-04,107967.0
2016-03-05,102679.0
2016-03-06,94462.0
2016-03-07,99449.0
2016-03-08,92678.0
2016-03-09,89754.0
2016-03-10,89871.0
2016-03-11,90367.0
2016-03-12,84459.0
2016-03-13,79718.0
2016-03-14,89492.0
2016-03-15,89739.0
2016-03-16,89180.0
2016-03-17,88254.0
2016-03-18,89826.0
2016-03-19,84918.0
2016-03-20,87974.0
2016-03-21,99701.0
2016-03-22,99704.0
2016-03-23,89235.0
2016-03-24,87049.0
2016-03-25,86221.0
2016-03-26,81752.0
2016-03-27,77386.0
2016-03-28,86801.0
2016-03-29,88602.0
2016-03-30,92574.0
2016-03-31,87420.0
2016-04-01,85797.0
2016-04-02,84373.0
2016-04-03,81680.0
2016-04-04,89844.0
2016-04-05,99461.0
2016-04-06,100894.0
2016-04-07,91755.0
2016-04-08,93179.0
2016-04-09,90755.0
2016-04-10,91232.0
2016-04-11,90755.0
2016-04-12,88604.0
2016-04-13,92870.0
2016-04-14,92030.0
2016-04-15,87947.0
2016-04-16,81532.0
2016-04-17,76445.0
2016-04-18,90840.0
2016-04-19,91350.0
2016-04-20,88685.0
2016-04-21,87409.0
2016-04-22,87371.0
2016-04-23,83187.0
2016-04-24,75653.0
2016-04-25,89206.0
2016-04-26,91692.0
2016-04-27,91250.0
2016-04-28,86507.0
2016-04-29,87596.0
2016-04-30,83383.0
2016-05-01,78052.0
2016-05-02,87114.0
2016-05-03,87881.0
2016-05-04,85925.0
2016-05-05,86557.0
2016-05-06,86341.0
2016-05-07,83110.0
2016-05-08,75834.0
2016-05-09,85221.0
2016-05-10,86740.0
2016-05-11,87566.0
2016-05-12,89896.0
2016-05-13,89110.0
2016-05-14,82663.0
2016-05-15,76840.0
2016-05-16,84998.0
2016-05-17,85616.0
2016-05-18,85076.0
2016-05-19,84945.0
2016-05-20,84788.0
2016-05-21,81653.0
2016-05-22,76217.0
2016-05-23,89738.0
2016-05-24,97498.0
2016-05-25,108110.0
2016-05-26,116137.0
2016-05-27,122235.0
2016-05-28,114419.0
2016-05-29,108463.0
2016-05-30,105903.0
2016-05-31,122462.0
2016-06-01,122840.0
2016-06-02,115897.0
2016-06-03,112405.0
2016-06-04,105198.0
2016-06-05,99959.0
2016-06-06,117335.0
2016-06-07,110680.0
2016-06-08,98800.0
2016-06-09,94702.0
2016-06-10,107555.0
2016-06-11,123993.0
2016-06-12,120479.0
2016-06-13,109684.0
2016-06-14,114395.0
2016-06-15,123826.0
2016-06-16,118288.0
2016-06-17,112208.0
2016-06-18,109685.0
2016-06-19,117021.0
2016-06-20,135625.0
2016-06-21,130011.0
2016-06-22,118456.0
2016-06-23,116601.0
2016-06-24,119781.0
2016-06-25,117816.0
2016-06-26,121880.0
2016-06-27,131713.0
2016-06-28,124351.0
2016-06-29,114376.0
2016-06-30,116575.0
2016-07-01,114821.0
2016-07-02,106766.0
2016-07-03,88462.0
2016-07-04,91212.0
2016-07-05,131641.0
2016-07-06,138899.0
2016-07-07,135625.0
2016-07-08,134309.0
2016-07-09,124148.0
2016-07-10,113699.0
2016-07-11,133967.0
2016-07-12,136921.0
2016-07-13,135926.0
2016-07-14,141299.0
2016-07-15,136137.0
2016-07-16,123651.0
2016-07-17,126380.0
2016-07-18,139274.0
2016-07-19,136417.0
2016-07-20,134364.0
2016-07-21,139891.0
2016-07-22,143953.0
2016-07-23,143626.0
2016-07-24,139008.0
2016-07-25,151882.0
2016-07-26,143655.0
2016-07-27,146166.0
2016-07-28,139958.0
2016-07-29,132212.0
2016-07-30,123110.0
2016-07-31,124014.0
2016-08-01,132367.0
2016-08-02,133142.0
2016-08-03,132277.0
2016-08-04,134411.0
2016-08-05,130277.0
2016-08-06,126694.0
2016-08-07,120885.0
2016-08-08,126418.0
2016-08-09,133625.0
2016-08-10,145001.0
2016-08-11,152890.0
2016-08-12,148569.0
2016-08-13,141626.0
2016-08-14,134028.0
2016-08-15,138865.0
2016-08-16,143111.0
2016-08-17,139228.0
2016-08-18,138801.0
2016-08-19,135702.0
2016-08-20,125132.0
2016-08-21,115587.0
2016-08-22,116107.0
2016-08-23,119492.0
2016-08-24,128481.0
2016-08-25,138827.0
2016-08-26,143299.0
2016-08-27,131431.0
2016-08-28,130166.0
2016-08-29,142379.0
2016-08-30,137593.0
2016-08-31,133450.0
2016-09-01,123382.0
2016-09-02,107065.0
2016-09-03,97509.0
2016-09-04,97254.0
2016-09-05,112671.0
2016-09-06,136456.0
2016-09-07,141579.0
2016-09-08,143033.0
2016-09-09,139445.0
2016-09-10,129046.0
2016-09-11,118071.0
2016-09-12,113160.0
2016-09-13,122422.0
2016-09-14,124238.0
2016-09-15,115456.0
2016-09-16,108383.0
2016-09-17,102165.0
2016-09-18,109345.0
2016-09-19,113589.0
2016-09-20,118419.0
2016-09-21,115641.0
2016-09-22,120505.0
2016-09-23,122365.0
2016-09-24,112270.0
2016-09-25,92271.0
2016-09-26,92325.0
2016-09-27,93413.0
2016-09-28,93064.0
2016-09-29,91710.0
2016-09-30,90498.0
2016-10-01,86454.0
2016-10-02,81103.0
2016-10-03,90930.0
2016-10-04,92217.0
2016-10-05,92868.0
2016-10-06,93447.0
2016-10-07,94628.0
2016-10-08,89899.0
2016-10-09,79756.0
2016-10-10,84553.0
2016-10-11,88004.0
2016-10-12,88648.0
2016-10-13,89306.0
2016-10-14,88176.0
2016-10-15,83683.0
2016-10-16,81588.0
2016-10-17,98453.0
2016-10-18,101050.0
2016-10-19,103230.0
2016-10-20,102073.0
2016-10-21,96721.0
2016-10-22,88374.0
2016-10-23,79832.0
2016-10-24,86083.0
2016-10-25,88659.0
2016-10-26,90542.0
2016-10-27,91321.0
2016-10-28,90677.0
2016-10-29,86029.0
2016-10-30,81607.0
2016-10-31,84802.0
2016-11-01,90413.0
2016-11-02,91871.0
2016-11-03,91654.0
2016-11-04,89981.0
2016-11-05,84873.0
2016-11-06,82459.0
2016-11-07,90095.0
2016-11-08,91989.0
2016-11-09,91670.0
2016-11-10,92940.0
2016-11-11,91668.0
