date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-01,23745,24213,25174,28423,28784,27997,27033,25967,24859,24036,23371,22598,22007,21693,21726,22144,22650,22725,22785,22966,23055,22666,22315,22036,1
2016-01-02,22158,22148,23303,26493,27153,26953,26510,25623,24451,23184,22219,21394,20927,20740,20946,21528,22359,23027,23669,24059,23792,23275,22984,23004,0
2016-01-03,22996,22955,23936,26831,27349,27071,26565,25636,24392,23159,22012,21055,20488,20240,20344,20820,21650,22059,22260,22499,22463,22343,22317,22360,0
2016-01-04,22572,22774,23903,27052,27590,27323,26610,25261,23633,22246,21068,20287,19821,19834,20422,22055,24520,25979,26406,26531,26422,26146,26028,26017,1
2016-01-05,25883,25783,26689,29208,29516,28986,28000,26428,24337,22308,20928,20151,19718,19625,20181,21759,24333,26087,26947,27661,28123,28164,28178,27969,1
2016-01-06,27482,27120,27823,29977,30336,29734,28869,27167,25049,23228,21824,20967,20470,20417,21018,22753,25136,26695,27202,27456,27684,27945,27970,27988,1
2016-01-08,25882,25896,26815,29513,30120,29579,28869,27496,25505,23810,22491,21672,21194,21235,21835,23445,26172,27400,27417,27120,26829,26375,25670,25155,1
2016-01-09,25328,25730,26501,28968,29241,28744,28087,27033,25297,23500,22094,21210,20707,20693,20876,21523,22623,23234,23941,23872,23860,23670,23737,23769,1
2016-01-10,23794,24092,25053,27260,27478,27055,26476,25488,23925,22190,21000,20174,19570,19286,19415,19836,20661,21223,21986,22529,22502,22426,22346,22415,0
2016-01-11,22614,23038,24241,26896,27498,27176,26569,25280,23568,22012,20706,19995,19696,19821,20613,22464,25301,26544,26338,26224,25933,25322,25092,24955,1
2016-01-12,25070,25632,26371,29063,29657,29210,28507,27031,24848,22852,21570,20953,20603,20629,21373,23143,25792,27124,26572,26230,25658,24974,24661,24924,1
2016-01-13,24954,25277,26229,28895,29487,29138,28462,26929,24845,22774,21657,20944,20553,20570,21284,23064,25892,27064,26885,26616,26029,25775,25755,25404,1
2016-01-14,25181,25333,25968,28578,29215,28912,28234,26851,24722,22750,21678,21365,20971,20620,21311,22989,25610,27127,26814,26495,26181,25660,25540,25464,1
2016-01-15,25498,25933,26846,29185,29658,29169,28425,27031,25025,22967,21666,20789,20281,20301,20801,22476,25194,26394,26405,26239,25856,25653,25622,25207,1
2016-01-16,24986,24958,25693,28156,28557,27892,27197,26088,24386,22587,21105,20275,19694,19308,19388,20166,21229,21884,22663,23032,22848,22485,22370,22315,0
2016-01-17,22263,22577,23412,25746,26265,25983,25463,24486,23086,21547,20374,19794,19288,19042,19140,19585,20343,20714,21039,21513,21766,21857,21840,21812,0
2016-01-18,21983,22427,23291,25660,26288,25930,25305,24165,22623,21180,20277,19568,19223,19174,19730,21026,22799,23997,24876,25185,25170,24981,25071,25025,1
2016-01-19,25143,25267,25747,28193,28740,28169,27366,25786,23684,21892,20695,19911,19470,19473,20233,21761,24204,25859,26172,26159,26441,26365,26382,25920,1
2016-01-20,25524,25613,26248,28317,28826,28359,27539,25981,23844,21886,20860,20076,19614,19517,20129,21793,24513,25940,25733,25837,25870,25491,25138,25092,1
2016-01-21,25058,25075,25747,28063,28694,28181,27347,25848,23767,21891,20896,20211,19773,19709,20228,21735,24259,25651,25729,25557,25202,24884,24756,24812,1
2016-01-22,24969,25188,25763,27878,28419,27885,27033,25647,23594,21845,20840,20021,19667,19608,20112,21793,24469,25532,25892,26003,25991,26065,25552,25536,1
2016-01-23,25392,25260,25731,27742,28164,27586,26795,25550,23752,22000,20578,19631,19076,18812,19077,19733,20805,21566,22351,22953,23206,22949,22699,22508,0
2016-01-24,22384,22572,23035,25343,26192,25913,25283,24424,22973,21425,20102,19294,18841,18735,19218,19977,20745,21036,21380,21440,21385,21527,21424,21392,0
2016-01-25,21562,21600,22583,25396,26571,26441,25790,24456,22742,21274,20195,19553,19284,19456,20202,22091,24890,26325,26093,25678,25271,24983,24809,24729,1
2016-01-26,24744,25032,25845,28190,29243,28766,27957,26407,24320,22378,21054,20211,19776,19783,20537,22346,25258,26411,26087,25575,25131,24749,24581,24584,1
2016-01-27,24714,24895,25715,28118,29111,28643,27890,26349,24207,22293,21038,20241,19851,19847,20635,22363,25212,26566,26373,26071,25642,25360,25332,25219,1
