date,Peak Demand (MW)
2015-07-02,3363
2015-07-03,3445
2015-07-04,3223
2015-07-05,2901
2015-07-06,3158
2015-07-07,3281
2015-07-08,3360
2015-07-09,3161
2015-07-10,3041
2015-07-11,2719
2015-07-12,2435
2015-07-13,2877
2015-07-14,2876
2015-07-15,2870
2015-07-16,2931
2015-07-17,2865
2015-07-18,2904
2015-07-19,3025
2015-07-20,3200
2015-07-21,3263
2015-07-22,3084
2015-07-23,2824
2015-07-24,2932
2015-07-25,3007
2015-07-26,2322
2015-07-27,2691
2015-07-28,2992
2015-07-29,3651
2015-07-30,3920
2015-07-31,4009
2015-08-01,3890
2015-08-02,3559
2015-08-03,3172
2015-08-04,3174
2015-08-05,3172
2015-08-06,2948
2015-08-07,3067
2015-08-08,3183
2015-08-09,2857
2015-08-10,3330
2015-08-11,3355
2015-08-12,3565
2015-08-13,3664
2015-08-14,3443
2015-08-15,2634
2015-08-16,2595
2015-08-17,3259
2015-08-18,3557
2015-08-19,3821
2015-08-20,3869
2015-08-21,3141
2015-08-22,2854
2015-08-23,2776
2015-08-24,2949
2015-08-25,3052
2015-08-26,3084
2015-08-27,3233
2015-08-28,3300
2015-08-29,3054
2015-08-30,2399
2015-08-31,2675
2015-09-01,2755
2015-09-02,2720
2015-09-03,2565
2015-09-04,2488
2015-09-05,2383
2015-09-06,2240
2015-09-07,2303
2015-09-08,2793
2015-09-09,2881
2015-09-10,3022
2015-09-11,3193
2015-09-12,3332
2015-09-13,3163
2015-09-14,2516
2015-09-15,2529
2015-09-16,2546
2015-09-17,2537
2015-09-18,2510
2015-09-19,2502
2015-09-20,2434
2015-09-21,2578
2015-09-22,2593
2015-09-23,2512
2015-09-24,2546
2015-09-25,2586
2015-09-26,2358
2015-09-27,2263
2015-09-28,2444
2015-09-29,2546
2015-09-30,2621
2015-10-01,2592
2015-10-02,2582
2015-10-03,2408
2015-10-04,2304
2015-10-05,2625
2015-10-06,2708
2015-10-07,2617
2015-10-08,2577
2015-10-09,2563
2015-10-10,2492
2015-10-11,2301
2015-10-12,2458
2015-10-13,2616
2015-10-14,2604
