date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-01,78481,77902,75821,73863,71919,69589,67929,66212,64903,64091,63985,64531,65566,66790,67749,68777,70299,71392,71584,70926,69796,69144,69192,71479,1
2016-01-02,75876,76569,75933,74786,73039,70356,67926,66079,64805,64213,64229,64879,65970,68386,70474,71933,72793,72687,71652,70083,68698,67678,67747,70210,1
2016-01-03,75217,76276,75702,74705,73101,71085,68270,66138,64688,64005,63788,64223,65224,66634,68589,70039,70803,70750,70228,69768,69228,68717,69124,72037,1
2016-01-08,80288,80782,79705,77702,74339,69905,66676,64752,63184,62416,62413,63573,67847,73643,76446,76274,76364,76147,75523,74878,74143,73502,73193,74482,1
2016-01-09,76932,76901,75488,73857,71412,68089,65337,62908,61932,61294,61117,61773,62394,64796,67521,69676,71614,72551,72511,72080,71685,71455,71880,73985,1
2016-01-10,77402,78288,77689,76473,74938,72421,70287,68527,67558,67800,68316,69457,71235,73472,76142,78452,79740,79742,79504,78842,77841,76888,76921,79355,1
2016-01-15,79387,80689,79811,78188,74952,71406,68072,66047,64958,64364,64481,65779,69197,75061,77917,77679,77587,77372,76639,76185,75961,75567,75283,76176,1
2016-01-16,78529,79112,78306,77065,74794,72144,69662,67823,66761,66411,66480,67489,69044,71679,74513,76516,77392,77223,76248,74859,73639,73036,73414,75358,1
2016-01-17,79243,80336,79641,78514,76808,74264,72030,70133,69221,68875,69071,69897,71654,74538,77097,79125,79774,79344,78521,77879,76963,76186,76449,78941,1
2016-01-24,77911,80410,80183,79494,77838,75385,73364,72076,71461,71191,71159,71591,72869,74744,76677,77656,77131,75414,73488,71974,70671,69701,69671,71843,1
2016-01-26,79402,80678,79644,77687,74418,70155,66609,64523,63772,63431,63964,65799,70679,77093,80224,80053,80399,80493,80141,79671,79306,78806,78802,80201,1
2016-01-30,74565,76248,75434,74149,71999,68999,66128,64412,63070,62371,62599,63179,64356,66675,68515,69616,69650,68768,67292,65730,64574,63684,63505,64540,1
2016-01-31,67489,69190,68373,66933,65182,62387,59737,57708,56469,55801,55635,55968,56870,59014,60711,62697,63697,63959,64053,64064,63904,63522,63861,65496,0
2016-02-01,68648,71155,70490,68861,66733,63550,60855,59483,58639,58390,58478,60609,65608,72417,75097,75010,74988,74511,73675,73073,72678,71921,71541,72163,1
