date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
2016-01-09,2694,2800,3007,3027,2964,2881,2739,2566,2374,2227,2126,2082,2068,2112,2207,2366,2544,2701,2814,2865,2842,2797,2725,2664,1
2016-01-11,2501,2624,2913,2970,2940,2876,2703,2489,2276,2144,2093,2085,2102,2212,2460,2847,3076,3049,3038,3033,3004,2961,2931,2894,1
2016-01-14,2756,2859,3040,3044,2993,2890,2729,2469,2239,2080,2013,1969,1982,2058,2316,2688,2920,2889,2853,2834,2780,2781,2777,2781,1
2016-01-15,2819,2920,3068,3059,2984,2891,2707,2444,2227,2078,1987,1949,1969,2049,2304,2666,2892,2877,2832,2827,2776,2735,2678,2623,1
2016-01-20,2792,2845,3037,3036,2961,2838,2663,2421,2187,2077,1981,1941,1954,2057,2298,2667,2902,2876,2812,2754,2746,2706,2690,2698,1
2016-02-02,2720,2799,2990,3045,2979,2878,2689,2412,2200,2072,2004,2002,2027,2157,2430,2851,3060,2998,2905,2841,2741,2681,2638,2603,1
2016-02-04,2799,2872,3001,3021,2942,2839,2655,2409,2179,2027,1949,1900,1909,2008,2247,2601,2827,2808,2782,2756,2715,2663,2633,2597,1
2016-03-17,2449,2492,2520,2658,2732,2608,2378,2161,2038,1959,1930,1971,2083,2373,2765,3012,2962,2857,2772,2658,2587,2523,2461,2417,1
2016-07-21,2923,2968,2963,2882,2775,2733,2471,2192,1984,1840,1758,1708,1747,1864,2038,2246,2377,2518,2607,2791,2794,2909,3053,3059,0
2016-08-11,2708,2754,2750,2703,2662,2597,2371,2116,1938,1802,1731,1698,1729,1861,2050,2222,2345,2423,2537,2630,2720,2859,2944,3045,0
2016-08-29,2705,2802,2797,2733,2712,2555,2284,2050,1875,1759,1697,1672,1720,1851,2056,2235,2334,2452,2548,2638,2733,2827,2928,3003,0
2016-08-30,3064,3091,3033,2916,2864,2643,2321,2068,1878,1765,1695,1681,1712,1845,2113,2251,2341,2392,2427,2450,2457,2482,2485,2506,0
2016-12-02,2718,2853,3006,3000,2922,2826,2659,2405,2202,2066,1976,1920,1912,2016,2254,2567,2806,2799,2813,2806,2770,2731,2768,2753,1
2016-12-05,2583,2747,2922,2944,2920,2855,2676,2435,2224,2083,2017,2005,2050,2171,2468,2798,3040,3035,3062,3096,3071,3075,3050,3066,1
2016-12-12,2679,2806,2999,3022,2960,2886,2730,2494,2260,2105,2031,2007,2039,2164,2444,2808,3023,3001,2956,2912,2867,2814,2799,2757,1
2016-12-24,2781,2883,3026,2968,2910,2854,2759,2588,2416,2257,2162,2129,2115,2145,2248,2395,2622,2804,2932,2991,2951,2871,2810,2750,1
2016-12-26,2447,2563,2687,2683,2686,2684,2606,2513,2375,2254,2187,2164,2186,2276,2407,2564,2716,2840,2974,3043,3040,2969,2918,2900,1
2016-12-31,2730,2836,3033,3043,2996,2942,2803,2676,2501,2364,2232,2185,2173,2202,2301,2448,2608,2751,2913,2988,3003,2984,2910,2903,1
2017-01-20,2736,2788,2964,3009,2968,2900,2730,2513,2288,2164,2090,2062,2064,2166,2403,2751,2977,2962,2928,2943,2934,2906,2892,2825,1
2017-01-21,2807,2855,3002,3035,2937,2838,2707,2525,2342,2182,2100,2052,2036,2064,2169,2326,2498,2673,2787,2829,2826,2789,2750,2706,1
2017-01-23,2629,2738,2882,2918,2880,2790,2633,2413,2205,2080,2018,2013,2064,2181,2486,2880,3096,3076,3020,2948,2884,2831,2753,2683,1
2017-01-26,2814,2884,3062,3097,3033,2936,2760,2498,2310,2146,2089,2052,2049,2159,2392,2766,2972,2983,2893,2903,2829,2821,2765,2701,1
2017-01-31,2784,2840,3015,3094,3041,2912,2717,2482,2266,2104,2027,2011,2034,2139,2384,2762,2964,2932,2954,2921,2901,2878,2785,2743,1
2017-02-22,2712,2757,2922,3031,2948,2924,2716,2502,2271,2153,2086,2067,2101,2214,2482,2843,3019,3004,2968,2905,2793,2721,2697,2680,1
2017-02-23,2757,2808,2929,3080,3063,2986,2821,2541,2341,2226,2127,2114,2167,2261,2524,2929,3089,3052,3008,2950,2847,2759,2722,2673,1
2017-02-25,2879,2884,2975,3064,3015,2905,2806,2599,2412,2249,2159,2142,2128,2177,2283,2506,2680,2821,2837,2739,2653,2542,2490,2397,1
2017-02-27,2702,2752,2824,2982,2949,2841,2695,2459,2260,2146,2067,2054,2083,2212,2481,2867,3060,3043,3032,3035,2998,2956,2897,2878,1
2017-03-06,2579,2685,2923,2975,2973,2888,2723,2462,2306,2182,2115,2109,2158,2286,2531,2920,3090,3102,3059,3049,2985,2949,2889,2723,1
2017-03-08,2845,2905,2992,3057,2987,2893,2669,2423,2173,2048,1970,1930,1971,2051,2293,2657,2861,2834,2818,2776,2812,2811,2802,2793,1
2017-03-09,2799,2856,2940,3002,2960,2874,2657,2397,2216,2033,1968,1950,1959,2041,2265,2651,2824,2788,2805,2772,2738,2733,2715,2684,1
2017-05-22,2468,2550,2563,2518,2518,2509,2279,2002,1801,1702,1656,1639,1690,1842,2092,2320,2407,2491,2587,2706,2776,2868,2993,3088,0
2017-05-24,3024,3010,2904,2675,2529,2424,2187,1947,1781,1669,1601,1595,1663,1821,2056,2282,2337,2294,2321,2323,2332,2332,2320,2302,0
2017-06-23,2780,2807,2790,2734,2641,2553,2366,2087,1883,1756,1686,1662,1695,1790,2037,2236,2375,2510,2605,2686,2772,2871,2999,3098,0
2017-06-30,2719,2790,2834,2797,2697,2629,2428,2171,1905,1840,1745,1721,1747,1848,2018,2241,2378,2490,2619,2669,2759,2886,2980,3061,0
2017-07-01,3078,3072,3007,2869,2603,2445,2204,2059,1826,1744,1695,1665,1659,1688,1730,1855,2005,2087,2108,2135,2167,2201,2208,2244,0
2017-07-24,2946,3009,3007,2916,2743,2623,2370,2102,1903,1785,1713,1681,1740,1855,2042,2240,2351,2485,2573,2644,2760,2869,2988,3068,0
2017-08-17,2987,3052,3029,2924,2864,2732,2446,2181,2012,1879,1800,1762,1799,1945,2129,2277,2386,2437,2503,2553,2595,2690,2776,2849,0
2017-08-24,2972,3016,2997,2897,2849,2680,2431,2175,1997,1883,1815,1780,1807,1946,2150,2287,2371,2432,2495,2543,2584,2649,2683,2720,0
2017-08-27,2869,2948,2931,2827,2766,2615,2420,2175,1998,1847,1759,1709,1672,1696,1727,1830,1979,2148,2300,2426,2552,2700,2837,3008,0
2017-08-31,2925,3002,2962,2897,2868,2692,2421,2173,2007,1891,1812,1781,1820,1979,2205,2374,2462,2542,2641,2720,2806,2913,3001,3074,0
2017-09-11,2561,2618,2613,2565,2555,2396,2143,1933,1786,1704,1654,1642,1693,1869,2125,2274,2347,2428,2504,2587,2672,2797,2898,3050,0
2017-11-08,2698,2810,3004,3039,2958,2851,2633,2380,2182,2064,1998,1969,1987,2079,2329,2683,2852,2840,2825,2846,2837,2838,2841,2866,1
2017-11-09,2848,2918,3052,3035,2938,2813,2617,2400,2177,2054,1996,1956,1965,2047,2291,2609,2781,2794,2764,2721,2677,2635,2610,2545,1
2017-11-29,2787,2899,3044,3044,2979,2866,2666,2424,2198,2058,1984,1949,1952,2067,2285,2660,2854,2829,2740,2659,2623,2585,2573,2538,1
2017-12-01,2808,2942,3044,3013,2935,2823,2658,2393,2179,2029,1951,1909,1904,2003,2205,2540,2747,2744,2743,2712,2680,2684,2647,2618,1
2017-12-05,2658,2731,2914,2927,2891,2752,2649,2481,2343,2170,2101,2061,2094,2195,2419,2806,3009,2991,2966,2864,2766,2707,2667,2625,1
2017-12-06,2659,2840,3057,3078,3019,2942,2765,2510,2278,2138,2075,2032,2063,2166,2420,2788,2985,2936,2833,2766,2671,2626,2601,2584,1
2017-12-07,2617,2775,3022,3050,3005,2920,2751,2488,2269,2169,2083,2056,2090,2200,2481,2855,3057,3016,2912,2824,2745,2683,2659,2639,1
2017-12-10,2675,2857,3032,3017,2944,2902,2778,2624,2452,2306,2229,2209,2205,2252,2360,2523,2719,2862,2923,2871,2797,2741,2673,2661,1
2017-12-20,2815,2933,3085,3051,2999,2892,2739,2529,2318,2168,2094,2054,2054,2172,2406,2714,2912,2957,2957,2942,2884,2849,2790,2742,1
2018-01-02,2594,2793,3008,3017,2964,2891,2721,2506,2297,2190,2131,2118,2157,2276,2536,2885,3082,3084,3097,3078,3050,3016,2955,2938,1
2018-01-09,2766,2887,3023,3012,2943,2822,2638,2386,2183,2039,1969,1941,1965,2050,2306,2659,2856,2847,2838,2842,2818,2777,2757,2705,1
2018-01-10,2715,2822,2984,2993,2921,2830,2652,2404,2197,2056,1993,1955,1970,2077,2329,2676,2888,2870,2827,2809,2753,2729,2743,2731,1
2018-01-11,2773,2851,3004,2995,2917,2805,2613,2367,2152,2003,1910,1875,1878,1973,2187,2558,2767,2770,2739,2762,2755,2708,2629,2654,1
2018-01-24,2806,2883,3004,3009,2919,2809,2608,2359,2147,2000,1909,1878,1898,1961,2230,2575,2798,2800,2770,2781,2753,2741,2716,2702,1
2018-01-25,2722,2828,2970,3003,2931,2844,2670,2436,2235,2102,2050,2013,2048,2150,2394,2770,2988,2992,2985,2919,2862,2803,2776,2732,1
2018-01-26,2792,2896,3030,3062,2986,2894,2711,2457,2266,2132,2068,2041,2054,2155,2390,2733,2939,2936,2926,2924,2871,2843,2800,2783,1
2018-02-12,2469,2510,2652,2805,2792,2701,2543,2325,2118,2022,1980,1966,2013,2166,2441,2828,3051,2976,2900,2794,2718,2660,2614,2560,1
2018-02-27,2734,2703,2898,3059,3060,2974,2792,2537,2323,2202,2155,2128,2155,2272,2529,2909,3091,3064,3050,2972,2952,2602,2806,2822,1
2018-02-28,2778,2832,2968,3082,3029,2933,2733,2481,2262,2126,2064,2016,2039,2130,2380,2728,2914,2914,2896,2899,2864,2856,2835,2811,1
2018-03-01,2813,2856,2971,3044,2994,2899,2709,2460,2252,2106,2042,2008,2032,2141,2403,2754,2921,2899,2826,2759,2700,2691,2682,2630,1
2018-03-02,2636,2741,2841,2964,2912,2853,2688,2467,2255,2139,2058,2065,2074,2197,2464,2794,2998,2935,2909,2887,2799,2740,2674,2624,1
2018-03-06,2490,2518,2653,2819,2830,2769,2619,2401,2211,2107,2053,2053,2093,2230,2532,2920,3086,2942,2818,2708,2613,2526,2475,2407,1
2018-05-15,2977,3046,3053,2971,2871,2751,2424,2108,1898,1759,1688,1660,1703,1842,2079,2259,2297,2322,2337,2354,2359,2363,2409,2378,0
2018-06-19,2877,2920,2908,2853,2766,2663,2444,2151,1937,1822,1735,1704,1729,1844,2053,2257,2371,2480,2590,2681,2778,2882,2990,3068,0
2018-06-25,2839,2956,3004,2970,2810,2635,2367,2067,1870,1740,1683,1652,1701,1832,2025,2201,2294,2376,2443,2476,2507,2530,2524,2491,0
2018-07-06,2957,3014,2907,2795,2678,2605,2411,2167,1962,1835,1747,1703,1738,1827,2001,2208,2353,2474,2580,2656,2707,2789,2805,2849,0
2018-07-11,2697,2727,2735,2675,2597,2534,2342,2104,1912,1808,1726,1702,1738,1860,2049,2227,2346,2455,2535,2605,2701,2803,2934,3049,0
2018-08-17,3063,3092,3021,2879,2782,2640,2373,2144,1946,1831,1749,1712,1753,1868,2031,2163,2276,2347,2399,2452,2495,2556,2617,2692,0
2018-08-20,2982,3071,3045,2955,2861,2709,2444,2189,1988,1871,1805,1769,1814,1955,2134,2275,2386,2466,2547,2614,2701,2790,2884,2962,0
2018-08-29,3019,3095,3057,2959,2888,2682,2391,2139,1952,1830,1738,1712,1741,1879,2096,2232,2330,2394,2475,2578,2650,2783,2873,2979,0
2018-08-30,3053,3043,2943,2791,2727,2540,2282,2052,1892,1792,1722,1696,1741,1877,2119,2257,2334,2388,2427,2452,2473,2503,2534,2574,0
2018-11-14,2658,2790,2993,3001,2945,2854,2675,2445,2257,2144,2076,2034,2041,2129,2378,2702,2866,2835,2827,2749,2696,2673,2654,2645,1
2018-12-03,2526,2690,2864,2861,2828,2741,2588,2374,2183,2066,2011,2021,2064,2200,2482,2855,3081,3047,2970,2897,2814,2741,2691,2653,1
2018-12-12,2843,2969,3059,3023,2953,2848,2675,2433,2215,2075,2009,1979,2003,2114,2351,2708,2907,2903,2876,2785,2750,2718,2697,2668,1
2018-12-13,2709,2893,3030,3018,2939,2839,2662,2427,2203,2053,1978,1937,1961,2052,2294,2634,2850,2823,2757,2717,2658,2608,2569,2543,1
2018-12-18,2738,2914,3018,3004,2927,2824,2647,2400,2184,2036,1948,1902,1910,1979,2198,2504,2688,2693,2654,2632,2595,2575,2567,2554,1
2018-12-21,2656,2774,2925,2915,2860,2790,2647,2441,2240,2103,2037,2015,2043,2163,2408,2739,2950,2983,2993,2986,2904,2804,2702,2644,1
2018-12-22,2670,2842,3020,2993,2924,2845,2725,2545,2356,2209,2111,2069,2072,2122,2246,2422,2606,2763,2865,2918,2868,2813,2754,2703,1
2018-12-27,2819,2903,3016,2989,2907,2800,2640,2434,2235,2086,2011,1969,1979,2075,2274,2515,2698,2772,2804,2811,2742,2691,2658,2638,1
2019-01-02,2582,2753,2972,2978,2930,2849,2717,2512,2334,2235,2179,2178,2229,2351,2588,2884,3053,3087,3073,3024,2946,2926,2901,2866,1
2019-01-07,2693,2783,2946,2934,2868,2787,2627,2404,2210,2101,2034,2025,2067,2183,2446,2813,3015,3007,2964,2919,2865,2804,2745,2704,1
2019-01-08,2748,2897,3092,3093,3015,2907,2716,2468,2251,2105,2028,1991,2016,2133,2377,2726,2939,2923,2915,2910,2904,2870,2820,2787,1
2019-01-09,2811,2918,3081,3061,2991,2887,2696,2464,2241,2100,2019,1993,1995,2096,2342,2679,2889,2885,2874,2870,2842,2832,2805,2769,1
2019-01-10,2805,2868,3004,2991,2899,2774,2591,2362,2143,2001,1916,1867,1880,1977,2195,2527,2733,2713,2684,2660,2617,2578,2540,2503,1
2019-01-14,2323,2465,2656,2791,2709,2642,2484,2280,2087,1988,1946,1944,1983,2109,2370,2719,2946,3072,2972,2895,2804,2759,2721,2681,1
2019-01-22,2691,2797,3003,3015,2941,2838,2648,2426,2215,2079,2015,1981,2003,2113,2358,2704,2911,2911,2889,2894,2882,2901,2901,2891,1
2019-01-23,2894,2961,3095,3079,2997,2856,2668,2412,2186,2048,1959,1919,1928,2013,2241,2551,2723,2712,2702,2658,2588,2567,2565,2539,1
2019-01-29,2605,2680,2916,2990,2943,2841,2648,2416,2212,2090,2034,2030,2061,2195,2452,2831,3028,2974,2856,2766,2672,2605,2566,2515,1
2019-02-04,2549,2583,2709,2720,2744,2719,2567,2375,2192,2078,2041,2034,2079,2202,2454,2809,3015,3020,3009,3002,2987,2976,2983,2977,1
2019-02-14,2754,2811,2954,3039,2994,2912,2742,2509,2311,2178,2119,2092,2123,2238,2497,2852,3055,3037,3037,3075,3066,3035,3005,2958,1
2019-02-23,2900,2982,3072,3074,2983,2879,2709,2518,2335,2197,2113,2072,2068,2109,2213,2386,2547,2693,2758,2756,2729,2676,2636,2602,1
2019-03-08,2734,2807,2914,2986,3061,2933,2779,2577,2411,2295,2208,2257,2287,2431,2675,2902,3085,3096,3038,2992,2929,2805,2815,2774,1
2019-03-14,2468,2542,2618,2715,2721,2588,2369,2187,2058,2013,2001,2035,2147,2398,2780,3015,2950,2841,2738,2619,2550,2471,2419,2401,1
2019-07-22,2962,3051,3098,3054,2919,2790,2521,2227,2008,1853,1775,1742,1776,1892,2069,2258,2382,2476,2575,2687,2784,2878,2989,3082,0
2019-07-25,2840,2910,2904,2829,2724,2636,2403,2157,1967,1840,1761,1737,1762,1881,2064,2239,2367,2441,2525,2623,2721,2847,2955,3071,0
2019-07-31,2728,2814,2840,2782,2694,2609,2376,2132,1960,1837,1773,1735,1781,1902,2078,2254,2371,2495,2526,2634,2732,2847,2947,3055,0
2019-08-04,2995,3045,3029,2931,2807,2694,2480,2245,2045,1907,1809,1758,1729,1736,1760,1890,2058,2220,2362,2493,2648,2791,2951,3098,0
2019-08-20,2915,2981,2966,2869,2799,2649,2398,2132,1956,1846,1776,1741,1783,1918,2109,2269,2373,2451,2556,2657,2764,2905,3009,3078,0
2019-08-21,3078,3026,2977,2882,2802,2655,2387,2134,1952,1833,1769,1735,1785,1910,2112,2256,2350,2446,2473,2540,2567,2572,2549,2532,0
2019-09-03,2883,2970,2939,2869,2813,2608,2304,2096,1935,1827,1759,1744,1783,1939,2170,2321,2403,2490,2587,2679,2795,2914,3010,3097,0
2019-09-05,2921,2982,2958,2878,2822,2629,2363,2128,1956,1859,1789,1764,1791,1962,2203,2371,2411,2447,2494,2542,2653,2781,2908,3062,0
2019-10-29,2499,2607,2771,2787,2716,2561,2354,2176,2060,2006,1998,2026,2151,2406,2790,3027,3011,2920,2853,2772,2720,2665,2612,2619,1
2019-11-22,2508,2649,2842,2857,2809,2748,2606,2401,2216,2132,2079,2073,2111,2239,2501,2859,3055,3020,2902,2792,2678,2614,2558,2516,1
2019-11-26,2718,2854,3026,2997,2946,2853,2677,2445,2253,2132,2063,2028,2062,2162,2392,2691,2875,2914,2935,2941,2947,2925,2922,2908,1
2019-11-28,2867,2981,3073,3028,2956,2863,2729,2552,2366,2229,2155,2118,2134,2190,2305,2471,2642,2799,2875,2914,2882,2794,2692,2609,1
2019-12-01,2845,2956,3060,3018,2962,2872,2738,2562,2409,2315,2247,2202,2198,2226,2312,2433,2579,2734,2832,2902,2893,2842,2814,2799,1
2019-12-05,2716,2872,3021,3007,2953,2863,2714,2482,2283,2160,2080,2054,2081,2182,2448,2772,2994,2977,2927,2854,2764,2689,2633,2586,1
2019-12-10,2663,2835,3030,3040,2990,2900,2710,2474,2248,2115,2040,2008,2026,2132,2376,2714,2923,2906,2884,2861,2868,2846,2874,2866,1
2019-12-11,2909,3053,2943,2921,2848,2782,2659,2471,2283,2135,2056,2009,2021,2125,2351,2675,2881,2871,2883,2796,2807,2807,2811,2788,1
2019-12-12,2806,2941,3054,3022,2952,2846,2674,2437,2212,2058,1988,1941,1965,2052,2280,2601,2800,2789,2786,2792,2772,2759,2722,2681,1
2019-12-16,2692,2845,3003,3005,2982,2904,2753,2543,2327,2197,2129,2116,2148,2264,2496,2860,3056,3036,2991,2928,2836,2775,2710,2672,1
2019-12-20,2888,2987,3057,2996,2905,2794,2634,2399,2189,2026,1937,1885,1879,1953,2155,2450,2662,2684,2706,2711,2683,2671,2650,2623,1
2019-12-24,2682,2828,2990,2982,2937,2871,2753,2560,2377,2219,2135,2084,2100,2177,2339,2557,2736,2855,2959,3006,2989,2949,2916,2870,1
2019-12-26,2545,2622,2715,2682,2651,2622,2558,2422,2283,2180,2137,2118,2160,2270,2465,2723,2913,3011,3041,3028,2909,2896,2874,2806,1
2019-12-28,2836,2933,3015,2946,2854,2758,2630,2451,2282,2134,2061,2014,2009,2035,2121,2270,2416,2560,2659,2702,2707,2673,2629,2631,1
2019-12-31,2741,2860,2997,2974,2885,2787,2630,2438,2257,2128,2035,2004,2010,2088,2256,2480,2629,2704,2763,2778,2808,2806,2815,2797,1
