date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-07-02,51756,50171,48655,47667,44629,40754,37547,35199,33637,32759,32536,33527,35196,36637,39221,42398,45675,48667,51260,53719,55525,56836,57505,56807
2015-07-03,55044,52776,50986,49845,46817,43307,40173,37954,36353,35346,34981,35402,35919,36447,38820,42009,45201,48116,50501,52232,53443,54180,54510,54028
2015-07-04,52732,50673,49028,47940,45385,42470,39566,37379,35757,34698,34057,33939,33910,34456,37333,41075,45018,48470,51173,52980,54226,54755,54722,54308
2015-07-05,52974,50742,48474,46782,44767,42872,40437,38209,36459,35240,34500,34275,33984,34489,37297,40940,44533,47856,50701,52879,54568,55685,56335,56405
2015-07-06,55512,53679,52057,51238,48381,44766,41716,39612,38216,37343,37325,38482,40081,41317,43577,46689,49913,52908,55354,57435,58925,59711,59930,59304
2015-07-07,57860,55746,54110,52898,49409,45439,42025,39906,38581,37850,37916,39148,40895,42087,43999,46636,49708,52015,53759,55421,56694,57189,56906,55872
2015-07-08,54385,52647,51754,51032,48208,44611,41550,39577,38291,37544,37545,38747,40249,41210,42927,45307,47839,50133,51675,53007,53892,54698,55243,55120
2015-07-09,54163,52435,51291,50386,47339,43762,40674,38644,37246,36413,36291,37340,38847,40093,42543,45601,48847,51624,54256,56757,58875,60458,61133,60661
2015-07-10,59092,56622,54311,52761,49075,44771,41144,38589,36785,35688,35399,36384,37726,38978,41656,44938,48512,51701,54559,57143,59142,60595,61174,60690
2015-07-11,58895,56277,53832,52111,48757,44945,41603,39103,37255,35962,35185,35182,35265,36075,39199,42961,46804,50282,53053,55303,56943,58099,58805,58674
2015-07-12,57576,55472,53054,51565,48465,44990,41794,39315,37331,35886,35026,34756,34420,35021,38219,42049,45945,49743,52982,55687,57801,59316,60254,60501
2015-07-13,59694,57851,55693,54186,50588,46394,42767,40163,38324,37208,36919,37868,39245,40564,43402,46898,50816,54576,57976,61033,63178,64405,64922,64662
2015-07-14,63467,61247,58656,56732,52440,47756,43888,41031,38991,37550,37152,38133,39532,40692,43311,46683,50567,54224,57543,60665,63169,64570,65134,64832
2015-07-15,63588,61110,58458,56384,52099,47360,43387,40541,38558,37288,36929,37933,39396,40502,43143,46491,50201,53740,56970,59835,61961,63536,64558,64270
2015-07-16,62890,60380,57753,55682,51667,47173,43306,40675,38781,37628,37344,38385,39830,41039,43719,46964,50614,53898,56805,59723,61975,63559,64375,63950
2015-07-17,62327,59977,57602,55760,51958,47701,44053,41309,39394,38288,37970,38805,39933,41121,43822,47442,51099,54518,57500,60180,62122,63287,64041,63701
2015-07-18,62008,59529,57036,55421,52098,48294,44973,42357,40545,39244,38413,38215,38143,38733,42025,45875,49872,53490,56458,58868,60884,62211,62932,62657
2015-07-19,61497,59238,56779,55133,51839,48206,44798,42054,39989,38439,37283,36698,36236,36588,39700,43497,47514,51471,54999,58095,60149,61845,62808,62936
2015-07-20,62107,60055,57822,56186,52476,48238,44605,41806,39782,38566,38226,39110,40537,41630,44496,48125,52250,56047,59434,62327,64568,65731,66172,65959
2015-07-21,64761,62358,59821,57749,53638,49181,45243,42427,40384,39145,38712,39524,40950,41933,44203,47379,50909,54540,57816,60934,63260,64704,65252,64772
2015-07-22,63167,60762,58460,56760,52631,48437,44738,42034,40250,39161,38990,40091,41709,42750,45114,48169,51549,54781,57987,61084,63493,65185,65992,65567
2015-07-23,63961,61396,58957,57101,53158,48858,45114,42417,40584,39508,39178,40177,41623,42659,45357,48849,52683,56481,59560,62432,64659,65858,66101,65730
2015-07-24,64310,61861,59479,57443,53422,49090,45412,42722,40876,39642,39239,39910,41082,41928,44649,48190,52011,55546,58789,61618,63885,65320,66027,65553
2015-07-25,63936,61427,58798,56790,53254,49346,45588,42721,40382,38775,37804,37598,37678,38132,41347,45546,49941,53985,57309,60010,61873,63086,63794,63544
2015-07-26,62188,59753,57395,55345,51993,48432,45092,42388,40219,38590,37479,37058,36745,37089,40126,44330,48685,52950,56726,59686,61992,63542,64379,64650
2015-07-27,63738,61621,59460,57641,53742,49518,45902,43202,41265,40027,39643,40443,41817,42686,45366,49023,53235,57490,61084,64059,65943,66616,66674,66267
2015-07-28,65061,62615,60263,58276,54028,49474,45642,42915,40955,39814,39477,40406,41960,42715,45200,48583,52433,56287,59766,62741,65143,66525,66829,66501
2015-07-29,65039,62584,60362,58350,54111,49498,45748,42935,40908,39573,39133,39908,41396,42192,44751,48323,52567,56835,60666,64030,66247,67275,67585,67223
2015-07-30,66419,63468,61095,58854,54410,49762,45797,42817,40629,39188,38627,39456,41011,41911,44595,48439,52932,57194,60897,64317,66465,67416,67630,67379
2015-07-31,65970,63439,61276,58846,54723,50485,46778,44058,41826,40449,39910,40628,41849,42590,45058,48525,52723,56769,60320,63462,65509,66252,65779,64382
